0.0;97656f95406d;ngtcp2;5.188MiB / 1.953GiB;0.26%;0.00%;438B / 0B
0.5;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.0;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.5;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
4.0;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
4.5;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
5.0;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
5.5;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
6.0;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
6.5;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
7.0;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
7.5;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
8.0;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
8.5;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;828B / 0B
9.0;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;828B / 0B
9.5;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;828B / 0B
10.0;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;828B / 0B
10.5;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;828B / 0B
11.0;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;828B / 0B
11.5;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;828B / 0B
12.0;97656f95406d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;828B / 0B
12.5;97656f95406d;ngtcp2;5.754MiB / 1.953GiB;0.29%;10.54%;21.4kB / 207kB
13.0;97656f95406d;ngtcp2;5.754MiB / 1.953GiB;0.29%;10.54%;21.4kB / 207kB
13.5;97656f95406d;ngtcp2;8.109MiB / 1.953GiB;0.41%;26.13%;125kB / 709kB
14.0;97656f95406d;ngtcp2;8.109MiB / 1.953GiB;0.41%;26.13%;125kB / 709kB
14.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;46.97%;312kB / 2.47MB
15.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;46.97%;312kB / 2.47MB
15.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;3.09%;315kB / 3.14MB
16.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;3.09%;315kB / 3.14MB
16.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;4.21%;321kB / 4.34MB
17.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;4.21%;321kB / 4.34MB
17.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;4.68%;328kB / 5.74MB
18.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;4.68%;328kB / 5.74MB
18.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;1.85%;329kB / 6.14MB
19.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;1.85%;329kB / 6.14MB
19.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;3.52%;332kB / 7.58MB
20.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;3.52%;332kB / 7.58MB
20.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;4.80%;337kB / 9.31MB
21.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;4.80%;337kB / 9.31MB
21.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;1.93%;337kB / 9.67MB
22.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;1.93%;337kB / 9.67MB
22.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;1.74%;338kB / 10.3MB
23.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;1.74%;338kB / 10.3MB
23.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;4.17%;341kB / 12MB
24.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;4.17%;341kB / 12MB
24.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;3.98%;345kB / 13.7MB
25.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;3.98%;345kB / 13.7MB
25.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;2.19%;346kB / 14.4MB
26.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;2.19%;346kB / 14.4MB
26.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;1.20%;346kB / 14.6MB
27.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;1.20%;346kB / 14.6MB
27.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;2.22%;348kB / 15.6MB
28.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;2.22%;348kB / 15.6MB
28.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;3.75%;352kB / 17.2MB
29.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;3.75%;352kB / 17.2MB
29.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;3.35%;356kB / 18.3MB
30.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;3.35%;356kB / 18.3MB
30.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;2.02%;359kB / 18.7MB
31.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;2.02%;359kB / 18.7MB
31.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;1.63%;360kB / 19MB
32.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;1.63%;360kB / 19MB
32.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;1.69%;364kB / 19.2MB
33.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;1.69%;364kB / 19.2MB
33.5;97656f95406d;ngtcp2;11.67MiB / 1.953GiB;0.58%;1.94%;375kB / 19.4MB
34.0;97656f95406d;ngtcp2;11.67MiB / 1.953GiB;0.58%;1.94%;375kB / 19.4MB
34.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;0.00%;375kB / 19.4MB
35.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;0.00%;375kB / 19.4MB
35.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;0.00%;375kB / 19.4MB
36.0;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;0.00%;375kB / 19.4MB
36.5;97656f95406d;ngtcp2;11.55MiB / 1.953GiB;0.58%;0.00%;375kB / 19.4MB
