0.0;0fabb96793ba;ngtcp2;5.191MiB / 1.953GiB;0.26%;0.00%;438B / 0B
0.5;0fabb96793ba;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;0fabb96793ba;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;0fabb96793ba;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;0fabb96793ba;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;12.06%;27.1kB / 301kB
3.0;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;12.06%;27.1kB / 301kB
3.5;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;3.41%;30.9kB / 1.53MB
4.0;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;3.41%;30.9kB / 1.53MB
4.5;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;2.44%;32.3kB / 2.47MB
5.0;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;2.44%;32.3kB / 2.47MB
5.5;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;1.81%;35.9kB / 2.9MB
6.0;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;1.81%;35.9kB / 2.9MB
6.5;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;0.00%;35.9kB / 2.9MB
7.0;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;0.00%;35.9kB / 2.9MB
7.5;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;0.00%;36kB / 2.9MB
8.0;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;0.00%;36kB / 2.9MB
8.5;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;0.00%;36kB / 2.9MB
9.0;0fabb96793ba;ngtcp2;6.164MiB / 1.953GiB;0.31%;0.00%;36kB / 2.9MB
