0.0;664245af4c4f;ngtcp2;5.215MiB / 1.953GiB;0.26%;0.00%;598B / 0B
0.5;664245af4c4f;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;664245af4c4f;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;664245af4c4f;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;664245af4c4f;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;664245af4c4f;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.0;664245af4c4f;ngtcp2;5.402MiB / 1.953GiB;0.27%;1.71%;5.91kB / 10.2kB
3.5;664245af4c4f;ngtcp2;5.402MiB / 1.953GiB;0.27%;1.71%;5.91kB / 10.2kB
4.0;664245af4c4f;ngtcp2;5.684MiB / 1.953GiB;0.28%;5.96%;25.6kB / 162kB
4.5;664245af4c4f;ngtcp2;5.684MiB / 1.953GiB;0.28%;5.96%;25.6kB / 162kB
5.0;664245af4c4f;ngtcp2;6.801MiB / 1.953GiB;0.34%;13.86%;80.5kB / 473kB
5.5;664245af4c4f;ngtcp2;6.801MiB / 1.953GiB;0.34%;13.86%;80.5kB / 473kB
6.0;664245af4c4f;ngtcp2;9.461MiB / 1.953GiB;0.47%;30.20%;205kB / 1.26MB
6.5;664245af4c4f;ngtcp2;9.461MiB / 1.953GiB;0.47%;30.20%;205kB / 1.26MB
7.0;664245af4c4f;ngtcp2;11.68MiB / 1.953GiB;0.58%;41.44%;355kB / 2.85MB
7.5;664245af4c4f;ngtcp2;11.68MiB / 1.953GiB;0.58%;41.44%;355kB / 2.85MB
8.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;35.93%;477kB / 4.48MB
8.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;35.93%;477kB / 4.48MB
9.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;3.26%;479kB / 5.09MB
9.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;3.26%;479kB / 5.09MB
10.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;5.00%;487kB / 6.58MB
10.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;5.00%;487kB / 6.58MB
11.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;5.10%;494kB / 7.93MB
11.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;5.10%;494kB / 7.93MB
12.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;4.76%;500kB / 9.2MB
12.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;4.76%;500kB / 9.2MB
13.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;3.01%;503kB / 9.88MB
13.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;3.01%;503kB / 9.88MB
14.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;1.92%;504kB / 10.4MB
14.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;1.92%;504kB / 10.4MB
15.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;3.27%;507kB / 11.8MB
15.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;3.27%;507kB / 11.8MB
16.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;4.10%;510kB / 13.5MB
16.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;4.10%;510kB / 13.5MB
17.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;3.77%;513kB / 14.8MB
17.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;3.77%;513kB / 14.8MB
18.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;2.83%;515kB / 15.8MB
