0.0;1b32cdd6318f;ngtcp2;5.258MiB / 1.953GiB;0.26%;0.00%;438B / 0B
0.5;1b32cdd6318f;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;1b32cdd6318f;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;1b32cdd6318f;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;1b32cdd6318f;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;1b32cdd6318f;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.0;1b32cdd6318f;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.5;1b32cdd6318f;ngtcp2;5.332MiB / 1.953GiB;0.27%;2.35%;6.02kB / 12.7kB
4.0;1b32cdd6318f;ngtcp2;5.332MiB / 1.953GiB;0.27%;2.35%;6.02kB / 12.7kB
4.5;1b32cdd6318f;ngtcp2;6.516MiB / 1.953GiB;0.33%;13.14%;49.2kB / 181kB
5.0;1b32cdd6318f;ngtcp2;6.516MiB / 1.953GiB;0.33%;13.14%;49.2kB / 181kB
5.5;1b32cdd6318f;ngtcp2;7.434MiB / 1.953GiB;0.37%;13.59%;97.5kB / 581kB
6.0;1b32cdd6318f;ngtcp2;7.434MiB / 1.953GiB;0.37%;13.59%;97.5kB / 581kB
6.5;1b32cdd6318f;ngtcp2;7.742MiB / 1.953GiB;0.39%;10.33%;129kB / 916kB
7.0;1b32cdd6318f;ngtcp2;7.742MiB / 1.953GiB;0.39%;10.33%;129kB / 916kB
7.5;1b32cdd6318f;ngtcp2;8.105MiB / 1.953GiB;0.41%;6.92%;151kB / 1.2MB
8.0;1b32cdd6318f;ngtcp2;8.105MiB / 1.953GiB;0.41%;6.92%;151kB / 1.2MB
8.5;1b32cdd6318f;ngtcp2;8.637MiB / 1.953GiB;0.43%;11.64%;181kB / 1.43MB
9.0;1b32cdd6318f;ngtcp2;8.637MiB / 1.953GiB;0.43%;11.64%;181kB / 1.43MB
9.5;1b32cdd6318f;ngtcp2;8.559MiB / 1.953GiB;0.43%;4.18%;192kB / 1.69MB
10.0;1b32cdd6318f;ngtcp2;8.559MiB / 1.953GiB;0.43%;4.18%;192kB / 1.69MB
10.5;1b32cdd6318f;ngtcp2;9.426MiB / 1.953GiB;0.47%;13.66%;229kB / 1.95MB
11.0;1b32cdd6318f;ngtcp2;9.426MiB / 1.953GiB;0.47%;13.66%;229kB / 1.95MB
11.5;1b32cdd6318f;ngtcp2;10.5MiB / 1.953GiB;0.53%;19.55%;295kB / 2.34MB
12.0;1b32cdd6318f;ngtcp2;10.5MiB / 1.953GiB;0.53%;19.55%;295kB / 2.34MB
12.5;1b32cdd6318f;ngtcp2;12.23MiB / 1.953GiB;0.61%;27.29%;358kB / 2.9MB
