0.0;ae36daeeba34;ngtcp2;5.211MiB / 1.953GiB;0.26%;0.00%;598B / 0B
0.5;ae36daeeba34;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;ae36daeeba34;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;ae36daeeba34;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;ae36daeeba34;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;ae36daeeba34;ngtcp2;5.828MiB / 1.953GiB;0.29%;7.72%;21.1kB / 51.5kB
3.0;ae36daeeba34;ngtcp2;5.828MiB / 1.953GiB;0.29%;7.72%;21.1kB / 51.5kB
3.5;ae36daeeba34;ngtcp2;7.695MiB / 1.953GiB;0.38%;20.30%;107kB / 518kB
4.0;ae36daeeba34;ngtcp2;7.695MiB / 1.953GiB;0.38%;20.30%;107kB / 518kB
4.5;ae36daeeba34;ngtcp2;7.695MiB / 1.953GiB;0.38%;20.30%;107kB / 518kB
5.0;ae36daeeba34;ngtcp2;7.629MiB / 1.953GiB;0.38%;4.19%;120kB / 1.03MB
5.5;ae36daeeba34;ngtcp2;7.629MiB / 1.953GiB;0.38%;4.19%;120kB / 1.03MB
6.0;ae36daeeba34;ngtcp2;8.75MiB / 1.953GiB;0.44%;22.33%;194kB / 1.57MB
6.5;ae36daeeba34;ngtcp2;8.75MiB / 1.953GiB;0.44%;22.33%;194kB / 1.57MB
7.0;ae36daeeba34;ngtcp2;10.87MiB / 1.953GiB;0.54%;28.63%;341kB / 2.33MB
7.5;ae36daeeba34;ngtcp2;10.87MiB / 1.953GiB;0.54%;28.63%;341kB / 2.33MB
8.0;ae36daeeba34;ngtcp2;14.51MiB / 1.953GiB;0.73%;46.47%;499kB / 3.63MB
8.5;ae36daeeba34;ngtcp2;14.51MiB / 1.953GiB;0.73%;46.47%;499kB / 3.63MB
9.0;ae36daeeba34;ngtcp2;16.45MiB / 1.953GiB;0.82%;31.81%;623kB / 5.58MB
9.5;ae36daeeba34;ngtcp2;16.45MiB / 1.953GiB;0.82%;31.81%;623kB / 5.58MB
10.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;12.25%;644kB / 7.1MB
10.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;12.25%;644kB / 7.1MB
11.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.32%;647kB / 7.81MB
11.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.32%;647kB / 7.81MB
12.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;4.09%;652kB / 8.8MB
12.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;4.09%;652kB / 8.8MB
13.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;4.91%;658kB / 10MB
13.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;4.91%;658kB / 10MB
14.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;5.24%;667kB / 11.5MB
14.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;5.24%;667kB / 11.5MB
15.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;4.69%;673kB / 13MB
15.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;4.69%;673kB / 13MB
16.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.86%;676kB / 14MB
16.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.86%;676kB / 14MB
17.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.22%;677kB / 14.5MB
17.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.22%;677kB / 14.5MB
18.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.22%;679kB / 15.2MB
18.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.22%;679kB / 15.2MB
19.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.18%;681kB / 16.5MB
19.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.18%;681kB / 16.5MB
20.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.85%;685kB / 18.1MB
20.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.85%;685kB / 18.1MB
21.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;4.54%;688kB / 19.5MB
21.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;4.54%;688kB / 19.5MB
22.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.58%;691kB / 20.8MB
22.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.58%;691kB / 20.8MB
23.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.41%;692kB / 21.5MB
23.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.41%;692kB / 21.5MB
24.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.28%;693kB / 22.3MB
24.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.28%;693kB / 22.3MB
25.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;1.61%;695kB / 22.9MB
25.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;1.61%;695kB / 22.9MB
26.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.06%;696kB / 23.6MB
26.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.06%;696kB / 23.6MB
27.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.34%;698kB / 25MB
27.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.34%;698kB / 25MB
28.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;4.25%;702kB / 26.8MB
28.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;4.25%;702kB / 26.8MB
29.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.99%;704kB / 28.4MB
29.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.99%;704kB / 28.4MB
30.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.73%;707kB / 29.7MB
30.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.73%;707kB / 29.7MB
31.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.10%;709kB / 30.8MB
31.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.10%;709kB / 30.8MB
32.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.70%;711kB / 31.5MB
32.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.70%;711kB / 31.5MB
33.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;1.60%;712kB / 31.9MB
33.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;1.60%;712kB / 31.9MB
34.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.33%;714kB / 32.6MB
34.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.33%;714kB / 32.6MB
35.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;1.53%;716kB / 33MB
35.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;1.53%;716kB / 33MB
36.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.76%;719kB / 33.9MB
36.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.76%;719kB / 33.9MB
37.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.56%;725kB / 35.3MB
37.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.56%;725kB / 35.3MB
38.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.30%;730kB / 36.5MB
38.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.30%;730kB / 36.5MB
39.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.54%;735kB / 37.6MB
39.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;3.54%;735kB / 37.6MB
40.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.60%;738kB / 38.2MB
40.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.60%;738kB / 38.2MB
41.0;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.33%;742kB / 38.6MB
41.5;ae36daeeba34;ngtcp2;17MiB / 1.953GiB;0.85%;2.33%;742kB / 38.6MB
