0.0;7434b0bfb72b;ngtcp2;5.184MiB / 1.953GiB;0.26%;0.00%;438B / 0B
0.5;7434b0bfb72b;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;7434b0bfb72b;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;7434b0bfb72b;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;7434b0bfb72b;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;7434b0bfb72b;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.0;7434b0bfb72b;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.5;7434b0bfb72b;ngtcp2;5.773MiB / 1.953GiB;0.29%;8.55%;10kB / 22.6kB
4.0;7434b0bfb72b;ngtcp2;5.773MiB / 1.953GiB;0.29%;8.55%;10kB / 22.6kB
4.5;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;25.90%;97.2kB / 948kB
5.0;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;25.90%;97.2kB / 948kB
5.5;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;4.18%;103kB / 2.14MB
6.0;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;4.18%;103kB / 2.14MB
6.5;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;3.69%;107kB / 3.64MB
7.0;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;3.69%;107kB / 3.64MB
7.5;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;2.22%;108kB / 4.27MB
8.0;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;2.22%;108kB / 4.27MB
8.5;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;3.22%;111kB / 5.63MB
9.0;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;3.22%;111kB / 5.63MB
9.5;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;2.12%;112kB / 6.41MB
10.0;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;2.12%;112kB / 6.41MB
10.5;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;2.95%;115kB / 7.36MB
11.0;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;2.95%;115kB / 7.36MB
11.5;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;1.73%;118kB / 7.69MB
12.0;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;1.73%;118kB / 7.69MB
12.5;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;0.73%;122kB / 7.74MB
13.0;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;0.73%;122kB / 7.74MB
13.5;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;0.00%;122kB / 7.74MB
14.0;7434b0bfb72b;ngtcp2;7.82MiB / 1.953GiB;0.39%;0.00%;122kB / 7.74MB
