0.0;dbab3fda1d4a;ngtcp2;5.172MiB / 1.953GiB;0.26%;0.00%;438B / 0B
0.5;dbab3fda1d4a;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;dbab3fda1d4a;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;dbab3fda1d4a;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;dbab3fda1d4a;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;33.42%;91.5kB / 840kB
3.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;33.42%;91.5kB / 840kB
3.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;4.90%;98.3kB / 2.05MB
4.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;4.90%;98.3kB / 2.05MB
4.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;2.78%;100kB / 2.99MB
5.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;2.78%;100kB / 2.99MB
5.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;2.48%;102kB / 3.68MB
6.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;2.48%;102kB / 3.68MB
6.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;3.58%;105kB / 5.23MB
7.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;3.58%;105kB / 5.23MB
7.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;2.18%;106kB / 6.05MB
8.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;2.18%;106kB / 6.05MB
8.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;2.64%;108kB / 6.93MB
9.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;2.64%;108kB / 6.93MB
9.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;2.45%;112kB / 7.55MB
10.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;2.45%;112kB / 7.55MB
10.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;1.63%;118kB / 7.73MB
11.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;1.63%;118kB / 7.73MB
11.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;0.00%;118kB / 7.73MB
12.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;0.00%;118kB / 7.73MB
12.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;0.00%;118kB / 7.73MB
13.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;0.00%;118kB / 7.73MB
13.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;0.00%;118kB / 7.73MB
14.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;0.00%;118kB / 7.73MB
14.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;0.00%;118kB / 7.73MB
15.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;0.00%;118kB / 7.73MB
15.5;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;0.00%;118kB / 7.73MB
16.0;dbab3fda1d4a;ngtcp2;7.77MiB / 1.953GiB;0.39%;0.00%;118kB / 7.73MB
