0.0;339a31a9df33;ngtcp2;5.188MiB / 1.953GiB;0.26%;0.00%;438B / 0B
0.5;339a31a9df33;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;339a31a9df33;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;339a31a9df33;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;339a31a9df33;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;339a31a9df33;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.0;339a31a9df33;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.5;339a31a9df33;ngtcp2;5.555MiB / 1.953GiB;0.28%;5.09%;10.6kB / 629kB
4.0;339a31a9df33;ngtcp2;5.555MiB / 1.953GiB;0.28%;5.09%;10.6kB / 629kB
4.5;339a31a9df33;ngtcp2;5.555MiB / 1.953GiB;0.28%;1.09%;11.5kB / 967kB
5.0;339a31a9df33;ngtcp2;5.555MiB / 1.953GiB;0.28%;1.09%;11.5kB / 967kB
5.5;339a31a9df33;ngtcp2;5.555MiB / 1.953GiB;0.28%;0.00%;11.5kB / 967kB
