0.0;a59d44847b0a;quicker;91.44MiB / 1.953GiB;4.57%;100.59%;438B / 0B
0.5;a59d44847b0a;quicker;124.1MiB / 1.953GiB;6.20%;99.57%;688B / 0B
1.0;a59d44847b0a;quicker;124.1MiB / 1.953GiB;6.20%;99.57%;688B / 0B
1.5;a59d44847b0a;quicker;124.1MiB / 1.953GiB;6.20%;99.57%;688B / 0B
2.0;a59d44847b0a;quicker;140.3MiB / 1.953GiB;7.01%;98.54%;688B / 0B
2.5;a59d44847b0a;quicker;140.3MiB / 1.953GiB;7.01%;98.54%;688B / 0B
3.0;a59d44847b0a;quicker;149.4MiB / 1.953GiB;7.47%;99.54%;688B / 0B
3.5;a59d44847b0a;quicker;149.4MiB / 1.953GiB;7.47%;99.54%;688B / 0B
4.0;a59d44847b0a;quicker;156.4MiB / 1.953GiB;7.82%;98.51%;688B / 0B
4.5;a59d44847b0a;quicker;156.4MiB / 1.953GiB;7.82%;98.51%;688B / 0B
5.0;a59d44847b0a;quicker;167.2MiB / 1.953GiB;8.36%;99.44%;758B / 0B
5.5;a59d44847b0a;quicker;167.2MiB / 1.953GiB;8.36%;99.44%;758B / 0B
6.0;a59d44847b0a;quicker;17.8MiB / 1.953GiB;0.89%;28.84%;758B / 0B
6.5;a59d44847b0a;quicker;17.8MiB / 1.953GiB;0.89%;28.84%;758B / 0B
7.0;a59d44847b0a;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.5;a59d44847b0a;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
8.0;a59d44847b0a;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
8.5;a59d44847b0a;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
9.0;a59d44847b0a;quicker;31.07MiB / 1.953GiB;1.55%;69.39%;29.3kB / 39.5kB
9.5;a59d44847b0a;quicker;31.07MiB / 1.953GiB;1.55%;69.39%;29.3kB / 39.5kB
10.0;a59d44847b0a;quicker;42.64MiB / 1.953GiB;2.13%;56.91%;32.2kB / 571kB
10.5;a59d44847b0a;quicker;42.64MiB / 1.953GiB;2.13%;56.91%;32.2kB / 571kB
11.0;a59d44847b0a;quicker;45.49MiB / 1.953GiB;2.27%;82.10%;34.4kB / 1.93MB
11.5;a59d44847b0a;quicker;45.49MiB / 1.953GiB;2.27%;82.10%;34.4kB / 1.93MB
12.0;a59d44847b0a;quicker;45.95MiB / 1.953GiB;2.30%;4.94%;34.9kB / 1.93MB
12.5;a59d44847b0a;quicker;45.95MiB / 1.953GiB;2.30%;4.94%;34.9kB / 1.93MB
13.0;a59d44847b0a;quicker;45.95MiB / 1.953GiB;2.30%;0.20%;34.9kB / 1.93MB
