0.0;f537a2eb31ca;quicker;97.05MiB / 1.953GiB;4.85%;99.62%;438B / 0B
0.5;f537a2eb31ca;quicker;125.8MiB / 1.953GiB;6.29%;98.61%;688B / 0B
1.0;f537a2eb31ca;quicker;125.8MiB / 1.953GiB;6.29%;98.61%;688B / 0B
1.5;f537a2eb31ca;quicker;140.3MiB / 1.953GiB;7.02%;99.53%;688B / 0B
2.0;f537a2eb31ca;quicker;140.3MiB / 1.953GiB;7.02%;99.53%;688B / 0B
2.5;f537a2eb31ca;quicker;140.3MiB / 1.953GiB;7.02%;99.53%;688B / 0B
3.0;f537a2eb31ca;quicker;148.8MiB / 1.953GiB;7.44%;99.56%;688B / 0B
3.5;f537a2eb31ca;quicker;148.8MiB / 1.953GiB;7.44%;99.56%;688B / 0B
4.0;f537a2eb31ca;quicker;155.4MiB / 1.953GiB;7.77%;99.58%;688B / 0B
4.5;f537a2eb31ca;quicker;155.4MiB / 1.953GiB;7.77%;99.58%;688B / 0B
5.0;f537a2eb31ca;quicker;167.6MiB / 1.953GiB;8.38%;99.43%;758B / 0B
5.5;f537a2eb31ca;quicker;167.6MiB / 1.953GiB;8.38%;99.43%;758B / 0B
6.0;f537a2eb31ca;quicker;17.8MiB / 1.953GiB;0.89%;35.67%;758B / 0B
6.5;f537a2eb31ca;quicker;17.8MiB / 1.953GiB;0.89%;35.67%;758B / 0B
7.0;f537a2eb31ca;quicker;20.94MiB / 1.953GiB;1.05%;21.22%;13.8kB / 1.34kB
7.5;f537a2eb31ca;quicker;20.94MiB / 1.953GiB;1.05%;21.22%;13.8kB / 1.34kB
8.0;f537a2eb31ca;quicker;37.32MiB / 1.953GiB;1.87%;65.98%;31.3kB / 213kB
8.5;f537a2eb31ca;quicker;37.32MiB / 1.953GiB;1.87%;65.98%;31.3kB / 213kB
9.0;f537a2eb31ca;quicker;43.41MiB / 1.953GiB;2.17%;61.96%;34.3kB / 1.08MB
9.5;f537a2eb31ca;quicker;43.41MiB / 1.953GiB;2.17%;61.96%;34.3kB / 1.08MB
10.0;f537a2eb31ca;quicker;45.54MiB / 1.953GiB;2.28%;67.54%;35.9kB / 1.94MB
10.5;f537a2eb31ca;quicker;45.54MiB / 1.953GiB;2.28%;67.54%;35.9kB / 1.94MB
11.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;2.80%;36.2kB / 1.94MB
11.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;2.80%;36.2kB / 1.94MB
12.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.19%;36.2kB / 1.94MB
12.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.19%;36.2kB / 1.94MB
13.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.16%;36.2kB / 1.94MB
13.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.16%;36.2kB / 1.94MB
14.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.09%;36.2kB / 1.94MB
14.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.09%;36.2kB / 1.94MB
15.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.06%;36.2kB / 1.94MB
15.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.06%;36.2kB / 1.94MB
16.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.09%;36.2kB / 1.94MB
16.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.09%;36.2kB / 1.94MB
17.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.05%;36.2kB / 1.94MB
17.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.05%;36.2kB / 1.94MB
18.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.03%;36.2kB / 1.94MB
18.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.03%;36.2kB / 1.94MB
19.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
19.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
20.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.05%;36.2kB / 1.94MB
20.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.05%;36.2kB / 1.94MB
21.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
21.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
22.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.02%;36.2kB / 1.94MB
22.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.02%;36.2kB / 1.94MB
23.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.12%;36.2kB / 1.94MB
23.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.12%;36.2kB / 1.94MB
24.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.04%;36.2kB / 1.94MB
24.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.04%;36.2kB / 1.94MB
25.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
25.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
26.0;f537a2eb31ca;quicker;45.92MiB / 1.953GiB;2.30%;0.13%;36.2kB / 1.94MB
26.5;f537a2eb31ca;quicker;45.92MiB / 1.953GiB;2.30%;0.13%;36.2kB / 1.94MB
27.0;f537a2eb31ca;quicker;45.92MiB / 1.953GiB;2.30%;0.00%;36.2kB / 1.94MB
27.5;f537a2eb31ca;quicker;45.92MiB / 1.953GiB;2.30%;0.00%;36.2kB / 1.94MB
28.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
28.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
29.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.02%;36.2kB / 1.94MB
29.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.02%;36.2kB / 1.94MB
30.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
30.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
31.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.02%;36.2kB / 1.94MB
31.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.02%;36.2kB / 1.94MB
32.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.01%;36.2kB / 1.94MB
32.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.01%;36.2kB / 1.94MB
33.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
33.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
34.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.02%;36.2kB / 1.94MB
34.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.02%;36.2kB / 1.94MB
35.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
35.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
36.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.12%;36.2kB / 1.94MB
36.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.12%;36.2kB / 1.94MB
37.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.01%;36.2kB / 1.94MB
37.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.01%;36.2kB / 1.94MB
38.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
38.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
39.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
39.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.2kB / 1.94MB
40.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.68%;36.7kB / 1.94MB
40.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.68%;36.7kB / 1.94MB
41.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.04%;36.7kB / 1.94MB
41.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.04%;36.7kB / 1.94MB
42.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.7kB / 1.94MB
42.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.7kB / 1.94MB
43.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.03%;36.7kB / 1.94MB
43.5;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.03%;36.7kB / 1.94MB
44.0;f537a2eb31ca;quicker;45.8MiB / 1.953GiB;2.29%;0.00%;36.7kB / 1.94MB
