0.0;482f1c94717a;quicker;93.44MiB / 1.953GiB;4.67%;100.62%;598B / 0B
0.5;482f1c94717a;quicker;122.6MiB / 1.953GiB;6.13%;98.59%;688B / 0B
1.0;482f1c94717a;quicker;122.6MiB / 1.953GiB;6.13%;98.59%;688B / 0B
1.5;482f1c94717a;quicker;137MiB / 1.953GiB;6.85%;99.57%;688B / 0B
2.0;482f1c94717a;quicker;137MiB / 1.953GiB;6.85%;99.57%;688B / 0B
2.5;482f1c94717a;quicker;147.8MiB / 1.953GiB;7.39%;98.60%;688B / 0B
3.0;482f1c94717a;quicker;147.8MiB / 1.953GiB;7.39%;98.60%;688B / 0B
3.5;482f1c94717a;quicker;155MiB / 1.953GiB;7.75%;99.50%;3.39kB / 1.22kB
4.0;482f1c94717a;quicker;155MiB / 1.953GiB;7.75%;99.50%;3.39kB / 1.22kB
4.5;482f1c94717a;quicker;8.043MiB / 1.953GiB;0.40%;99.39%;39.6kB / 3.58kB
5.0;482f1c94717a;quicker;8.043MiB / 1.953GiB;0.40%;99.39%;39.6kB / 3.58kB
5.5;482f1c94717a;quicker;25.01MiB / 1.953GiB;1.25%;63.63%;52.7kB / 50.2kB
6.0;482f1c94717a;quicker;25.01MiB / 1.953GiB;1.25%;63.63%;52.7kB / 50.2kB
6.5;482f1c94717a;quicker;42.21MiB / 1.953GiB;2.11%;61.94%;57.4kB / 536kB
7.0;482f1c94717a;quicker;42.21MiB / 1.953GiB;2.11%;61.94%;57.4kB / 536kB
7.5;482f1c94717a;quicker;44.37MiB / 1.953GiB;2.22%;68.60%;60.1kB / 1.08MB
8.0;482f1c94717a;quicker;44.37MiB / 1.953GiB;2.22%;68.60%;60.1kB / 1.08MB
8.5;482f1c94717a;quicker;46.08MiB / 1.953GiB;2.30%;45.45%;61.9kB / 1.95MB
9.0;482f1c94717a;quicker;46.08MiB / 1.953GiB;2.30%;45.45%;61.9kB / 1.95MB
9.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.34%;61.9kB / 1.95MB
10.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.34%;61.9kB / 1.95MB
10.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.18%;61.9kB / 1.95MB
11.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.18%;61.9kB / 1.95MB
11.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.12%;61.9kB / 1.95MB
12.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.12%;61.9kB / 1.95MB
12.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.10%;61.9kB / 1.95MB
13.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.10%;61.9kB / 1.95MB
13.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.14%;61.9kB / 1.95MB
14.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.14%;61.9kB / 1.95MB
14.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.08%;61.9kB / 1.95MB
15.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.08%;61.9kB / 1.95MB
15.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.04%;61.9kB / 1.95MB
16.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.04%;61.9kB / 1.95MB
16.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.08%;61.9kB / 1.95MB
17.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.08%;61.9kB / 1.95MB
17.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
18.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
18.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.09%;61.9kB / 1.95MB
19.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.09%;61.9kB / 1.95MB
19.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.09%;61.9kB / 1.95MB
20.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.06%;61.9kB / 1.95MB
20.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.06%;61.9kB / 1.95MB
21.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
21.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
22.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.09%;61.9kB / 1.95MB
22.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.09%;61.9kB / 1.95MB
23.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.04%;61.9kB / 1.95MB
23.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.04%;61.9kB / 1.95MB
24.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.03%;61.9kB / 1.95MB
24.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.03%;61.9kB / 1.95MB
25.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
25.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
26.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.04%;61.9kB / 1.95MB
26.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.04%;61.9kB / 1.95MB
27.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
27.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
