0.0;8e7f8fc6faf8;quicker;64.73MiB / 1.953GiB;3.24%;98.57%;688B / 0B
0.5;8e7f8fc6faf8;quicker;115.6MiB / 1.953GiB;5.78%;100.53%;3.32kB / 1.22kB
1.0;8e7f8fc6faf8;quicker;115.6MiB / 1.953GiB;5.78%;100.53%;3.32kB / 1.22kB
1.5;8e7f8fc6faf8;quicker;132.4MiB / 1.953GiB;6.62%;97.68%;47.3kB / 4.17kB
2.0;8e7f8fc6faf8;quicker;132.4MiB / 1.953GiB;6.62%;97.68%;47.3kB / 4.17kB
2.5;8e7f8fc6faf8;quicker;144.4MiB / 1.953GiB;7.22%;100.23%;345kB / 4.76kB
3.0;8e7f8fc6faf8;quicker;144.4MiB / 1.953GiB;7.22%;100.23%;345kB / 4.76kB
3.5;8e7f8fc6faf8;quicker;152.1MiB / 1.953GiB;7.61%;98.62%;464kB / 4.76kB
4.0;8e7f8fc6faf8;quicker;152.1MiB / 1.953GiB;7.61%;98.62%;464kB / 4.76kB
4.5;8e7f8fc6faf8;quicker;159.5MiB / 1.953GiB;7.97%;98.49%;517kB / 5.35kB
5.0;8e7f8fc6faf8;quicker;159.5MiB / 1.953GiB;7.97%;98.49%;517kB / 5.35kB
5.5;8e7f8fc6faf8;quicker;17.81MiB / 1.953GiB;0.89%;96.04%;626kB / 5.98kB
6.0;8e7f8fc6faf8;quicker;17.81MiB / 1.953GiB;0.89%;96.04%;626kB / 5.98kB
6.5;8e7f8fc6faf8;quicker;17.81MiB / 1.953GiB;0.89%;0.00%;626kB / 5.98kB
7.0;8e7f8fc6faf8;quicker;17.81MiB / 1.953GiB;0.89%;0.00%;626kB / 5.98kB
7.5;8e7f8fc6faf8;quicker;33.05MiB / 1.953GiB;1.65%;72.33%;647kB / 32.3kB
8.0;8e7f8fc6faf8;quicker;33.05MiB / 1.953GiB;1.65%;72.33%;647kB / 32.3kB
8.5;8e7f8fc6faf8;quicker;43.91MiB / 1.953GiB;2.20%;94.12%;760kB / 481kB
9.0;8e7f8fc6faf8;quicker;43.91MiB / 1.953GiB;2.20%;94.12%;760kB / 481kB
9.5;8e7f8fc6faf8;quicker;46.46MiB / 1.953GiB;2.32%;100.37%;767kB / 482kB
10.0;8e7f8fc6faf8;quicker;46.46MiB / 1.953GiB;2.32%;100.37%;767kB / 482kB
10.5;8e7f8fc6faf8;quicker;50.08MiB / 1.953GiB;2.50%;98.31%;782kB / 690kB
11.0;8e7f8fc6faf8;quicker;50.08MiB / 1.953GiB;2.50%;98.31%;782kB / 690kB
11.5;8e7f8fc6faf8;quicker;56.72MiB / 1.953GiB;2.84%;99.14%;795kB / 971kB
12.0;8e7f8fc6faf8;quicker;56.72MiB / 1.953GiB;2.84%;99.14%;795kB / 971kB
12.5;8e7f8fc6faf8;quicker;87.42MiB / 1.953GiB;4.37%;97.64%;811kB / 1.78MB
13.0;8e7f8fc6faf8;quicker;87.42MiB / 1.953GiB;4.37%;97.64%;811kB / 1.78MB
13.5;8e7f8fc6faf8;quicker;91.23MiB / 1.953GiB;4.56%;98.57%;823kB / 3.12MB
14.0;8e7f8fc6faf8;quicker;91.23MiB / 1.953GiB;4.56%;98.57%;823kB / 3.12MB
14.5;8e7f8fc6faf8;quicker;92.19MiB / 1.953GiB;4.61%;54.31%;833kB / 3.78MB
15.0;8e7f8fc6faf8;quicker;92.19MiB / 1.953GiB;4.61%;54.31%;833kB / 3.78MB
15.5;8e7f8fc6faf8;quicker;92.61MiB / 1.953GiB;4.63%;16.93%;842kB / 3.86MB
16.0;8e7f8fc6faf8;quicker;92.61MiB / 1.953GiB;4.63%;16.93%;842kB / 3.86MB
16.5;8e7f8fc6faf8;quicker;97.5MiB / 1.953GiB;4.87%;23.78%;852kB / 4.01MB
17.0;8e7f8fc6faf8;quicker;97.5MiB / 1.953GiB;4.87%;23.78%;852kB / 4.01MB
17.5;8e7f8fc6faf8;quicker;98.67MiB / 1.953GiB;4.93%;60.98%;863kB / 4.76MB
18.0;8e7f8fc6faf8;quicker;98.67MiB / 1.953GiB;4.93%;60.98%;863kB / 4.76MB
18.5;8e7f8fc6faf8;quicker;104.2MiB / 1.953GiB;5.21%;36.24%;879kB / 5MB
19.0;8e7f8fc6faf8;quicker;104.2MiB / 1.953GiB;5.21%;36.24%;879kB / 5MB
19.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;33.83%;886kB / 5.45MB
20.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;33.83%;886kB / 5.45MB
20.5;8e7f8fc6faf8;quicker;104.7MiB / 1.953GiB;5.24%;23.16%;889kB / 5.69MB
21.0;8e7f8fc6faf8;quicker;104.7MiB / 1.953GiB;5.24%;23.16%;889kB / 5.69MB
21.5;8e7f8fc6faf8;quicker;104.9MiB / 1.953GiB;5.24%;11.12%;893kB / 5.77MB
22.0;8e7f8fc6faf8;quicker;104.9MiB / 1.953GiB;5.24%;11.12%;893kB / 5.77MB
22.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.84%;894kB / 5.77MB
23.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.84%;894kB / 5.77MB
23.5;8e7f8fc6faf8;quicker;104.9MiB / 1.953GiB;5.25%;3.46%;897kB / 5.77MB
24.0;8e7f8fc6faf8;quicker;104.9MiB / 1.953GiB;5.25%;3.46%;897kB / 5.77MB
24.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;2.42%;899kB / 5.77MB
25.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;2.42%;899kB / 5.77MB
25.5;8e7f8fc6faf8;quicker;104.9MiB / 1.953GiB;5.25%;3.10%;902kB / 5.77MB
26.0;8e7f8fc6faf8;quicker;104.9MiB / 1.953GiB;5.25%;3.10%;902kB / 5.77MB
26.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.93%;902kB / 5.77MB
27.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.93%;902kB / 5.77MB
27.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.72%;903kB / 5.77MB
28.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.72%;903kB / 5.77MB
28.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;2.48%;906kB / 5.77MB
29.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;2.48%;906kB / 5.77MB
29.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.59%;908kB / 5.77MB
30.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.59%;908kB / 5.77MB
30.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.45%;908kB / 5.77MB
31.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.45%;908kB / 5.77MB
31.5;8e7f8fc6faf8;quicker;104.9MiB / 1.953GiB;5.25%;2.45%;909kB / 5.77MB
32.0;8e7f8fc6faf8;quicker;104.9MiB / 1.953GiB;5.25%;2.45%;909kB / 5.77MB
32.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.58%;909kB / 5.77MB
