0.0;0c93b8b319db;quicker;90.81MiB / 1.953GiB;4.54%;98.58%;438B / 0B
0.5;0c93b8b319db;quicker;124.8MiB / 1.953GiB;6.24%;99.55%;688B / 0B
1.0;0c93b8b319db;quicker;124.8MiB / 1.953GiB;6.24%;99.55%;688B / 0B
1.5;0c93b8b319db;quicker;140MiB / 1.953GiB;7.00%;99.58%;688B / 0B
2.0;0c93b8b319db;quicker;140MiB / 1.953GiB;7.00%;99.58%;688B / 0B
2.5;0c93b8b319db;quicker;147.2MiB / 1.953GiB;7.36%;98.56%;688B / 0B
3.0;0c93b8b319db;quicker;147.2MiB / 1.953GiB;7.36%;98.56%;688B / 0B
3.5;0c93b8b319db;quicker;155.4MiB / 1.953GiB;7.77%;100.20%;355kB / 3.58kB
4.0;0c93b8b319db;quicker;155.4MiB / 1.953GiB;7.77%;100.20%;355kB / 3.58kB
4.5;0c93b8b319db;quicker;163MiB / 1.953GiB;8.15%;98.44%;485kB / 4.17kB
5.0;0c93b8b319db;quicker;163MiB / 1.953GiB;8.15%;98.44%;485kB / 4.17kB
5.5;0c93b8b319db;quicker;19.24MiB / 1.953GiB;0.96%;67.50%;509kB / 4.17kB
6.0;0c93b8b319db;quicker;19.24MiB / 1.953GiB;0.96%;67.50%;509kB / 4.17kB
6.5;0c93b8b319db;quicker;27.73MiB / 1.953GiB;1.39%;98.31%;614kB / 5.47kB
7.0;0c93b8b319db;quicker;27.73MiB / 1.953GiB;1.39%;98.31%;614kB / 5.47kB
7.5;0c93b8b319db;quicker;32.22MiB / 1.953GiB;1.61%;99.80%;622kB / 164kB
8.0;0c93b8b319db;quicker;32.22MiB / 1.953GiB;1.61%;99.80%;622kB / 164kB
8.5;0c93b8b319db;quicker;36.13MiB / 1.953GiB;1.81%;99.20%;629kB / 401kB
9.0;0c93b8b319db;quicker;36.13MiB / 1.953GiB;1.81%;99.20%;629kB / 401kB
9.5;0c93b8b319db;quicker;50.92MiB / 1.953GiB;2.55%;98.23%;706kB / 722kB
10.0;0c93b8b319db;quicker;50.92MiB / 1.953GiB;2.55%;98.23%;706kB / 722kB
10.5;0c93b8b319db;quicker;83.02MiB / 1.953GiB;4.15%;98.81%;723kB / 1.45MB
11.0;0c93b8b319db;quicker;83.02MiB / 1.953GiB;4.15%;98.81%;723kB / 1.45MB
11.5;0c93b8b319db;quicker;89.23MiB / 1.953GiB;4.46%;81.32%;739kB / 2.14MB
12.0;0c93b8b319db;quicker;89.23MiB / 1.953GiB;4.46%;81.32%;739kB / 2.14MB
12.5;0c93b8b319db;quicker;95.32MiB / 1.953GiB;4.77%;60.65%;757kB / 2.59MB
13.0;0c93b8b319db;quicker;95.32MiB / 1.953GiB;4.77%;60.65%;757kB / 2.59MB
13.5;0c93b8b319db;quicker;100.4MiB / 1.953GiB;5.02%;58.69%;769kB / 2.98MB
14.0;0c93b8b319db;quicker;100.4MiB / 1.953GiB;5.02%;58.69%;769kB / 2.98MB
14.5;0c93b8b319db;quicker;100.4MiB / 1.953GiB;5.02%;7.26%;773kB / 2.98MB
15.0;0c93b8b319db;quicker;100.4MiB / 1.953GiB;5.02%;7.26%;773kB / 2.98MB
15.5;0c93b8b319db;quicker;100.5MiB / 1.953GiB;5.02%;13.25%;781kB / 3.02MB
16.0;0c93b8b319db;quicker;100.5MiB / 1.953GiB;5.02%;13.25%;781kB / 3.02MB
16.5;0c93b8b319db;quicker;100.5MiB / 1.953GiB;5.02%;30.40%;793kB / 3.29MB
17.0;0c93b8b319db;quicker;100.5MiB / 1.953GiB;5.02%;30.40%;793kB / 3.29MB
17.5;0c93b8b319db;quicker;100.9MiB / 1.953GiB;5.04%;12.75%;800kB / 3.34MB
18.0;0c93b8b319db;quicker;100.9MiB / 1.953GiB;5.04%;12.75%;800kB / 3.34MB
18.5;0c93b8b319db;quicker;101.1MiB / 1.953GiB;5.06%;11.84%;806kB / 3.4MB
19.0;0c93b8b319db;quicker;101.1MiB / 1.953GiB;5.06%;11.84%;806kB / 3.4MB
19.5;0c93b8b319db;quicker;101.2MiB / 1.953GiB;5.06%;10.00%;813kB / 3.43MB
