0.0;9d5c3cf323b6;quicker;64.06MiB / 1.953GiB;3.20%;99.55%;598B / 0B
0.5;9d5c3cf323b6;quicker;115.2MiB / 1.953GiB;5.76%;99.54%;688B / 0B
1.0;9d5c3cf323b6;quicker;115.2MiB / 1.953GiB;5.76%;99.54%;688B / 0B
1.5;9d5c3cf323b6;quicker;132.8MiB / 1.953GiB;6.64%;99.54%;688B / 0B
2.0;9d5c3cf323b6;quicker;132.8MiB / 1.953GiB;6.64%;99.54%;688B / 0B
2.5;9d5c3cf323b6;quicker;145.9MiB / 1.953GiB;7.29%;98.51%;688B / 0B
3.0;9d5c3cf323b6;quicker;145.9MiB / 1.953GiB;7.29%;98.51%;688B / 0B
3.5;9d5c3cf323b6;quicker;154.7MiB / 1.953GiB;7.73%;99.54%;758B / 0B
4.0;9d5c3cf323b6;quicker;154.7MiB / 1.953GiB;7.73%;99.54%;758B / 0B
4.5;9d5c3cf323b6;quicker;162.4MiB / 1.953GiB;8.12%;99.51%;758B / 0B
5.0;9d5c3cf323b6;quicker;162.4MiB / 1.953GiB;8.12%;99.51%;758B / 0B
5.5;9d5c3cf323b6;quicker;21.62MiB / 1.953GiB;1.08%;95.61%;32kB / 3.11kB
6.0;9d5c3cf323b6;quicker;21.62MiB / 1.953GiB;1.08%;95.61%;32kB / 3.11kB
6.5;9d5c3cf323b6;quicker;32.61MiB / 1.953GiB;1.63%;99.21%;94.5kB / 156kB
7.0;9d5c3cf323b6;quicker;32.61MiB / 1.953GiB;1.63%;99.21%;94.5kB / 156kB
7.5;9d5c3cf323b6;quicker;48.38MiB / 1.953GiB;2.42%;98.96%;315kB / 406kB
8.0;9d5c3cf323b6;quicker;48.38MiB / 1.953GiB;2.42%;98.96%;315kB / 406kB
8.5;9d5c3cf323b6;quicker;59.06MiB / 1.953GiB;2.95%;98.08%;454kB / 673kB
9.0;9d5c3cf323b6;quicker;59.06MiB / 1.953GiB;2.95%;98.08%;454kB / 673kB
9.5;9d5c3cf323b6;quicker;74.18MiB / 1.953GiB;3.71%;99.96%;500kB / 923kB
10.0;9d5c3cf323b6;quicker;74.18MiB / 1.953GiB;3.71%;99.96%;500kB / 923kB
10.5;9d5c3cf323b6;quicker;87.77MiB / 1.953GiB;4.39%;97.43%;541kB / 1.58MB
11.0;9d5c3cf323b6;quicker;87.77MiB / 1.953GiB;4.39%;97.43%;541kB / 1.58MB
11.5;9d5c3cf323b6;quicker;91.69MiB / 1.953GiB;4.58%;91.94%;555kB / 2.03MB
12.0;9d5c3cf323b6;quicker;91.69MiB / 1.953GiB;4.58%;91.94%;555kB / 2.03MB
12.5;9d5c3cf323b6;quicker;96.04MiB / 1.953GiB;4.80%;51.51%;570kB / 2.3MB
13.0;9d5c3cf323b6;quicker;96.04MiB / 1.953GiB;4.80%;51.51%;570kB / 2.3MB
13.5;9d5c3cf323b6;quicker;97.31MiB / 1.953GiB;4.86%;33.79%;582kB / 2.49MB
14.0;9d5c3cf323b6;quicker;97.31MiB / 1.953GiB;4.86%;33.79%;582kB / 2.49MB
14.5;9d5c3cf323b6;quicker;100.3MiB / 1.953GiB;5.02%;19.18%;592kB / 2.5MB
15.0;9d5c3cf323b6;quicker;100.3MiB / 1.953GiB;5.02%;19.18%;592kB / 2.5MB
15.5;9d5c3cf323b6;quicker;101.2MiB / 1.953GiB;5.06%;11.34%;599kB / 2.52MB
16.0;9d5c3cf323b6;quicker;101.2MiB / 1.953GiB;5.06%;11.34%;599kB / 2.52MB
16.5;9d5c3cf323b6;quicker;101.4MiB / 1.953GiB;5.07%;7.90%;603kB / 2.54MB
17.0;9d5c3cf323b6;quicker;101.4MiB / 1.953GiB;5.07%;7.90%;603kB / 2.54MB
17.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;7.37%;609kB / 2.56MB
18.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;7.37%;609kB / 2.56MB
18.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;4.22%;611kB / 2.58MB
19.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;4.22%;611kB / 2.58MB
19.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;3.04%;613kB / 2.59MB
20.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;3.04%;613kB / 2.59MB
20.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;3.79%;616kB / 2.59MB
21.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;3.79%;616kB / 2.59MB
21.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;4.75%;621kB / 2.59MB
22.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;4.75%;621kB / 2.59MB
22.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;1.71%;622kB / 2.59MB
23.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;1.71%;622kB / 2.59MB
23.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;1.84%;625kB / 2.59MB
24.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;1.84%;625kB / 2.59MB
24.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;3.13%;627kB / 2.59MB
25.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;3.13%;627kB / 2.59MB
25.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.40%;627kB / 2.59MB
26.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.40%;627kB / 2.59MB
26.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;1.71%;629kB / 2.59MB
27.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;1.71%;629kB / 2.59MB
27.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;1.32%;630kB / 2.59MB
28.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;1.32%;630kB / 2.59MB
28.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.33%;630kB / 2.59MB
29.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.33%;630kB / 2.59MB
29.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.50%;631kB / 2.59MB
