0.0;ee44606c1dae;quicker;58.8MiB / 1.953GiB;2.94%;99.57%;438B / 0B
0.5;ee44606c1dae;quicker;115.1MiB / 1.953GiB;5.76%;99.59%;598B / 0B
1.0;ee44606c1dae;quicker;115.1MiB / 1.953GiB;5.76%;99.59%;598B / 0B
1.5;ee44606c1dae;quicker;134.6MiB / 1.953GiB;6.73%;98.60%;688B / 0B
2.0;ee44606c1dae;quicker;134.6MiB / 1.953GiB;6.73%;98.60%;688B / 0B
2.5;ee44606c1dae;quicker;148.1MiB / 1.953GiB;7.40%;99.54%;688B / 0B
3.0;ee44606c1dae;quicker;148.1MiB / 1.953GiB;7.40%;99.54%;688B / 0B
3.5;ee44606c1dae;quicker;156.2MiB / 1.953GiB;7.81%;99.58%;688B / 0B
4.0;ee44606c1dae;quicker;156.2MiB / 1.953GiB;7.81%;99.58%;688B / 0B
4.5;ee44606c1dae;quicker;168.6MiB / 1.953GiB;8.43%;99.47%;758B / 0B
5.0;ee44606c1dae;quicker;168.6MiB / 1.953GiB;8.43%;99.47%;758B / 0B
5.5;ee44606c1dae;quicker;17.79MiB / 1.953GiB;0.89%;41.06%;758B / 0B
6.0;ee44606c1dae;quicker;17.79MiB / 1.953GiB;0.89%;41.06%;758B / 0B
6.5;ee44606c1dae;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.0;ee44606c1dae;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.5;ee44606c1dae;quicker;30.2MiB / 1.953GiB;1.51%;80.96%;61.9kB / 67.3kB
8.0;ee44606c1dae;quicker;30.2MiB / 1.953GiB;1.51%;80.96%;61.9kB / 67.3kB
8.5;ee44606c1dae;quicker;45.17MiB / 1.953GiB;2.26%;75.61%;66.3kB / 866kB
9.0;ee44606c1dae;quicker;45.17MiB / 1.953GiB;2.26%;75.61%;66.3kB / 866kB
9.5;ee44606c1dae;quicker;47.91MiB / 1.953GiB;2.40%;95.16%;70.2kB / 1.54MB
10.0;ee44606c1dae;quicker;47.91MiB / 1.953GiB;2.40%;95.16%;70.2kB / 1.54MB
10.5;ee44606c1dae;quicker;49.21MiB / 1.953GiB;2.46%;37.36%;73.9kB / 2.73MB
11.0;ee44606c1dae;quicker;49.21MiB / 1.953GiB;2.46%;37.36%;73.9kB / 2.73MB
11.5;ee44606c1dae;quicker;49.18MiB / 1.953GiB;2.46%;0.61%;73.9kB / 2.73MB
12.0;ee44606c1dae;quicker;49.18MiB / 1.953GiB;2.46%;0.61%;73.9kB / 2.73MB
12.5;ee44606c1dae;quicker;49.18MiB / 1.953GiB;2.46%;0.17%;73.9kB / 2.73MB
13.0;ee44606c1dae;quicker;49.18MiB / 1.953GiB;2.46%;0.17%;73.9kB / 2.73MB
13.5;ee44606c1dae;quicker;49.18MiB / 1.953GiB;2.46%;0.56%;75.2kB / 2.73MB
14.0;ee44606c1dae;quicker;49.18MiB / 1.953GiB;2.46%;0.56%;75.2kB / 2.73MB
14.5;ee44606c1dae;quicker;49.31MiB / 1.953GiB;2.47%;0.89%;75.2kB / 2.74MB
15.0;ee44606c1dae;quicker;49.31MiB / 1.953GiB;2.47%;0.89%;75.2kB / 2.74MB
15.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.07%;75.2kB / 2.74MB
16.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.07%;75.2kB / 2.74MB
16.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.25%;75.2kB / 2.74MB
17.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.25%;75.2kB / 2.74MB
17.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.08%;75.2kB / 2.74MB
18.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.08%;75.2kB / 2.74MB
18.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.03%;75.2kB / 2.74MB
19.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.03%;75.2kB / 2.74MB
19.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.16%;76.5kB / 2.74MB
20.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.16%;76.5kB / 2.74MB
20.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.00%;76.5kB / 2.74MB
21.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.00%;76.5kB / 2.74MB
21.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.19%;76.5kB / 2.74MB
22.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.19%;76.5kB / 2.74MB
22.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.17%;76.5kB / 2.74MB
23.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.17%;76.5kB / 2.74MB
23.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.19%;76.5kB / 2.74MB
24.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.19%;76.5kB / 2.74MB
24.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.08%;76.5kB / 2.74MB
25.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.08%;76.5kB / 2.74MB
25.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.05%;76.5kB / 2.74MB
26.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.05%;76.5kB / 2.74MB
26.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.00%;76.5kB / 2.74MB
27.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.00%;76.5kB / 2.74MB
27.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.06%;76.5kB / 2.74MB
28.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.06%;76.5kB / 2.74MB
28.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.00%;76.5kB / 2.74MB
29.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.00%;76.5kB / 2.74MB
29.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.00%;76.5kB / 2.74MB
30.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.00%;76.5kB / 2.74MB
30.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.00%;76.5kB / 2.74MB
31.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.00%;76.5kB / 2.74MB
31.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.00%;76.5kB / 2.74MB
32.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.00%;76.5kB / 2.74MB
32.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.38%;77.8kB / 2.74MB
33.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.38%;77.8kB / 2.74MB
33.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.08%;77.8kB / 2.74MB
34.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.08%;77.8kB / 2.74MB
34.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.04%;77.8kB / 2.74MB
35.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.04%;77.8kB / 2.74MB
35.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.12%;77.8kB / 2.74MB
36.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.12%;77.8kB / 2.74MB
36.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.10%;77.8kB / 2.74MB
37.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.10%;77.8kB / 2.74MB
37.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.09%;77.8kB / 2.74MB
38.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.09%;77.8kB / 2.74MB
38.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.12%;77.9kB / 2.74MB
39.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.12%;77.9kB / 2.74MB
39.5;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.03%;77.9kB / 2.74MB
40.0;ee44606c1dae;quicker;49.23MiB / 1.953GiB;2.46%;0.03%;77.9kB / 2.74MB
40.5;ee44606c1dae;quicker;49.36MiB / 1.953GiB;2.47%;0.90%;78.8kB / 2.74MB
41.0;ee44606c1dae;quicker;49.36MiB / 1.953GiB;2.47%;0.90%;78.8kB / 2.74MB
