0.0;eb94d920a118;quicker;91.71MiB / 1.953GiB;4.59%;96.93%;598B / 0B
0.5;eb94d920a118;quicker;126.8MiB / 1.953GiB;6.34%;99.55%;688B / 0B
1.0;eb94d920a118;quicker;126.8MiB / 1.953GiB;6.34%;99.55%;688B / 0B
1.5;eb94d920a118;quicker;140.8MiB / 1.953GiB;7.04%;99.54%;688B / 0B
2.0;eb94d920a118;quicker;140.8MiB / 1.953GiB;7.04%;99.54%;688B / 0B
2.5;eb94d920a118;quicker;149.8MiB / 1.953GiB;7.49%;99.54%;688B / 0B
3.0;eb94d920a118;quicker;149.8MiB / 1.953GiB;7.49%;99.54%;688B / 0B
3.5;eb94d920a118;quicker;155.9MiB / 1.953GiB;7.80%;98.20%;758B / 0B
4.0;eb94d920a118;quicker;155.9MiB / 1.953GiB;7.80%;98.20%;758B / 0B
4.5;eb94d920a118;quicker;164.2MiB / 1.953GiB;8.21%;100.46%;758B / 0B
5.0;eb94d920a118;quicker;164.2MiB / 1.953GiB;8.21%;100.46%;758B / 0B
5.5;eb94d920a118;quicker;27.36MiB / 1.953GiB;1.37%;87.57%;32.2kB / 32.8kB
6.0;eb94d920a118;quicker;27.36MiB / 1.953GiB;1.37%;87.57%;32.2kB / 32.8kB
6.5;eb94d920a118;quicker;37.7MiB / 1.953GiB;1.88%;81.87%;94.5kB / 206kB
7.0;eb94d920a118;quicker;37.7MiB / 1.953GiB;1.88%;81.87%;94.5kB / 206kB
7.5;eb94d920a118;quicker;51.88MiB / 1.953GiB;2.59%;99.00%;209kB / 558kB
8.0;eb94d920a118;quicker;51.88MiB / 1.953GiB;2.59%;99.00%;209kB / 558kB
8.5;eb94d920a118;quicker;74.96MiB / 1.953GiB;3.75%;98.61%;545kB / 848kB
9.0;eb94d920a118;quicker;74.96MiB / 1.953GiB;3.75%;98.61%;545kB / 848kB
9.5;eb94d920a118;quicker;77.62MiB / 1.953GiB;3.88%;99.09%;685kB / 1.08MB
10.0;eb94d920a118;quicker;77.62MiB / 1.953GiB;3.88%;99.09%;685kB / 1.08MB
10.5;eb94d920a118;quicker;83.39MiB / 1.953GiB;4.17%;99.09%;707kB / 1.49MB
11.0;eb94d920a118;quicker;83.39MiB / 1.953GiB;4.17%;99.09%;707kB / 1.49MB
11.5;eb94d920a118;quicker;90.53MiB / 1.953GiB;4.53%;98.93%;792kB / 1.97MB
12.0;eb94d920a118;quicker;90.53MiB / 1.953GiB;4.53%;98.93%;792kB / 1.97MB
12.5;eb94d920a118;quicker;99.51MiB / 1.953GiB;4.98%;97.93%;818kB / 2.63MB
13.0;eb94d920a118;quicker;99.51MiB / 1.953GiB;4.98%;97.93%;818kB / 2.63MB
13.5;eb94d920a118;quicker;107.6MiB / 1.953GiB;5.38%;99.75%;834kB / 3.34MB
14.0;eb94d920a118;quicker;107.6MiB / 1.953GiB;5.38%;99.75%;834kB / 3.34MB
14.5;eb94d920a118;quicker;108.1MiB / 1.953GiB;5.41%;98.05%;872kB / 3.84MB
15.0;eb94d920a118;quicker;108.1MiB / 1.953GiB;5.41%;98.05%;872kB / 3.84MB
15.5;eb94d920a118;quicker;116.5MiB / 1.953GiB;5.82%;88.56%;890kB / 4.96MB
16.0;eb94d920a118;quicker;116.5MiB / 1.953GiB;5.82%;88.56%;890kB / 4.96MB
16.5;eb94d920a118;quicker;117.1MiB / 1.953GiB;5.85%;46.35%;896kB / 5.48MB
17.0;eb94d920a118;quicker;117.1MiB / 1.953GiB;5.85%;46.35%;896kB / 5.48MB
17.5;eb94d920a118;quicker;119.1MiB / 1.953GiB;5.96%;15.28%;902kB / 5.55MB
18.0;eb94d920a118;quicker;119.1MiB / 1.953GiB;5.96%;15.28%;902kB / 5.55MB
18.5;eb94d920a118;quicker;119.9MiB / 1.953GiB;6.00%;58.90%;909kB / 6.31MB
