0.0;f2b6bb708603;quicker;59.12MiB / 1.953GiB;2.96%;99.53%;438B / 0B
0.5;f2b6bb708603;quicker;115MiB / 1.953GiB;5.75%;98.56%;598B / 0B
1.0;f2b6bb708603;quicker;115MiB / 1.953GiB;5.75%;98.56%;598B / 0B
1.5;f2b6bb708603;quicker;133.1MiB / 1.953GiB;6.66%;99.54%;688B / 0B
2.0;f2b6bb708603;quicker;133.1MiB / 1.953GiB;6.66%;99.54%;688B / 0B
2.5;f2b6bb708603;quicker;146.2MiB / 1.953GiB;7.31%;99.56%;688B / 0B
3.0;f2b6bb708603;quicker;146.2MiB / 1.953GiB;7.31%;99.56%;688B / 0B
3.5;f2b6bb708603;quicker;153.5MiB / 1.953GiB;7.67%;99.51%;688B / 0B
4.0;f2b6bb708603;quicker;153.5MiB / 1.953GiB;7.67%;99.51%;688B / 0B
4.5;f2b6bb708603;quicker;160.9MiB / 1.953GiB;8.04%;99.50%;758B / 0B
5.0;f2b6bb708603;quicker;160.9MiB / 1.953GiB;8.04%;99.50%;758B / 0B
5.5;f2b6bb708603;quicker;17.82MiB / 1.953GiB;0.89%;95.35%;758B / 0B
6.0;f2b6bb708603;quicker;17.82MiB / 1.953GiB;0.89%;95.35%;758B / 0B
6.5;f2b6bb708603;quicker;25.73MiB / 1.953GiB;1.29%;28.26%;7.02kB / 29.1kB
7.0;f2b6bb708603;quicker;25.73MiB / 1.953GiB;1.29%;28.26%;7.02kB / 29.1kB
7.5;f2b6bb708603;quicker;30.35MiB / 1.953GiB;1.52%;88.21%;90.1kB / 115kB
8.0;f2b6bb708603;quicker;30.35MiB / 1.953GiB;1.52%;88.21%;90.1kB / 115kB
8.5;f2b6bb708603;quicker;49.07MiB / 1.953GiB;2.45%;97.95%;245kB / 403kB
9.0;f2b6bb708603;quicker;49.07MiB / 1.953GiB;2.45%;97.95%;245kB / 403kB
9.5;f2b6bb708603;quicker;52.39MiB / 1.953GiB;2.62%;98.61%;604kB / 614kB
10.0;f2b6bb708603;quicker;52.39MiB / 1.953GiB;2.62%;98.61%;604kB / 614kB
10.5;f2b6bb708603;quicker;73.46MiB / 1.953GiB;3.67%;98.05%;740kB / 893kB
