0.0;6b64ceab096d;quicker;58.62MiB / 1.953GiB;2.93%;99.21%;598B / 0B
0.5;6b64ceab096d;quicker;110.7MiB / 1.953GiB;5.53%;99.56%;688B / 0B
1.0;6b64ceab096d;quicker;110.7MiB / 1.953GiB;5.53%;99.56%;688B / 0B
1.5;6b64ceab096d;quicker;130.6MiB / 1.953GiB;6.53%;98.29%;688B / 0B
2.0;6b64ceab096d;quicker;130.6MiB / 1.953GiB;6.53%;98.29%;688B / 0B
2.5;6b64ceab096d;quicker;143.9MiB / 1.953GiB;7.19%;99.55%;688B / 0B
3.0;6b64ceab096d;quicker;143.9MiB / 1.953GiB;7.19%;99.55%;688B / 0B
3.5;6b64ceab096d;quicker;151.5MiB / 1.953GiB;7.58%;100.55%;758B / 0B
4.0;6b64ceab096d;quicker;151.5MiB / 1.953GiB;7.58%;100.55%;758B / 0B
4.5;6b64ceab096d;quicker;159.4MiB / 1.953GiB;7.97%;98.53%;758B / 0B
5.0;6b64ceab096d;quicker;159.4MiB / 1.953GiB;7.97%;98.53%;758B / 0B
5.5;6b64ceab096d;quicker;19.2MiB / 1.953GiB;0.96%;96.18%;42.2kB / 3.58kB
6.0;6b64ceab096d;quicker;19.2MiB / 1.953GiB;0.96%;96.18%;42.2kB / 3.58kB
6.5;6b64ceab096d;quicker;29.13MiB / 1.953GiB;1.46%;98.30%;92.2kB / 90.6kB
7.0;6b64ceab096d;quicker;29.13MiB / 1.953GiB;1.46%;98.30%;92.2kB / 90.6kB
7.5;6b64ceab096d;quicker;33.34MiB / 1.953GiB;1.67%;98.87%;253kB / 299kB
8.0;6b64ceab096d;quicker;33.34MiB / 1.953GiB;1.67%;98.87%;253kB / 299kB
8.5;6b64ceab096d;quicker;51.08MiB / 1.953GiB;2.55%;99.83%;606kB / 515kB
9.0;6b64ceab096d;quicker;51.08MiB / 1.953GiB;2.55%;99.83%;606kB / 515kB
9.5;6b64ceab096d;quicker;63.59MiB / 1.953GiB;3.18%;97.98%;735kB / 754kB
10.0;6b64ceab096d;quicker;63.59MiB / 1.953GiB;3.18%;97.98%;735kB / 754kB
10.5;6b64ceab096d;quicker;78.9MiB / 1.953GiB;3.94%;98.91%;834kB / 1.02MB
