0.0;7c7fdd75f1e5;quicker;75.48MiB / 1.953GiB;3.77%;99.51%;598B / 0B
0.5;7c7fdd75f1e5;quicker;118MiB / 1.953GiB;5.90%;98.55%;688B / 0B
1.0;7c7fdd75f1e5;quicker;118MiB / 1.953GiB;5.90%;98.55%;688B / 0B
1.5;7c7fdd75f1e5;quicker;134.8MiB / 1.953GiB;6.74%;99.52%;688B / 0B
2.0;7c7fdd75f1e5;quicker;134.8MiB / 1.953GiB;6.74%;99.52%;688B / 0B
2.5;7c7fdd75f1e5;quicker;143.3MiB / 1.953GiB;7.17%;99.52%;688B / 0B
3.0;7c7fdd75f1e5;quicker;143.3MiB / 1.953GiB;7.17%;99.52%;688B / 0B
3.5;7c7fdd75f1e5;quicker;152.7MiB / 1.953GiB;7.64%;99.48%;758B / 0B
4.0;7c7fdd75f1e5;quicker;152.7MiB / 1.953GiB;7.64%;99.48%;758B / 0B
4.5;7c7fdd75f1e5;quicker;157.7MiB / 1.953GiB;7.89%;99.09%;423kB / 3.58kB
5.0;7c7fdd75f1e5;quicker;157.7MiB / 1.953GiB;7.89%;99.09%;423kB / 3.58kB
5.5;7c7fdd75f1e5;quicker;168.2MiB / 1.953GiB;8.41%;99.20%;617kB / 4.17kB
6.0;7c7fdd75f1e5;quicker;168.2MiB / 1.953GiB;8.41%;99.20%;617kB / 4.17kB
6.5;7c7fdd75f1e5;quicker;17.79MiB / 1.953GiB;0.89%;21.79%;617kB / 4.17kB
7.0;7c7fdd75f1e5;quicker;17.79MiB / 1.953GiB;0.89%;21.79%;617kB / 4.17kB
7.5;7c7fdd75f1e5;quicker;25.81MiB / 1.953GiB;1.29%;93.03%;811kB / 5.47kB
8.0;7c7fdd75f1e5;quicker;25.81MiB / 1.953GiB;1.29%;93.03%;811kB / 5.47kB
8.5;7c7fdd75f1e5;quicker;31.43MiB / 1.953GiB;1.57%;99.31%;823kB / 164kB
9.0;7c7fdd75f1e5;quicker;31.43MiB / 1.953GiB;1.57%;99.31%;823kB / 164kB
9.5;7c7fdd75f1e5;quicker;35.56MiB / 1.953GiB;1.78%;99.23%;823kB / 407kB
10.0;7c7fdd75f1e5;quicker;35.56MiB / 1.953GiB;1.78%;99.23%;823kB / 407kB
10.5;7c7fdd75f1e5;quicker;37.93MiB / 1.953GiB;1.90%;99.33%;944kB / 408kB
11.0;7c7fdd75f1e5;quicker;37.93MiB / 1.953GiB;1.90%;99.33%;944kB / 408kB
11.5;7c7fdd75f1e5;quicker;58.97MiB / 1.953GiB;2.95%;97.71%;968kB / 1.07MB
12.0;7c7fdd75f1e5;quicker;58.97MiB / 1.953GiB;2.95%;97.71%;968kB / 1.07MB
12.5;7c7fdd75f1e5;quicker;85.45MiB / 1.953GiB;4.27%;98.89%;997kB / 1.4MB
13.0;7c7fdd75f1e5;quicker;85.45MiB / 1.953GiB;4.27%;98.89%;997kB / 1.4MB
13.5;7c7fdd75f1e5;quicker;93.77MiB / 1.953GiB;4.69%;98.79%;1.02MB / 2.05MB
14.0;7c7fdd75f1e5;quicker;93.77MiB / 1.953GiB;4.69%;98.79%;1.02MB / 2.05MB
14.5;7c7fdd75f1e5;quicker;99.7MiB / 1.953GiB;4.98%;73.97%;1.02MB / 2.87MB
15.0;7c7fdd75f1e5;quicker;99.7MiB / 1.953GiB;4.98%;73.97%;1.02MB / 2.87MB
15.5;7c7fdd75f1e5;quicker;100.2MiB / 1.953GiB;5.01%;20.29%;1.03MB / 2.93MB
16.0;7c7fdd75f1e5;quicker;100.2MiB / 1.953GiB;5.01%;20.29%;1.03MB / 2.93MB
16.5;7c7fdd75f1e5;quicker;100.2MiB / 1.953GiB;5.01%;23.60%;1.09MB / 2.93MB
17.0;7c7fdd75f1e5;quicker;100.2MiB / 1.953GiB;5.01%;23.60%;1.09MB / 2.93MB
17.5;7c7fdd75f1e5;quicker;102.1MiB / 1.953GiB;5.10%;100.38%;1.1MB / 2.93MB
18.0;7c7fdd75f1e5;quicker;102.1MiB / 1.953GiB;5.10%;100.38%;1.1MB / 2.93MB
18.5;7c7fdd75f1e5;quicker;113.1MiB / 1.953GiB;5.66%;97.89%;1.14MB / 3.4MB
19.0;7c7fdd75f1e5;quicker;113.1MiB / 1.953GiB;5.66%;97.89%;1.14MB / 3.4MB
19.5;7c7fdd75f1e5;quicker;120.5MiB / 1.953GiB;6.02%;93.26%;1.16MB / 4.48MB
20.0;7c7fdd75f1e5;quicker;120.5MiB / 1.953GiB;6.02%;93.26%;1.16MB / 4.48MB
20.5;7c7fdd75f1e5;quicker;121.7MiB / 1.953GiB;6.08%;44.29%;1.17MB / 4.87MB
