0.0;540b700e61fd;quicker;61.19MiB / 1.953GiB;3.06%;100.13%;598B / 0B
0.5;540b700e61fd;quicker;114.1MiB / 1.953GiB;5.71%;99.63%;688B / 0B
1.0;540b700e61fd;quicker;114.1MiB / 1.953GiB;5.71%;99.63%;688B / 0B
1.5;540b700e61fd;quicker;132.5MiB / 1.953GiB;6.62%;97.11%;688B / 0B
2.0;540b700e61fd;quicker;132.5MiB / 1.953GiB;6.62%;97.11%;688B / 0B
2.5;540b700e61fd;quicker;144.4MiB / 1.953GiB;7.22%;98.42%;688B / 0B
3.0;540b700e61fd;quicker;144.4MiB / 1.953GiB;7.22%;98.42%;688B / 0B
3.5;540b700e61fd;quicker;153.1MiB / 1.953GiB;7.65%;99.57%;758B / 0B
4.0;540b700e61fd;quicker;153.1MiB / 1.953GiB;7.65%;99.57%;758B / 0B
4.5;540b700e61fd;quicker;160.4MiB / 1.953GiB;8.02%;99.67%;758B / 0B
5.0;540b700e61fd;quicker;160.4MiB / 1.953GiB;8.02%;99.67%;758B / 0B
5.5;540b700e61fd;quicker;17.82MiB / 1.953GiB;0.89%;95.08%;758B / 0B
6.0;540b700e61fd;quicker;17.82MiB / 1.953GiB;0.89%;95.08%;758B / 0B
6.5;540b700e61fd;quicker;22.2MiB / 1.953GiB;1.11%;42.46%;51.4kB / 1.34kB
7.0;540b700e61fd;quicker;22.2MiB / 1.953GiB;1.11%;42.46%;51.4kB / 1.34kB
7.5;540b700e61fd;quicker;47.94MiB / 1.953GiB;2.40%;100.06%;86.1kB / 446kB
8.0;540b700e61fd;quicker;47.94MiB / 1.953GiB;2.40%;100.06%;86.1kB / 446kB
8.5;540b700e61fd;quicker;49.11MiB / 1.953GiB;2.46%;83.38%;90.8kB / 1.1MB
9.0;540b700e61fd;quicker;49.11MiB / 1.953GiB;2.46%;83.38%;90.8kB / 1.1MB
9.5;540b700e61fd;quicker;68.95MiB / 1.953GiB;3.45%;92.13%;94.8kB / 3.12MB
10.0;540b700e61fd;quicker;68.95MiB / 1.953GiB;3.45%;92.13%;94.8kB / 3.12MB
10.5;540b700e61fd;quicker;69.32MiB / 1.953GiB;3.47%;55.03%;98.7kB / 3.72MB
11.0;540b700e61fd;quicker;69.32MiB / 1.953GiB;3.47%;55.03%;98.7kB / 3.72MB
11.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;1.49%;99kB / 3.72MB
12.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;1.49%;99kB / 3.72MB
12.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.39%;99kB / 3.72MB
13.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.39%;99kB / 3.72MB
13.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.75%;99.4kB / 3.72MB
14.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.75%;99.4kB / 3.72MB
14.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.30%;99.5kB / 3.72MB
15.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.30%;99.5kB / 3.72MB
15.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.07%;99.5kB / 3.72MB
16.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.07%;99.5kB / 3.72MB
16.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.50%;99.5kB / 3.72MB
17.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.50%;99.5kB / 3.72MB
17.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.04%;99.5kB / 3.72MB
18.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.04%;99.5kB / 3.72MB
18.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;99.5kB / 3.72MB
19.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;99.5kB / 3.72MB
19.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.42%;99.9kB / 3.72MB
20.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.42%;99.9kB / 3.72MB
20.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.08%;99.9kB / 3.72MB
21.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.08%;99.9kB / 3.72MB
21.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.01%;99.9kB / 3.72MB
22.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.01%;99.9kB / 3.72MB
22.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.29%;100kB / 3.72MB
23.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.29%;100kB / 3.72MB
23.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.31%;100kB / 3.72MB
24.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.31%;100kB / 3.72MB
24.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.03%;100kB / 3.72MB
25.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.03%;100kB / 3.72MB
25.5;540b700e61fd;quicker;69.34MiB / 1.953GiB;3.47%;0.05%;100kB / 3.72MB
26.0;540b700e61fd;quicker;69.34MiB / 1.953GiB;3.47%;0.05%;100kB / 3.72MB
26.5;540b700e61fd;quicker;69.34MiB / 1.953GiB;3.47%;0.00%;100kB / 3.72MB
27.0;540b700e61fd;quicker;69.34MiB / 1.953GiB;3.47%;0.00%;100kB / 3.72MB
27.5;540b700e61fd;quicker;69.34MiB / 1.953GiB;3.47%;0.00%;100kB / 3.72MB
28.0;540b700e61fd;quicker;69.34MiB / 1.953GiB;3.47%;0.00%;100kB / 3.72MB
28.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;100kB / 3.72MB
29.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;100kB / 3.72MB
29.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;100kB / 3.72MB
30.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;100kB / 3.72MB
30.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.20%;100kB / 3.72MB
31.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.20%;100kB / 3.72MB
31.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.21%;100kB / 3.72MB
32.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.21%;100kB / 3.72MB
32.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.10%;100kB / 3.72MB
33.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.10%;100kB / 3.72MB
33.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;100kB / 3.72MB
34.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;100kB / 3.72MB
34.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;100kB / 3.72MB
35.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;100kB / 3.72MB
35.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.09%;100kB / 3.72MB
36.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.09%;100kB / 3.72MB
36.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.32%;100kB / 3.72MB
37.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.32%;100kB / 3.72MB
37.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.20%;101kB / 3.72MB
38.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.20%;101kB / 3.72MB
38.5;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;101kB / 3.72MB
39.0;540b700e61fd;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;101kB / 3.72MB
39.5;540b700e61fd;quicker;69.34MiB / 1.953GiB;3.47%;0.44%;101kB / 3.72MB
40.0;540b700e61fd;quicker;69.34MiB / 1.953GiB;3.47%;0.44%;101kB / 3.72MB
40.5;540b700e61fd;quicker;38.22MiB / 1.953GiB;1.91%;1.68%;102kB / 3.72MB
41.0;540b700e61fd;quicker;38.22MiB / 1.953GiB;1.91%;1.68%;102kB / 3.72MB
41.5;540b700e61fd;quicker;38.22MiB / 1.953GiB;1.91%;0.00%;102kB / 3.72MB
42.0;540b700e61fd;quicker;38.22MiB / 1.953GiB;1.91%;0.00%;102kB / 3.72MB
42.5;540b700e61fd;quicker;38.22MiB / 1.953GiB;1.91%;0.00%;102kB / 3.72MB
43.0;540b700e61fd;quicker;38.22MiB / 1.953GiB;1.91%;0.00%;102kB / 3.72MB
43.5;540b700e61fd;quicker;38.22MiB / 1.953GiB;1.91%;0.00%;102kB / 3.72MB
