0.0;e4c7835d20de;quicker;85.23MiB / 1.953GiB;4.26%;98.60%;438B / 0B
0.5;e4c7835d20de;quicker;125MiB / 1.953GiB;6.25%;99.60%;598B / 0B
1.0;e4c7835d20de;quicker;125MiB / 1.953GiB;6.25%;99.60%;598B / 0B
1.5;e4c7835d20de;quicker;140.7MiB / 1.953GiB;7.03%;99.59%;688B / 0B
2.0;e4c7835d20de;quicker;140.7MiB / 1.953GiB;7.03%;99.59%;688B / 0B
2.5;e4c7835d20de;quicker;149.6MiB / 1.953GiB;7.48%;99.57%;688B / 0B
3.0;e4c7835d20de;quicker;149.6MiB / 1.953GiB;7.48%;99.57%;688B / 0B
3.5;e4c7835d20de;quicker;156MiB / 1.953GiB;7.80%;99.55%;688B / 0B
4.0;e4c7835d20de;quicker;156MiB / 1.953GiB;7.80%;99.55%;688B / 0B
4.5;e4c7835d20de;quicker;168.3MiB / 1.953GiB;8.41%;99.50%;758B / 0B
5.0;e4c7835d20de;quicker;168.3MiB / 1.953GiB;8.41%;99.50%;758B / 0B
5.5;e4c7835d20de;quicker;17.93MiB / 1.953GiB;0.90%;32.46%;758B / 0B
6.0;e4c7835d20de;quicker;17.93MiB / 1.953GiB;0.90%;32.46%;758B / 0B
6.5;e4c7835d20de;quicker;25.14MiB / 1.953GiB;1.26%;60.79%;54kB / 1.34kB
7.0;e4c7835d20de;quicker;25.14MiB / 1.953GiB;1.26%;60.79%;54kB / 1.34kB
7.5;e4c7835d20de;quicker;47.13MiB / 1.953GiB;2.36%;99.05%;86.6kB / 280kB
8.0;e4c7835d20de;quicker;47.13MiB / 1.953GiB;2.36%;99.05%;86.6kB / 280kB
8.5;e4c7835d20de;quicker;49.65MiB / 1.953GiB;2.48%;99.54%;94.3kB / 1.46MB
9.0;e4c7835d20de;quicker;49.65MiB / 1.953GiB;2.48%;99.54%;94.3kB / 1.46MB
9.5;e4c7835d20de;quicker;69.11MiB / 1.953GiB;3.46%;95.48%;98.8kB / 2.82MB
10.0;e4c7835d20de;quicker;69.11MiB / 1.953GiB;3.46%;95.48%;98.8kB / 2.82MB
10.5;e4c7835d20de;quicker;69.23MiB / 1.953GiB;3.46%;43.16%;101kB / 3.76MB
11.0;e4c7835d20de;quicker;69.23MiB / 1.953GiB;3.46%;43.16%;101kB / 3.76MB
11.5;e4c7835d20de;quicker;69.11MiB / 1.953GiB;3.46%;0.92%;101kB / 3.76MB
12.0;e4c7835d20de;quicker;69.11MiB / 1.953GiB;3.46%;0.92%;101kB / 3.76MB
12.5;e4c7835d20de;quicker;69.11MiB / 1.953GiB;3.46%;0.60%;101kB / 3.76MB
13.0;e4c7835d20de;quicker;69.11MiB / 1.953GiB;3.46%;0.60%;101kB / 3.76MB
13.5;e4c7835d20de;quicker;69.11MiB / 1.953GiB;3.46%;0.39%;101kB / 3.76MB
14.0;e4c7835d20de;quicker;69.11MiB / 1.953GiB;3.46%;0.39%;101kB / 3.76MB
14.5;e4c7835d20de;quicker;69.11MiB / 1.953GiB;3.46%;0.35%;101kB / 3.76MB
15.0;e4c7835d20de;quicker;69.11MiB / 1.953GiB;3.46%;0.35%;101kB / 3.76MB
15.5;e4c7835d20de;quicker;69.11MiB / 1.953GiB;3.46%;0.09%;101kB / 3.76MB
