0.0;5dd7d1a50bfe;quicker;84.62MiB / 1.953GiB;4.23%;100.58%;598B / 0B
0.5;5dd7d1a50bfe;quicker;123.8MiB / 1.953GiB;6.19%;98.59%;688B / 0B
1.0;5dd7d1a50bfe;quicker;123.8MiB / 1.953GiB;6.19%;98.59%;688B / 0B
1.5;5dd7d1a50bfe;quicker;137.7MiB / 1.953GiB;6.89%;99.53%;688B / 0B
2.0;5dd7d1a50bfe;quicker;137.7MiB / 1.953GiB;6.89%;99.53%;688B / 0B
2.5;5dd7d1a50bfe;quicker;145MiB / 1.953GiB;7.25%;99.53%;688B / 0B
3.0;5dd7d1a50bfe;quicker;145MiB / 1.953GiB;7.25%;99.53%;688B / 0B
3.5;5dd7d1a50bfe;quicker;154.2MiB / 1.953GiB;7.71%;99.49%;758B / 0B
4.0;5dd7d1a50bfe;quicker;154.2MiB / 1.953GiB;7.71%;99.49%;758B / 0B
4.5;5dd7d1a50bfe;quicker;162.1MiB / 1.953GiB;8.11%;98.51%;758B / 0B
5.0;5dd7d1a50bfe;quicker;162.1MiB / 1.953GiB;8.11%;98.51%;758B / 0B
5.5;5dd7d1a50bfe;quicker;17.85MiB / 1.953GiB;0.89%;57.44%;758B / 0B
6.0;5dd7d1a50bfe;quicker;17.85MiB / 1.953GiB;0.89%;57.44%;758B / 0B
6.5;5dd7d1a50bfe;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.0;5dd7d1a50bfe;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.5;5dd7d1a50bfe;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;828B / 0B
8.0;5dd7d1a50bfe;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;828B / 0B
8.5;5dd7d1a50bfe;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;828B / 0B
9.0;5dd7d1a50bfe;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;828B / 0B
9.5;5dd7d1a50bfe;quicker;24.82MiB / 1.953GiB;1.24%;57.80%;265kB / 1.34kB
10.0;5dd7d1a50bfe;quicker;24.82MiB / 1.953GiB;1.24%;57.80%;265kB / 1.34kB
10.5;5dd7d1a50bfe;quicker;30.78MiB / 1.953GiB;1.54%;98.09%;593kB / 192kB
11.0;5dd7d1a50bfe;quicker;30.78MiB / 1.953GiB;1.54%;98.09%;593kB / 192kB
11.5;5dd7d1a50bfe;quicker;34.17MiB / 1.953GiB;1.71%;100.05%;811kB / 353kB
12.0;5dd7d1a50bfe;quicker;34.17MiB / 1.953GiB;1.71%;100.05%;811kB / 353kB
12.5;5dd7d1a50bfe;quicker;47.72MiB / 1.953GiB;2.39%;96.86%;996kB / 558kB
13.0;5dd7d1a50bfe;quicker;47.72MiB / 1.953GiB;2.39%;96.86%;996kB / 558kB
13.5;5dd7d1a50bfe;quicker;64.93MiB / 1.953GiB;3.25%;98.81%;1.03MB / 1.03MB
14.0;5dd7d1a50bfe;quicker;64.93MiB / 1.953GiB;3.25%;98.81%;1.03MB / 1.03MB
14.5;5dd7d1a50bfe;quicker;86.66MiB / 1.953GiB;4.33%;98.91%;1.05MB / 1.44MB
15.0;5dd7d1a50bfe;quicker;86.66MiB / 1.953GiB;4.33%;98.91%;1.05MB / 1.44MB
15.5;5dd7d1a50bfe;quicker;90.78MiB / 1.953GiB;4.54%;95.19%;1.12MB / 2.39MB
