0.0;dfae21aa9eaf;quicker;60.91MiB / 1.953GiB;3.05%;99.57%;438B / 0B
0.5;dfae21aa9eaf;quicker;117.5MiB / 1.953GiB;5.87%;100.60%;598B / 0B
1.0;dfae21aa9eaf;quicker;117.5MiB / 1.953GiB;5.87%;100.60%;598B / 0B
1.5;dfae21aa9eaf;quicker;138.9MiB / 1.953GiB;6.94%;98.58%;688B / 0B
2.0;dfae21aa9eaf;quicker;138.9MiB / 1.953GiB;6.94%;98.58%;688B / 0B
2.5;dfae21aa9eaf;quicker;147.6MiB / 1.953GiB;7.38%;98.61%;688B / 0B
3.0;dfae21aa9eaf;quicker;147.6MiB / 1.953GiB;7.38%;98.61%;688B / 0B
3.5;dfae21aa9eaf;quicker;155.4MiB / 1.953GiB;7.77%;100.54%;688B / 0B
4.0;dfae21aa9eaf;quicker;155.4MiB / 1.953GiB;7.77%;100.54%;688B / 0B
4.5;dfae21aa9eaf;quicker;163.5MiB / 1.953GiB;8.18%;98.43%;758B / 0B
5.0;dfae21aa9eaf;quicker;163.5MiB / 1.953GiB;8.18%;98.43%;758B / 0B
5.5;dfae21aa9eaf;quicker;17.88MiB / 1.953GiB;0.89%;45.15%;758B / 0B
6.0;dfae21aa9eaf;quicker;17.88MiB / 1.953GiB;0.89%;45.15%;758B / 0B
6.5;dfae21aa9eaf;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.0;dfae21aa9eaf;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.5;dfae21aa9eaf;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;758B / 0B
8.0;dfae21aa9eaf;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;758B / 0B
8.5;dfae21aa9eaf;quicker;24.4MiB / 1.953GiB;1.22%;63.82%;115kB / 1.35kB
9.0;dfae21aa9eaf;quicker;24.4MiB / 1.953GiB;1.22%;63.82%;115kB / 1.35kB
9.5;dfae21aa9eaf;quicker;33.06MiB / 1.953GiB;1.65%;98.18%;147kB / 237kB
10.0;dfae21aa9eaf;quicker;33.06MiB / 1.953GiB;1.65%;98.18%;147kB / 237kB
10.5;dfae21aa9eaf;quicker;69.14MiB / 1.953GiB;3.46%;91.55%;156kB / 1.06MB
11.0;dfae21aa9eaf;quicker;69.14MiB / 1.953GiB;3.46%;91.55%;156kB / 1.06MB
11.5;dfae21aa9eaf;quicker;71.41MiB / 1.953GiB;3.57%;88.78%;163kB / 2.37MB
12.0;dfae21aa9eaf;quicker;71.41MiB / 1.953GiB;3.57%;88.78%;163kB / 2.37MB
12.5;dfae21aa9eaf;quicker;74.75MiB / 1.953GiB;3.74%;98.54%;168kB / 4.25MB
13.0;dfae21aa9eaf;quicker;74.75MiB / 1.953GiB;3.74%;98.54%;168kB / 4.25MB
13.5;dfae21aa9eaf;quicker;77.39MiB / 1.953GiB;3.87%;93.95%;176kB / 5.34MB
14.0;dfae21aa9eaf;quicker;77.39MiB / 1.953GiB;3.87%;93.95%;176kB / 5.34MB
14.5;dfae21aa9eaf;quicker;77.61MiB / 1.953GiB;3.88%;21.89%;177kB / 5.8MB
15.0;dfae21aa9eaf;quicker;77.61MiB / 1.953GiB;3.88%;21.89%;177kB / 5.8MB
15.5;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.87%;177kB / 5.8MB
16.0;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.87%;177kB / 5.8MB
16.5;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.61%;178kB / 5.8MB
17.0;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.61%;178kB / 5.8MB
17.5;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.59%;178kB / 5.8MB
18.0;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.59%;178kB / 5.8MB
18.5;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.03%;178kB / 5.8MB
19.0;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.03%;178kB / 5.8MB
19.5;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.14%;178kB / 5.8MB
20.0;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.14%;178kB / 5.8MB
20.5;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.46%;178kB / 5.8MB
21.0;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.46%;178kB / 5.8MB
21.5;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.23%;178kB / 5.8MB
22.0;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.23%;178kB / 5.8MB
22.5;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.02%;178kB / 5.8MB
23.0;dfae21aa9eaf;quicker;77.52MiB / 1.953GiB;3.88%;0.02%;178kB / 5.8MB
23.5;dfae21aa9eaf;quicker;77.65MiB / 1.953GiB;3.88%;0.68%;178kB / 5.8MB
24.0;dfae21aa9eaf;quicker;77.65MiB / 1.953GiB;3.88%;0.68%;178kB / 5.8MB
24.5;dfae21aa9eaf;quicker;77.65MiB / 1.953GiB;3.88%;0.03%;178kB / 5.8MB
25.0;dfae21aa9eaf;quicker;77.65MiB / 1.953GiB;3.88%;0.03%;178kB / 5.8MB
25.5;dfae21aa9eaf;quicker;77.65MiB / 1.953GiB;3.88%;0.04%;178kB / 5.8MB
26.0;dfae21aa9eaf;quicker;77.65MiB / 1.953GiB;3.88%;0.04%;178kB / 5.8MB
26.5;dfae21aa9eaf;quicker;77.65MiB / 1.953GiB;3.88%;0.36%;178kB / 5.8MB
27.0;dfae21aa9eaf;quicker;77.65MiB / 1.953GiB;3.88%;0.36%;178kB / 5.8MB
27.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.00%;178kB / 5.8MB
28.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.00%;178kB / 5.8MB
