0.0;58e252803903;quicker;73.18MiB / 1.953GiB;3.66%;99.57%;598B / 0B
0.5;58e252803903;quicker;121.1MiB / 1.953GiB;6.06%;98.60%;688B / 0B
1.0;58e252803903;quicker;121.1MiB / 1.953GiB;6.06%;98.60%;688B / 0B
1.5;58e252803903;quicker;130.3MiB / 1.953GiB;6.52%;99.54%;688B / 0B
2.0;58e252803903;quicker;130.3MiB / 1.953GiB;6.52%;99.54%;688B / 0B
2.5;58e252803903;quicker;145.2MiB / 1.953GiB;7.26%;99.56%;688B / 0B
3.0;58e252803903;quicker;145.2MiB / 1.953GiB;7.26%;99.56%;688B / 0B
3.5;58e252803903;quicker;153.8MiB / 1.953GiB;7.69%;99.59%;758B / 0B
4.0;58e252803903;quicker;153.8MiB / 1.953GiB;7.69%;99.59%;758B / 0B
4.5;58e252803903;quicker;161.8MiB / 1.953GiB;8.09%;99.53%;758B / 0B
5.0;58e252803903;quicker;161.8MiB / 1.953GiB;8.09%;99.53%;758B / 0B
5.5;58e252803903;quicker;17.9MiB / 1.953GiB;0.90%;67.41%;758B / 0B
6.0;58e252803903;quicker;17.9MiB / 1.953GiB;0.90%;67.41%;758B / 0B
6.5;58e252803903;quicker;25.69MiB / 1.953GiB;1.28%;84.24%;116kB / 1.34kB
7.0;58e252803903;quicker;25.69MiB / 1.953GiB;1.28%;84.24%;116kB / 1.34kB
7.5;58e252803903;quicker;33.99MiB / 1.953GiB;1.70%;98.42%;167kB / 234kB
8.0;58e252803903;quicker;33.99MiB / 1.953GiB;1.70%;98.42%;167kB / 234kB
8.5;58e252803903;quicker;68.78MiB / 1.953GiB;3.44%;99.82%;179kB / 875kB
9.0;58e252803903;quicker;68.78MiB / 1.953GiB;3.44%;99.82%;179kB / 875kB
9.5;58e252803903;quicker;71.03MiB / 1.953GiB;3.55%;88.92%;184kB / 2MB
10.0;58e252803903;quicker;71.03MiB / 1.953GiB;3.55%;88.92%;184kB / 2MB
10.5;58e252803903;quicker;72.57MiB / 1.953GiB;3.63%;85.41%;189kB / 2.79MB
11.0;58e252803903;quicker;72.57MiB / 1.953GiB;3.63%;85.41%;189kB / 2.79MB
11.5;58e252803903;quicker;76.48MiB / 1.953GiB;3.82%;97.15%;195kB / 5.17MB
