0.0;24f8ce82dc23;quicker;59.69MiB / 1.953GiB;2.98%;99.52%;438B / 0B
0.5;24f8ce82dc23;quicker;115.2MiB / 1.953GiB;5.76%;99.55%;688B / 0B
1.0;24f8ce82dc23;quicker;115.2MiB / 1.953GiB;5.76%;99.55%;688B / 0B
1.5;24f8ce82dc23;quicker;130.1MiB / 1.953GiB;6.50%;98.17%;688B / 0B
2.0;24f8ce82dc23;quicker;130.1MiB / 1.953GiB;6.50%;98.17%;688B / 0B
2.5;24f8ce82dc23;quicker;144.6MiB / 1.953GiB;7.23%;99.54%;688B / 0B
3.0;24f8ce82dc23;quicker;144.6MiB / 1.953GiB;7.23%;99.54%;688B / 0B
3.5;24f8ce82dc23;quicker;153.5MiB / 1.953GiB;7.67%;98.53%;688B / 0B
4.0;24f8ce82dc23;quicker;153.5MiB / 1.953GiB;7.67%;98.53%;688B / 0B
4.5;24f8ce82dc23;quicker;162.9MiB / 1.953GiB;8.14%;99.53%;758B / 0B
5.0;24f8ce82dc23;quicker;162.9MiB / 1.953GiB;8.14%;99.53%;758B / 0B
5.5;24f8ce82dc23;quicker;17.89MiB / 1.953GiB;0.89%;74.45%;758B / 0B
6.0;24f8ce82dc23;quicker;17.89MiB / 1.953GiB;0.89%;74.45%;758B / 0B
6.5;24f8ce82dc23;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.0;24f8ce82dc23;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.5;24f8ce82dc23;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;758B / 0B
8.0;24f8ce82dc23;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;758B / 0B
8.5;24f8ce82dc23;quicker;24.38MiB / 1.953GiB;1.22%;55.17%;112kB / 1.35kB
9.0;24f8ce82dc23;quicker;24.38MiB / 1.953GiB;1.22%;55.17%;112kB / 1.35kB
9.5;24f8ce82dc23;quicker;30.98MiB / 1.953GiB;1.55%;98.30%;217kB / 158kB
10.0;24f8ce82dc23;quicker;30.98MiB / 1.953GiB;1.55%;98.30%;217kB / 158kB
10.5;24f8ce82dc23;quicker;47.85MiB / 1.953GiB;2.39%;93.76%;232kB / 554kB
11.0;24f8ce82dc23;quicker;47.85MiB / 1.953GiB;2.39%;93.76%;232kB / 554kB
11.5;24f8ce82dc23;quicker;49.37MiB / 1.953GiB;2.47%;74.28%;235kB / 1.18MB
12.0;24f8ce82dc23;quicker;49.37MiB / 1.953GiB;2.47%;74.28%;235kB / 1.18MB
12.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;33.69%;238kB / 1.94MB
13.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;33.69%;238kB / 1.94MB
13.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.57%;238kB / 1.94MB
14.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.57%;238kB / 1.94MB
14.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.53%;238kB / 1.94MB
15.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.53%;238kB / 1.94MB
15.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.17%;238kB / 1.94MB
16.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.17%;238kB / 1.94MB
16.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.05%;238kB / 1.94MB
17.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.05%;238kB / 1.94MB
17.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.16%;238kB / 1.94MB
18.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.16%;238kB / 1.94MB
18.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.39%;238kB / 1.94MB
19.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.39%;238kB / 1.94MB
19.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.22%;238kB / 1.94MB
20.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.22%;238kB / 1.94MB
20.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.00%;238kB / 1.94MB
21.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.00%;238kB / 1.94MB
