0.0;9dd8c75a2191;quicker;73.73MiB / 1.953GiB;3.69%;98.55%;598B / 0B
0.5;9dd8c75a2191;quicker;116.9MiB / 1.953GiB;5.85%;100.56%;688B / 0B
1.0;9dd8c75a2191;quicker;116.9MiB / 1.953GiB;5.85%;100.56%;688B / 0B
1.5;9dd8c75a2191;quicker;132.9MiB / 1.953GiB;6.64%;98.53%;688B / 0B
2.0;9dd8c75a2191;quicker;132.9MiB / 1.953GiB;6.64%;98.53%;688B / 0B
2.5;9dd8c75a2191;quicker;142.6MiB / 1.953GiB;7.13%;99.58%;688B / 0B
3.0;9dd8c75a2191;quicker;142.6MiB / 1.953GiB;7.13%;99.58%;688B / 0B
3.5;9dd8c75a2191;quicker;151.5MiB / 1.953GiB;7.57%;99.55%;758B / 0B
4.0;9dd8c75a2191;quicker;151.5MiB / 1.953GiB;7.57%;99.55%;758B / 0B
4.5;9dd8c75a2191;quicker;159.3MiB / 1.953GiB;7.97%;98.58%;758B / 0B
5.0;9dd8c75a2191;quicker;159.3MiB / 1.953GiB;7.97%;98.58%;758B / 0B
5.5;9dd8c75a2191;quicker;17.92MiB / 1.953GiB;0.90%;84.15%;758B / 0B
6.0;9dd8c75a2191;quicker;17.92MiB / 1.953GiB;0.90%;84.15%;758B / 0B
6.5;9dd8c75a2191;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.0;9dd8c75a2191;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.5;9dd8c75a2191;quicker;20.05MiB / 1.953GiB;1.00%;14.59%;6.05kB / 3.92kB
8.0;9dd8c75a2191;quicker;20.05MiB / 1.953GiB;1.00%;14.59%;6.05kB / 3.92kB
8.5;9dd8c75a2191;quicker;31.93MiB / 1.953GiB;1.60%;92.69%;158kB / 130kB
9.0;9dd8c75a2191;quicker;31.93MiB / 1.953GiB;1.60%;92.69%;158kB / 130kB
9.5;9dd8c75a2191;quicker;44.63MiB / 1.953GiB;2.23%;100.12%;202kB / 395kB
10.0;9dd8c75a2191;quicker;44.63MiB / 1.953GiB;2.23%;100.12%;202kB / 395kB
10.5;9dd8c75a2191;quicker;74.39MiB / 1.953GiB;3.72%;98.08%;212kB / 939kB
11.0;9dd8c75a2191;quicker;74.39MiB / 1.953GiB;3.72%;98.08%;212kB / 939kB
11.5;9dd8c75a2191;quicker;76.53MiB / 1.953GiB;3.83%;93.19%;220kB / 2.04MB
12.0;9dd8c75a2191;quicker;76.53MiB / 1.953GiB;3.83%;93.19%;220kB / 2.04MB
12.5;9dd8c75a2191;quicker;79.9MiB / 1.953GiB;3.99%;99.10%;226kB / 4.49MB
13.0;9dd8c75a2191;quicker;79.9MiB / 1.953GiB;3.99%;99.10%;226kB / 4.49MB
13.5;9dd8c75a2191;quicker;80.91MiB / 1.953GiB;4.05%;62.62%;230kB / 5.44MB
14.0;9dd8c75a2191;quicker;80.91MiB / 1.953GiB;4.05%;62.62%;230kB / 5.44MB
14.5;9dd8c75a2191;quicker;80.93MiB / 1.953GiB;4.05%;2.92%;232kB / 5.44MB
15.0;9dd8c75a2191;quicker;80.93MiB / 1.953GiB;4.05%;2.92%;232kB / 5.44MB
