0.0;cfb52c362f2e;quicker;84.93MiB / 1.953GiB;4.25%;98.77%;598B / 0B
0.5;cfb52c362f2e;quicker;119.9MiB / 1.953GiB;6.00%;99.54%;688B / 0B
1.0;cfb52c362f2e;quicker;119.9MiB / 1.953GiB;6.00%;99.54%;688B / 0B
1.5;cfb52c362f2e;quicker;136.1MiB / 1.953GiB;6.80%;99.50%;688B / 0B
2.0;cfb52c362f2e;quicker;136.1MiB / 1.953GiB;6.80%;99.50%;688B / 0B
2.5;cfb52c362f2e;quicker;144.3MiB / 1.953GiB;7.22%;99.51%;688B / 0B
3.0;cfb52c362f2e;quicker;144.3MiB / 1.953GiB;7.22%;99.51%;688B / 0B
3.5;cfb52c362f2e;quicker;152.3MiB / 1.953GiB;7.62%;99.47%;758B / 0B
4.0;cfb52c362f2e;quicker;152.3MiB / 1.953GiB;7.62%;99.47%;758B / 0B
4.5;cfb52c362f2e;quicker;160.2MiB / 1.953GiB;8.01%;98.48%;758B / 0B
5.0;cfb52c362f2e;quicker;160.2MiB / 1.953GiB;8.01%;98.48%;758B / 0B
5.5;cfb52c362f2e;quicker;17.84MiB / 1.953GiB;0.89%;66.70%;758B / 0B
6.0;cfb52c362f2e;quicker;17.84MiB / 1.953GiB;0.89%;66.70%;758B / 0B
6.5;cfb52c362f2e;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.0;cfb52c362f2e;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.5;cfb52c362f2e;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
8.0;cfb52c362f2e;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
8.5;cfb52c362f2e;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
9.0;cfb52c362f2e;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
9.5;cfb52c362f2e;quicker;20.92MiB / 1.953GiB;1.05%;19.04%;7.44kB / 1.34kB
10.0;cfb52c362f2e;quicker;20.92MiB / 1.953GiB;1.05%;19.04%;7.44kB / 1.34kB
10.5;cfb52c362f2e;quicker;30.88MiB / 1.953GiB;1.54%;68.65%;16kB / 395kB
11.0;cfb52c362f2e;quicker;30.88MiB / 1.953GiB;1.54%;68.65%;16kB / 395kB
11.5;cfb52c362f2e;quicker;41.22MiB / 1.953GiB;2.06%;34.08%;16.9kB / 959kB
12.0;cfb52c362f2e;quicker;41.22MiB / 1.953GiB;2.06%;34.08%;16.9kB / 959kB
12.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.58%;17.1kB / 959kB
13.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.58%;17.1kB / 959kB
13.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.07%;17.1kB / 959kB
14.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.07%;17.1kB / 959kB
14.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.10%;17.1kB / 959kB
15.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.10%;17.1kB / 959kB
15.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.02%;17.1kB / 959kB
16.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.02%;17.1kB / 959kB
16.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.04%;17.1kB / 959kB
17.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.04%;17.1kB / 959kB
17.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.03%;17.1kB / 959kB
18.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.03%;17.1kB / 959kB
18.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.08%;17.1kB / 959kB
19.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.08%;17.1kB / 959kB
19.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
20.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
20.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
21.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
21.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.03%;17.1kB / 959kB
22.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.03%;17.1kB / 959kB
22.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
23.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
23.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
24.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
24.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.03%;17.1kB / 959kB
25.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.03%;17.1kB / 959kB
25.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.06%;17.1kB / 959kB
26.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.06%;17.1kB / 959kB
26.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.01%;17.1kB / 959kB
27.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.01%;17.1kB / 959kB
27.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.07%;17.1kB / 959kB
28.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.07%;17.1kB / 959kB
28.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
29.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
29.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
30.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
30.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
31.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
31.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
32.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
32.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.03%;17.1kB / 959kB
33.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.03%;17.1kB / 959kB
33.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
34.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
34.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.01%;17.1kB / 959kB
35.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.01%;17.1kB / 959kB
35.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
36.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
36.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
37.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
37.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.04%;17.1kB / 959kB
38.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.04%;17.1kB / 959kB
38.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
39.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.1kB / 959kB
39.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.01%;17.1kB / 959kB
40.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.01%;17.1kB / 959kB
40.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.03%;17.1kB / 959kB
41.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.03%;17.1kB / 959kB
41.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.22%;17.3kB / 959kB
42.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.22%;17.3kB / 959kB
42.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.10%;17.3kB / 959kB
43.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.10%;17.3kB / 959kB
43.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.3kB / 959kB
44.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.3kB / 959kB
44.5;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.3kB / 959kB
45.0;cfb52c362f2e;quicker;41.15MiB / 1.953GiB;2.06%;0.00%;17.3kB / 959kB
