0.0;fba04d224381;quicker;79.43MiB / 1.953GiB;3.97%;99.52%;598B / 0B
0.5;fba04d224381;quicker;123.4MiB / 1.953GiB;6.17%;99.57%;688B / 0B
1.0;fba04d224381;quicker;123.4MiB / 1.953GiB;6.17%;99.57%;688B / 0B
1.5;fba04d224381;quicker;138MiB / 1.953GiB;6.90%;98.55%;688B / 0B
2.0;fba04d224381;quicker;138MiB / 1.953GiB;6.90%;98.55%;688B / 0B
2.5;fba04d224381;quicker;144.9MiB / 1.953GiB;7.25%;99.51%;688B / 0B
3.0;fba04d224381;quicker;144.9MiB / 1.953GiB;7.25%;99.51%;688B / 0B
3.5;fba04d224381;quicker;154.2MiB / 1.953GiB;7.71%;99.50%;758B / 0B
4.0;fba04d224381;quicker;154.2MiB / 1.953GiB;7.71%;99.50%;758B / 0B
4.5;fba04d224381;quicker;162MiB / 1.953GiB;8.10%;99.44%;758B / 0B
5.0;fba04d224381;quicker;162MiB / 1.953GiB;8.10%;99.44%;758B / 0B
5.5;fba04d224381;quicker;17.91MiB / 1.953GiB;0.90%;56.13%;758B / 0B
6.0;fba04d224381;quicker;17.91MiB / 1.953GiB;0.90%;56.13%;758B / 0B
6.5;fba04d224381;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.0;fba04d224381;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.5;fba04d224381;quicker;29.04MiB / 1.953GiB;1.45%;48.47%;14.6kB / 14kB
8.0;fba04d224381;quicker;29.04MiB / 1.953GiB;1.45%;48.47%;14.6kB / 14kB
8.5;fba04d224381;quicker;30.98MiB / 1.953GiB;1.55%;51.23%;16.3kB / 506kB
9.0;fba04d224381;quicker;30.98MiB / 1.953GiB;1.55%;51.23%;16.3kB / 506kB
9.5;fba04d224381;quicker;40.83MiB / 1.953GiB;2.04%;30.13%;18.2kB / 790kB
10.0;fba04d224381;quicker;40.83MiB / 1.953GiB;2.04%;30.13%;18.2kB / 790kB
10.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.21%;18.3kB / 790kB
11.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.21%;18.3kB / 790kB
11.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.14%;18.3kB / 790kB
12.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.14%;18.3kB / 790kB
12.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.04%;18.4kB / 790kB
13.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.04%;18.4kB / 790kB
13.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.20%;18.6kB / 790kB
14.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.20%;18.6kB / 790kB
14.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.16%;18.6kB / 790kB
15.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.16%;18.6kB / 790kB
15.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.03%;18.6kB / 790kB
16.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.03%;18.6kB / 790kB
16.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.01%;18.6kB / 790kB
17.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.01%;18.6kB / 790kB
17.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.6kB / 790kB
18.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.6kB / 790kB
18.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.6kB / 790kB
19.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.6kB / 790kB
19.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.6kB / 790kB
20.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.6kB / 790kB
20.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.30%;18.7kB / 790kB
21.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.30%;18.7kB / 790kB
21.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.7kB / 790kB
22.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.7kB / 790kB
22.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.03%;18.7kB / 790kB
23.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.03%;18.7kB / 790kB
23.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.7kB / 790kB
24.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.7kB / 790kB
24.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.12%;18.7kB / 790kB
25.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.12%;18.7kB / 790kB
