0.0;e41c91348605;quicker;51.18MiB / 1.953GiB;2.56%;93.98%;676B / 0B
0.5;e41c91348605;quicker;97.55MiB / 1.953GiB;4.88%;96.53%;1.02kB / 0B
1.0;e41c91348605;quicker;97.55MiB / 1.953GiB;4.88%;96.53%;1.02kB / 0B
1.5;e41c91348605;quicker;127.2MiB / 1.953GiB;6.36%;98.36%;1.02kB / 0B
2.0;e41c91348605;quicker;127.2MiB / 1.953GiB;6.36%;98.36%;1.02kB / 0B
2.5;e41c91348605;quicker;139.3MiB / 1.953GiB;6.97%;97.63%;1.02kB / 0B
3.0;e41c91348605;quicker;139.3MiB / 1.953GiB;6.97%;97.63%;1.02kB / 0B
3.5;e41c91348605;quicker;148.1MiB / 1.953GiB;7.40%;100.61%;1.09kB / 0B
4.0;e41c91348605;quicker;148.1MiB / 1.953GiB;7.40%;100.61%;1.09kB / 0B
4.5;e41c91348605;quicker;153.6MiB / 1.953GiB;7.68%;97.55%;1.16kB / 0B
5.0;e41c91348605;quicker;153.6MiB / 1.953GiB;7.68%;97.55%;1.16kB / 0B
5.5;e41c91348605;quicker;162.2MiB / 1.953GiB;8.11%;98.54%;1.16kB / 0B
6.0;e41c91348605;quicker;162.2MiB / 1.953GiB;8.11%;98.54%;1.16kB / 0B
6.5;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;57.98%;1.16kB / 0B
7.0;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;57.98%;1.16kB / 0B
7.5;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.23kB / 0B
8.0;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.23kB / 0B
8.5;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.3kB / 0B
9.0;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.3kB / 0B
9.5;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.3kB / 0B
10.0;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.3kB / 0B
10.5;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.3kB / 0B
11.0;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.3kB / 0B
11.5;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.3kB / 0B
12.0;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.3kB / 0B
12.5;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.3kB / 0B
13.0;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.3kB / 0B
13.5;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.3kB / 0B
14.0;e41c91348605;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;1.3kB / 0B
14.5;e41c91348605;quicker;17.02MiB / 1.953GiB;0.85%;14.99%;7.9kB / 1.34kB
15.0;e41c91348605;quicker;17.02MiB / 1.953GiB;0.85%;14.99%;7.9kB / 1.34kB
15.5;e41c91348605;quicker;31.15MiB / 1.953GiB;1.56%;68.57%;16.6kB / 277kB
16.0;e41c91348605;quicker;31.15MiB / 1.953GiB;1.56%;68.57%;16.6kB / 277kB
16.5;e41c91348605;quicker;32.76MiB / 1.953GiB;1.64%;41.10%;17.4kB / 959kB
17.0;e41c91348605;quicker;32.76MiB / 1.953GiB;1.64%;41.10%;17.4kB / 959kB
17.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;1.21%;18.1kB / 960kB
18.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;1.21%;18.1kB / 960kB
18.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;1.21%;18.1kB / 960kB
19.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.06%;18.1kB / 960kB
19.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.06%;18.1kB / 960kB
20.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.12%;18.1kB / 960kB
20.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.12%;18.1kB / 960kB
21.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
21.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
22.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.06%;18.1kB / 960kB
22.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.06%;18.1kB / 960kB
23.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.04%;18.1kB / 960kB
23.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.04%;18.1kB / 960kB
24.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.08%;18.1kB / 960kB
24.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.08%;18.1kB / 960kB
25.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
25.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
26.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
26.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
27.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.06%;18.1kB / 960kB
27.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.06%;18.1kB / 960kB
28.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
28.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
29.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
29.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
30.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.03%;18.1kB / 960kB
30.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.03%;18.1kB / 960kB
31.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.09%;18.1kB / 960kB
31.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.09%;18.1kB / 960kB
32.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.01%;18.1kB / 960kB
32.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.01%;18.1kB / 960kB
33.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
33.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
34.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
34.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
35.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
