0.0;7a1138345e37;quicker;74.7MiB / 1.953GiB;3.73%;99.54%;598B / 0B
0.5;7a1138345e37;quicker;123.1MiB / 1.953GiB;6.16%;98.59%;688B / 0B
1.0;7a1138345e37;quicker;123.1MiB / 1.953GiB;6.16%;98.59%;688B / 0B
1.5;7a1138345e37;quicker;137.5MiB / 1.953GiB;6.87%;100.55%;688B / 0B
2.0;7a1138345e37;quicker;137.5MiB / 1.953GiB;6.87%;100.55%;688B / 0B
2.5;7a1138345e37;quicker;146.5MiB / 1.953GiB;7.32%;98.53%;688B / 0B
3.0;7a1138345e37;quicker;146.5MiB / 1.953GiB;7.32%;98.53%;688B / 0B
3.5;7a1138345e37;quicker;155.1MiB / 1.953GiB;7.75%;99.55%;758B / 0B
4.0;7a1138345e37;quicker;155.1MiB / 1.953GiB;7.75%;99.55%;758B / 0B
4.5;7a1138345e37;quicker;163.6MiB / 1.953GiB;8.18%;98.48%;758B / 0B
5.0;7a1138345e37;quicker;163.6MiB / 1.953GiB;8.18%;98.48%;758B / 0B
5.5;7a1138345e37;quicker;17.86MiB / 1.953GiB;0.89%;66.28%;758B / 0B
6.0;7a1138345e37;quicker;17.86MiB / 1.953GiB;0.89%;66.28%;758B / 0B
6.5;7a1138345e37;quicker;20.43MiB / 1.953GiB;1.02%;22.31%;5.98kB / 9.99kB
7.0;7a1138345e37;quicker;20.43MiB / 1.953GiB;1.02%;22.31%;5.98kB / 9.99kB
7.5;7a1138345e37;quicker;31.21MiB / 1.953GiB;1.56%;75.27%;169kB / 139kB
8.0;7a1138345e37;quicker;31.21MiB / 1.953GiB;1.56%;75.27%;169kB / 139kB
8.5;7a1138345e37;quicker;33.29MiB / 1.953GiB;1.66%;99.13%;246kB / 271kB
9.0;7a1138345e37;quicker;33.29MiB / 1.953GiB;1.66%;99.13%;246kB / 271kB
9.5;7a1138345e37;quicker;51.14MiB / 1.953GiB;2.56%;98.00%;264kB / 545kB
10.0;7a1138345e37;quicker;51.14MiB / 1.953GiB;2.56%;98.00%;264kB / 545kB
10.5;7a1138345e37;quicker;70.37MiB / 1.953GiB;3.52%;83.29%;274kB / 1.4MB
11.0;7a1138345e37;quicker;70.37MiB / 1.953GiB;3.52%;83.29%;274kB / 1.4MB
11.5;7a1138345e37;quicker;74.66MiB / 1.953GiB;3.73%;90.35%;280kB / 2.52MB
12.0;7a1138345e37;quicker;74.66MiB / 1.953GiB;3.73%;90.35%;280kB / 2.52MB
12.5;7a1138345e37;quicker;74.94MiB / 1.953GiB;3.75%;45.78%;282kB / 3.06MB
13.0;7a1138345e37;quicker;74.94MiB / 1.953GiB;3.75%;45.78%;282kB / 3.06MB
13.5;7a1138345e37;quicker;74.83MiB / 1.953GiB;3.74%;1.74%;283kB / 3.06MB
