0.0;ee8a50a09839;quicker;59.04MiB / 1.953GiB;2.95%;100.48%;438B / 0B
0.5;ee8a50a09839;quicker;114.8MiB / 1.953GiB;5.74%;97.94%;598B / 0B
1.0;ee8a50a09839;quicker;114.8MiB / 1.953GiB;5.74%;97.94%;598B / 0B
1.5;ee8a50a09839;quicker;133.9MiB / 1.953GiB;6.69%;99.53%;688B / 0B
2.0;ee8a50a09839;quicker;133.9MiB / 1.953GiB;6.69%;99.53%;688B / 0B
2.5;ee8a50a09839;quicker;146.2MiB / 1.953GiB;7.31%;99.46%;688B / 0B
3.0;ee8a50a09839;quicker;146.2MiB / 1.953GiB;7.31%;99.46%;688B / 0B
3.5;ee8a50a09839;quicker;152.9MiB / 1.953GiB;7.65%;97.83%;688B / 0B
4.0;ee8a50a09839;quicker;152.9MiB / 1.953GiB;7.65%;97.83%;688B / 0B
4.5;ee8a50a09839;quicker;162.4MiB / 1.953GiB;8.12%;99.43%;758B / 0B
5.0;ee8a50a09839;quicker;162.4MiB / 1.953GiB;8.12%;99.43%;758B / 0B
5.5;ee8a50a09839;quicker;17.8MiB / 1.953GiB;0.89%;79.88%;758B / 0B
6.0;ee8a50a09839;quicker;17.8MiB / 1.953GiB;0.89%;79.88%;758B / 0B
6.5;ee8a50a09839;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.0;ee8a50a09839;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.5;ee8a50a09839;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
8.0;ee8a50a09839;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
8.5;ee8a50a09839;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
9.0;ee8a50a09839;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
9.5;ee8a50a09839;quicker;29.93MiB / 1.953GiB;1.50%;49.22%;157kB / 35.5kB
10.0;ee8a50a09839;quicker;29.93MiB / 1.953GiB;1.50%;49.22%;157kB / 35.5kB
10.5;ee8a50a09839;quicker;32.37MiB / 1.953GiB;1.62%;99.23%;293kB / 138kB
11.0;ee8a50a09839;quicker;32.37MiB / 1.953GiB;1.62%;99.23%;293kB / 138kB
11.5;ee8a50a09839;quicker;45.73MiB / 1.953GiB;2.29%;98.55%;364kB / 438kB
12.0;ee8a50a09839;quicker;45.73MiB / 1.953GiB;2.29%;98.55%;364kB / 438kB
12.5;ee8a50a09839;quicker;74.05MiB / 1.953GiB;3.70%;98.72%;403kB / 860kB
13.0;ee8a50a09839;quicker;74.05MiB / 1.953GiB;3.70%;98.72%;403kB / 860kB
13.5;ee8a50a09839;quicker;85.89MiB / 1.953GiB;4.29%;98.04%;421kB / 1.69MB
14.0;ee8a50a09839;quicker;85.89MiB / 1.953GiB;4.29%;98.04%;421kB / 1.69MB
14.5;ee8a50a09839;quicker;87.37MiB / 1.953GiB;4.37%;86.42%;431kB / 2.57MB
15.0;ee8a50a09839;quicker;87.37MiB / 1.953GiB;4.37%;86.42%;431kB / 2.57MB
15.5;ee8a50a09839;quicker;90.39MiB / 1.953GiB;4.52%;97.45%;440kB / 4.52MB
16.0;ee8a50a09839;quicker;90.39MiB / 1.953GiB;4.52%;97.45%;440kB / 4.52MB
16.5;ee8a50a09839;quicker;93.3MiB / 1.953GiB;4.66%;93.51%;447kB / 6.43MB
17.0;ee8a50a09839;quicker;93.3MiB / 1.953GiB;4.66%;93.51%;447kB / 6.43MB
17.5;ee8a50a09839;quicker;93.39MiB / 1.953GiB;4.67%;8.47%;449kB / 6.61MB
18.0;ee8a50a09839;quicker;93.39MiB / 1.953GiB;4.67%;8.47%;449kB / 6.61MB
18.5;ee8a50a09839;quicker;93.31MiB / 1.953GiB;4.66%;1.70%;450kB / 6.61MB
19.0;ee8a50a09839;quicker;93.31MiB / 1.953GiB;4.66%;1.70%;450kB / 6.61MB
19.5;ee8a50a09839;quicker;93.43MiB / 1.953GiB;4.67%;3.16%;450kB / 6.61MB
20.0;ee8a50a09839;quicker;93.43MiB / 1.953GiB;4.67%;3.16%;450kB / 6.61MB
20.5;ee8a50a09839;quicker;93.46MiB / 1.953GiB;4.67%;0.66%;450kB / 6.61MB
