0.0;0c07319e19dd;quicker;59.2MiB / 1.953GiB;2.96%;98.47%;598B / 0B
0.5;0c07319e19dd;quicker;108.9MiB / 1.953GiB;5.45%;98.41%;688B / 0B
1.0;0c07319e19dd;quicker;108.9MiB / 1.953GiB;5.45%;98.41%;688B / 0B
1.5;0c07319e19dd;quicker;129.2MiB / 1.953GiB;6.46%;99.39%;688B / 0B
2.0;0c07319e19dd;quicker;129.2MiB / 1.953GiB;6.46%;99.39%;688B / 0B
2.5;0c07319e19dd;quicker;142.1MiB / 1.953GiB;7.10%;98.33%;688B / 0B
3.0;0c07319e19dd;quicker;142.1MiB / 1.953GiB;7.10%;98.33%;688B / 0B
3.5;0c07319e19dd;quicker;150.7MiB / 1.953GiB;7.53%;100.54%;758B / 0B
4.0;0c07319e19dd;quicker;150.7MiB / 1.953GiB;7.53%;100.54%;758B / 0B
4.5;0c07319e19dd;quicker;156.2MiB / 1.953GiB;7.81%;97.49%;758B / 0B
5.0;0c07319e19dd;quicker;156.2MiB / 1.953GiB;7.81%;97.49%;758B / 0B
5.5;0c07319e19dd;quicker;71.92MiB / 1.953GiB;3.60%;99.30%;758B / 0B
6.0;0c07319e19dd;quicker;71.92MiB / 1.953GiB;3.60%;99.30%;758B / 0B
6.5;0c07319e19dd;quicker;17.8MiB / 1.953GiB;0.89%;18.34%;758B / 0B
7.0;0c07319e19dd;quicker;17.8MiB / 1.953GiB;0.89%;18.34%;758B / 0B
7.5;0c07319e19dd;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
8.0;0c07319e19dd;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
8.5;0c07319e19dd;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
9.0;0c07319e19dd;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
9.5;0c07319e19dd;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
10.0;0c07319e19dd;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
10.5;0c07319e19dd;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
11.0;0c07319e19dd;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
11.5;0c07319e19dd;quicker;19.62MiB / 1.953GiB;0.98%;39.69%;55.3kB / 1.35kB
12.0;0c07319e19dd;quicker;19.62MiB / 1.953GiB;0.98%;39.69%;55.3kB / 1.35kB
12.5;0c07319e19dd;quicker;26.55MiB / 1.953GiB;1.33%;100.14%;297kB / 172kB
13.0;0c07319e19dd;quicker;26.55MiB / 1.953GiB;1.33%;100.14%;297kB / 172kB
13.5;0c07319e19dd;quicker;34.09MiB / 1.953GiB;1.70%;96.81%;371kB / 336kB
14.0;0c07319e19dd;quicker;34.09MiB / 1.953GiB;1.70%;96.81%;371kB / 336kB
14.51;0c07319e19dd;quicker;38.74MiB / 1.953GiB;1.94%;99.16%;383kB / 564kB
15.0;0c07319e19dd;quicker;38.74MiB / 1.953GiB;1.94%;99.16%;383kB / 564kB
15.5;0c07319e19dd;quicker;80.3MiB / 1.953GiB;4.01%;99.46%;421kB / 1.18MB
16.0;0c07319e19dd;quicker;80.3MiB / 1.953GiB;4.01%;99.46%;421kB / 1.18MB
16.5;0c07319e19dd;quicker;85.59MiB / 1.953GiB;4.28%;85.11%;431kB / 2.51MB
17.0;0c07319e19dd;quicker;85.59MiB / 1.953GiB;4.28%;85.11%;431kB / 2.51MB
17.5;0c07319e19dd;quicker;87.8MiB / 1.953GiB;4.39%;81.44%;437kB / 2.84MB
18.0;0c07319e19dd;quicker;87.8MiB / 1.953GiB;4.39%;81.44%;437kB / 2.84MB
18.5;0c07319e19dd;quicker;90.96MiB / 1.953GiB;4.55%;96.99%;443kB / 5.17MB
19.0;0c07319e19dd;quicker;90.96MiB / 1.953GiB;4.55%;96.99%;443kB / 5.17MB
19.5;0c07319e19dd;quicker;91.61MiB / 1.953GiB;4.58%;89.82%;449kB / 7.07MB
20.0;0c07319e19dd;quicker;91.61MiB / 1.953GiB;4.58%;89.82%;449kB / 7.07MB
20.5;0c07319e19dd;quicker;91.76MiB / 1.953GiB;4.59%;9.81%;450kB / 7.15MB
21.0;0c07319e19dd;quicker;91.76MiB / 1.953GiB;4.59%;9.81%;450kB / 7.15MB
21.5;0c07319e19dd;quicker;91.76MiB / 1.953GiB;4.59%;1.39%;450kB / 7.15MB
22.0;0c07319e19dd;quicker;91.76MiB / 1.953GiB;4.59%;1.39%;450kB / 7.15MB
22.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;2.99%;451kB / 7.15MB
23.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;2.99%;451kB / 7.15MB
23.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.72%;451kB / 7.15MB
24.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.72%;451kB / 7.15MB
24.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.14%;451kB / 7.15MB
25.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.14%;451kB / 7.15MB
25.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;1.20%;452kB / 7.15MB
26.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;1.20%;452kB / 7.15MB
26.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.52%;452kB / 7.15MB
27.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.52%;452kB / 7.15MB
27.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.40%;452kB / 7.15MB
28.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.40%;452kB / 7.15MB
28.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;1.14%;453kB / 7.15MB
29.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;1.14%;453kB / 7.15MB
29.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.37%;454kB / 7.15MB
30.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.37%;454kB / 7.15MB
