0.0;500d5f1a9345;quicker;58.6MiB / 1.953GiB;2.93%;99.30%;598B / 0B
0.5;500d5f1a9345;quicker;112.2MiB / 1.953GiB;5.61%;97.77%;688B / 0B
1.0;500d5f1a9345;quicker;112.2MiB / 1.953GiB;5.61%;97.77%;688B / 0B
1.5;500d5f1a9345;quicker;130.1MiB / 1.953GiB;6.50%;99.54%;688B / 0B
2.0;500d5f1a9345;quicker;130.1MiB / 1.953GiB;6.50%;99.54%;688B / 0B
2.5;500d5f1a9345;quicker;143.9MiB / 1.953GiB;7.19%;99.48%;688B / 0B
3.0;500d5f1a9345;quicker;143.9MiB / 1.953GiB;7.19%;99.48%;688B / 0B
3.5;500d5f1a9345;quicker;152.3MiB / 1.953GiB;7.62%;99.35%;758B / 0B
4.0;500d5f1a9345;quicker;152.3MiB / 1.953GiB;7.62%;99.35%;758B / 0B
4.5;500d5f1a9345;quicker;161.8MiB / 1.953GiB;8.09%;97.98%;758B / 0B
5.0;500d5f1a9345;quicker;161.8MiB / 1.953GiB;8.09%;97.98%;758B / 0B
5.5;500d5f1a9345;quicker;17.9MiB / 1.953GiB;0.90%;79.77%;758B / 0B
6.0;500d5f1a9345;quicker;17.9MiB / 1.953GiB;0.90%;79.77%;758B / 0B
6.5;500d5f1a9345;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.0;500d5f1a9345;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.5;500d5f1a9345;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
8.0;500d5f1a9345;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
8.5;500d5f1a9345;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
9.0;500d5f1a9345;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
9.5;500d5f1a9345;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
10.0;500d5f1a9345;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
10.5;500d5f1a9345;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
11.0;500d5f1a9345;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
11.5;500d5f1a9345;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
12.0;500d5f1a9345;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
12.5;500d5f1a9345;quicker;16.37MiB / 1.953GiB;0.82%;10.91%;45kB / 1.35kB
13.0;500d5f1a9345;quicker;16.37MiB / 1.953GiB;0.82%;10.91%;45kB / 1.35kB
13.5;500d5f1a9345;quicker;25.11MiB / 1.953GiB;1.26%;96.95%;297kB / 79.7kB
14.0;500d5f1a9345;quicker;25.11MiB / 1.953GiB;1.26%;96.95%;297kB / 79.7kB
14.5;500d5f1a9345;quicker;27.22MiB / 1.953GiB;1.36%;96.55%;384kB / 190kB
15.0;500d5f1a9345;quicker;27.22MiB / 1.953GiB;1.36%;96.55%;384kB / 190kB
15.5;500d5f1a9345;quicker;38.54MiB / 1.953GiB;1.93%;100.17%;412kB / 493kB
16.0;500d5f1a9345;quicker;38.54MiB / 1.953GiB;1.93%;100.17%;412kB / 493kB
16.5;500d5f1a9345;quicker;66.51MiB / 1.953GiB;3.33%;99.03%;446kB / 883kB
17.0;500d5f1a9345;quicker;66.51MiB / 1.953GiB;3.33%;99.03%;446kB / 883kB
17.5;500d5f1a9345;quicker;84.73MiB / 1.953GiB;4.24%;97.69%;463kB / 1.84MB
18.0;500d5f1a9345;quicker;84.73MiB / 1.953GiB;4.24%;97.69%;463kB / 1.84MB
18.5;500d5f1a9345;quicker;87.4MiB / 1.953GiB;4.37%;98.69%;469kB / 2.98MB
19.0;500d5f1a9345;quicker;87.4MiB / 1.953GiB;4.37%;98.69%;469kB / 2.98MB
19.5;500d5f1a9345;quicker;90.73MiB / 1.953GiB;4.54%;96.41%;473kB / 5.24MB
20.0;500d5f1a9345;quicker;90.73MiB / 1.953GiB;4.54%;96.41%;473kB / 5.24MB
20.5;500d5f1a9345;quicker;91.49MiB / 1.953GiB;4.57%;73.66%;478kB / 6.07MB
21.0;500d5f1a9345;quicker;91.49MiB / 1.953GiB;4.57%;73.66%;478kB / 6.07MB
21.5;500d5f1a9345;quicker;91.39MiB / 1.953GiB;4.57%;1.54%;479kB / 6.07MB
22.0;500d5f1a9345;quicker;91.39MiB / 1.953GiB;4.57%;1.54%;479kB / 6.07MB
22.5;500d5f1a9345;quicker;91.39MiB / 1.953GiB;4.57%;1.15%;479kB / 6.07MB
23.0;500d5f1a9345;quicker;91.39MiB / 1.953GiB;4.57%;1.15%;479kB / 6.07MB
23.5;500d5f1a9345;quicker;91.51MiB / 1.953GiB;4.58%;1.03%;479kB / 6.07MB
24.0;500d5f1a9345;quicker;91.51MiB / 1.953GiB;4.58%;1.03%;479kB / 6.07MB
24.5;500d5f1a9345;quicker;91.39MiB / 1.953GiB;4.57%;0.99%;480kB / 6.07MB
25.0;500d5f1a9345;quicker;91.39MiB / 1.953GiB;4.57%;0.99%;480kB / 6.07MB
25.5;500d5f1a9345;quicker;91.39MiB / 1.953GiB;4.57%;0.15%;480kB / 6.07MB
26.0;500d5f1a9345;quicker;91.39MiB / 1.953GiB;4.57%;0.15%;480kB / 6.07MB
26.5;500d5f1a9345;quicker;91.39MiB / 1.953GiB;4.57%;0.59%;480kB / 6.07MB
27.0;500d5f1a9345;quicker;91.39MiB / 1.953GiB;4.57%;0.59%;480kB / 6.07MB
27.5;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;3.02%;481kB / 6.07MB
28.0;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;3.02%;481kB / 6.07MB
28.5;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.08%;481kB / 6.07MB
29.0;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.08%;481kB / 6.07MB
29.5;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.40%;482kB / 6.07MB
30.0;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.40%;482kB / 6.07MB
30.5;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.04%;482kB / 6.07MB
31.0;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.04%;482kB / 6.07MB
31.5;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.62%;482kB / 6.07MB
32.0;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.62%;482kB / 6.07MB
32.5;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.61%;482kB / 6.07MB
33.0;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.61%;482kB / 6.07MB
33.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;1.44%;483kB / 6.07MB
34.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;1.44%;483kB / 6.07MB
34.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.11%;483kB / 6.07MB
35.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.11%;483kB / 6.07MB
35.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.13%;483kB / 6.07MB
