0.0;b98180bff056;quicker;56.08MiB / 1.953GiB;2.80%;99.44%;438B / 0B
0.5;b98180bff056;quicker;109.8MiB / 1.953GiB;5.49%;99.55%;688B / 0B
1.0;b98180bff056;quicker;109.8MiB / 1.953GiB;5.49%;99.55%;688B / 0B
1.5;b98180bff056;quicker;126.6MiB / 1.953GiB;6.33%;99.60%;688B / 0B
2.0;b98180bff056;quicker;126.6MiB / 1.953GiB;6.33%;99.60%;688B / 0B
2.5;b98180bff056;quicker;138.9MiB / 1.953GiB;6.95%;99.54%;688B / 0B
3.0;b98180bff056;quicker;138.9MiB / 1.953GiB;6.95%;99.54%;688B / 0B
3.5;b98180bff056;quicker;145.2MiB / 1.953GiB;7.26%;99.49%;688B / 0B
4.0;b98180bff056;quicker;145.2MiB / 1.953GiB;7.26%;99.49%;688B / 0B
4.5;b98180bff056;quicker;152.5MiB / 1.953GiB;7.62%;99.46%;78.4kB / 3.58kB
5.0;b98180bff056;quicker;152.5MiB / 1.953GiB;7.62%;99.46%;78.4kB / 3.58kB
5.5;b98180bff056;quicker;163.3MiB / 1.953GiB;8.17%;98.24%;318kB / 4.17kB
6.0;b98180bff056;quicker;163.3MiB / 1.953GiB;8.17%;98.24%;318kB / 4.17kB
6.5;b98180bff056;quicker;24.84MiB / 1.953GiB;1.24%;88.35%;389kB / 6.06kB
7.0;b98180bff056;quicker;24.84MiB / 1.953GiB;1.24%;88.35%;389kB / 6.06kB
7.5;b98180bff056;quicker;31.19MiB / 1.953GiB;1.56%;99.24%;432kB / 154kB
8.0;b98180bff056;quicker;31.19MiB / 1.953GiB;1.56%;99.24%;432kB / 154kB
8.5;b98180bff056;quicker;34.5MiB / 1.953GiB;1.73%;98.42%;454kB / 154kB
9.0;b98180bff056;quicker;34.5MiB / 1.953GiB;1.73%;98.42%;454kB / 154kB
9.5;b98180bff056;quicker;52.6MiB / 1.953GiB;2.63%;99.61%;470kB / 780kB
10.0;b98180bff056;quicker;52.6MiB / 1.953GiB;2.63%;99.61%;470kB / 780kB
10.5;b98180bff056;quicker;84.43MiB / 1.953GiB;4.22%;97.91%;488kB / 1.5MB
11.0;b98180bff056;quicker;84.43MiB / 1.953GiB;4.22%;97.91%;488kB / 1.5MB
11.5;b98180bff056;quicker;87.94MiB / 1.953GiB;4.40%;84.79%;503kB / 2.57MB
12.0;b98180bff056;quicker;87.94MiB / 1.953GiB;4.40%;84.79%;503kB / 2.57MB
12.5;b98180bff056;quicker;90.76MiB / 1.953GiB;4.54%;97.53%;518kB / 4.33MB
13.0;b98180bff056;quicker;90.76MiB / 1.953GiB;4.54%;97.53%;518kB / 4.33MB
13.5;b98180bff056;quicker;91.8MiB / 1.953GiB;4.59%;57.41%;528kB / 5.12MB
14.0;b98180bff056;quicker;91.8MiB / 1.953GiB;4.59%;57.41%;528kB / 5.12MB
14.5;b98180bff056;quicker;93.27MiB / 1.953GiB;4.66%;40.16%;532kB / 5.72MB
15.0;b98180bff056;quicker;93.27MiB / 1.953GiB;4.66%;40.16%;532kB / 5.72MB
15.5;b98180bff056;quicker;93.41MiB / 1.953GiB;4.67%;10.52%;536kB / 5.78MB
16.0;b98180bff056;quicker;93.41MiB / 1.953GiB;4.67%;10.52%;536kB / 5.78MB
16.5;b98180bff056;quicker;93.46MiB / 1.953GiB;4.67%;3.55%;539kB / 5.78MB
17.0;b98180bff056;quicker;93.46MiB / 1.953GiB;4.67%;3.55%;539kB / 5.78MB
17.5;b98180bff056;quicker;93.49MiB / 1.953GiB;4.67%;3.28%;544kB / 5.78MB
18.0;b98180bff056;quicker;93.49MiB / 1.953GiB;4.67%;3.28%;544kB / 5.78MB
18.5;b98180bff056;quicker;93.5MiB / 1.953GiB;4.67%;3.42%;547kB / 5.78MB
19.0;b98180bff056;quicker;93.5MiB / 1.953GiB;4.67%;3.42%;547kB / 5.78MB
19.5;b98180bff056;quicker;93.95MiB / 1.953GiB;4.70%;3.61%;549kB / 5.78MB
20.0;b98180bff056;quicker;93.95MiB / 1.953GiB;4.70%;3.61%;549kB / 5.78MB
20.5;b98180bff056;quicker;93.85MiB / 1.953GiB;4.69%;0.79%;549kB / 5.78MB
21.0;b98180bff056;quicker;93.85MiB / 1.953GiB;4.69%;0.79%;549kB / 5.78MB
21.5;b98180bff056;quicker;93.85MiB / 1.953GiB;4.69%;0.31%;549kB / 5.78MB
22.0;b98180bff056;quicker;93.85MiB / 1.953GiB;4.69%;0.31%;549kB / 5.78MB
22.5;b98180bff056;quicker;93.85MiB / 1.953GiB;4.69%;0.17%;549kB / 5.78MB
23.0;b98180bff056;quicker;93.85MiB / 1.953GiB;4.69%;0.17%;549kB / 5.78MB
23.5;b98180bff056;quicker;93.97MiB / 1.953GiB;4.70%;2.83%;552kB / 5.78MB
24.0;b98180bff056;quicker;93.97MiB / 1.953GiB;4.70%;2.83%;552kB / 5.78MB
24.5;b98180bff056;quicker;93.85MiB / 1.953GiB;4.69%;1.37%;554kB / 5.78MB
25.0;b98180bff056;quicker;93.85MiB / 1.953GiB;4.69%;1.37%;554kB / 5.78MB
25.5;b98180bff056;quicker;93.98MiB / 1.953GiB;4.70%;4.43%;557kB / 5.78MB
26.0;b98180bff056;quicker;93.98MiB / 1.953GiB;4.70%;4.43%;557kB / 5.78MB
26.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.50%;557kB / 5.78MB
27.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.50%;557kB / 5.78MB
27.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.35%;557kB / 5.78MB
28.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.35%;557kB / 5.78MB
28.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.65%;557kB / 5.78MB
29.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.65%;557kB / 5.78MB
29.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.52%;558kB / 5.78MB
30.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.52%;558kB / 5.78MB
30.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.62%;561kB / 5.78MB
31.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.62%;561kB / 5.78MB
31.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.57%;561kB / 5.78MB
32.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.57%;561kB / 5.78MB
32.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.01%;561kB / 5.78MB
33.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.01%;561kB / 5.78MB
33.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.00%;561kB / 5.78MB
34.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.00%;561kB / 5.78MB
34.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.11%;561kB / 5.78MB
35.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.11%;561kB / 5.78MB
35.5;b98180bff056;quicker;94.01MiB / 1.953GiB;4.70%;1.16%;563kB / 5.78MB
36.0;b98180bff056;quicker;94.01MiB / 1.953GiB;4.70%;1.16%;563kB / 5.78MB
36.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;1.10%;564kB / 5.78MB
37.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;1.10%;564kB / 5.78MB
37.5;b98180bff056;quicker;94.02MiB / 1.953GiB;4.70%;1.65%;566kB / 5.78MB
38.0;b98180bff056;quicker;94.02MiB / 1.953GiB;4.70%;1.65%;566kB / 5.78MB
38.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;1.32%;567kB / 5.78MB
39.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;1.32%;567kB / 5.78MB
39.5;b98180bff056;quicker;93.9MiB / 1.953GiB;4.69%;1.86%;568kB / 5.78MB
40.0;b98180bff056;quicker;93.9MiB / 1.953GiB;4.69%;1.86%;568kB / 5.78MB
40.5;b98180bff056;quicker;93.9MiB / 1.953GiB;4.69%;1.93%;570kB / 5.78MB
41.0;b98180bff056;quicker;93.9MiB / 1.953GiB;4.69%;1.93%;570kB / 5.78MB
41.5;b98180bff056;quicker;93.9MiB / 1.953GiB;4.69%;0.50%;570kB / 5.78MB
42.0;b98180bff056;quicker;93.9MiB / 1.953GiB;4.69%;0.50%;570kB / 5.78MB
