0.0;3e152e684f37;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;598B / 0B
0.5;3e152e684f37;ngtcp2;5.93MiB / 1.953GiB;0.30%;8.57%;19.5kB / 540kB
1.0;3e152e684f37;ngtcp2;5.93MiB / 1.953GiB;0.30%;8.57%;19.5kB / 540kB
1.5;3e152e684f37;ngtcp2;5.93MiB / 1.953GiB;0.30%;2.40%;21kB / 1.47MB
2.0;3e152e684f37;ngtcp2;5.93MiB / 1.953GiB;0.30%;2.40%;21kB / 1.47MB
2.5;3e152e684f37;ngtcp2;5.93MiB / 1.953GiB;0.30%;1.49%;23.6kB / 1.93MB
3.0;3e152e684f37;ngtcp2;5.93MiB / 1.953GiB;0.30%;1.49%;23.6kB / 1.93MB
3.5;3e152e684f37;ngtcp2;5.93MiB / 1.953GiB;0.30%;0.00%;23.6kB / 1.93MB
4.0;3e152e684f37;ngtcp2;5.93MiB / 1.953GiB;0.30%;0.00%;23.6kB / 1.93MB
4.5;3e152e684f37;ngtcp2;5.93MiB / 1.953GiB;0.30%;0.00%;23.6kB / 1.93MB
5.0;3e152e684f37;ngtcp2;5.93MiB / 1.953GiB;0.30%;0.00%;23.6kB / 1.93MB
