0.0;310ccffc3a3c;ngtcp2;5.199MiB / 1.953GiB;0.26%;0.75%;438B / 0B
0.5;310ccffc3a3c;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;310ccffc3a3c;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;310ccffc3a3c;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;310ccffc3a3c;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;310ccffc3a3c;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.0;310ccffc3a3c;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.5;310ccffc3a3c;ngtcp2;5.898MiB / 1.953GiB;0.29%;10.21%;20.5kB / 1.07MB
4.0;310ccffc3a3c;ngtcp2;5.898MiB / 1.953GiB;0.29%;10.21%;20.5kB / 1.07MB
4.5;310ccffc3a3c;ngtcp2;5.898MiB / 1.953GiB;0.29%;2.39%;22.9kB / 1.93MB
5.0;310ccffc3a3c;ngtcp2;5.898MiB / 1.953GiB;0.29%;2.39%;22.9kB / 1.93MB
5.5;310ccffc3a3c;ngtcp2;5.898MiB / 1.953GiB;0.29%;0.12%;23.7kB / 1.93MB
6.0;310ccffc3a3c;ngtcp2;5.898MiB / 1.953GiB;0.29%;0.12%;23.7kB / 1.93MB
6.5;310ccffc3a3c;ngtcp2;5.898MiB / 1.953GiB;0.29%;0.00%;23.7kB / 1.93MB
7.0;310ccffc3a3c;ngtcp2;5.898MiB / 1.953GiB;0.29%;0.00%;23.7kB / 1.93MB
7.5;310ccffc3a3c;ngtcp2;5.898MiB / 1.953GiB;0.29%;0.00%;23.7kB / 1.93MB
8.0;310ccffc3a3c;ngtcp2;5.898MiB / 1.953GiB;0.29%;0.00%;23.7kB / 1.93MB
8.5;310ccffc3a3c;ngtcp2;5.898MiB / 1.953GiB;0.29%;0.00%;23.8kB / 1.93MB
9.0;310ccffc3a3c;ngtcp2;5.898MiB / 1.953GiB;0.29%;0.00%;23.8kB / 1.93MB
