0.0;c1e201b0833a;ngtcp2;5.176MiB / 1.953GiB;0.26%;0.00%;598B / 0B
0.5;c1e201b0833a;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;c1e201b0833a;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;c1e201b0833a;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;c1e201b0833a;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;c1e201b0833a;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.0;c1e201b0833a;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.5;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;13.88%;28.4kB / 604kB
4.0;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;13.88%;28.4kB / 604kB
4.5;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;2.93%;30.6kB / 1.55MB
5.0;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;2.93%;30.6kB / 1.55MB
5.5;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;2.61%;32.8kB / 2.67MB
6.0;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;2.61%;32.8kB / 2.67MB
6.5;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;1.17%;35.3kB / 2.9MB
7.0;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;1.17%;35.3kB / 2.9MB
7.5;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;0.00%;35.4kB / 2.9MB
8.0;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;0.00%;35.4kB / 2.9MB
8.5;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;0.00%;35.4kB / 2.9MB
9.0;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;0.00%;35.4kB / 2.9MB
9.5;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;0.00%;35.4kB / 2.9MB
10.0;c1e201b0833a;ngtcp2;6.203MiB / 1.953GiB;0.31%;0.00%;35.4kB / 2.9MB
