0.0;f70502769133;ngtcp2;5.168MiB / 1.953GiB;0.26%;0.00%;438B / 0B
0.5;f70502769133;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;f70502769133;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;f70502769133;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;f70502769133;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;f70502769133;ngtcp2;6.398MiB / 1.953GiB;0.32%;12.05%;39.6kB / 63.8kB
3.0;f70502769133;ngtcp2;6.398MiB / 1.953GiB;0.32%;12.05%;39.6kB / 63.8kB
3.5;f70502769133;ngtcp2;7.91MiB / 1.953GiB;0.40%;20.20%;129kB / 917kB
4.0;f70502769133;ngtcp2;7.91MiB / 1.953GiB;0.40%;20.20%;129kB / 917kB
4.5;f70502769133;ngtcp2;8.438MiB / 1.953GiB;0.42%;12.60%;174kB / 1.39MB
5.0;f70502769133;ngtcp2;8.438MiB / 1.953GiB;0.42%;12.60%;174kB / 1.39MB
5.5;f70502769133;ngtcp2;9.969MiB / 1.953GiB;0.50%;22.21%;258kB / 2.13MB
6.0;f70502769133;ngtcp2;9.969MiB / 1.953GiB;0.50%;22.21%;258kB / 2.13MB
6.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;51.53%;476kB / 4.15MB
7.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;51.53%;476kB / 4.15MB
7.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;6.01%;486kB / 5.5MB
8.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;6.01%;486kB / 5.5MB
8.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.37%;489kB / 6.22MB
9.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.37%;489kB / 6.22MB
9.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.28%;492kB / 6.93MB
10.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.28%;492kB / 6.93MB
10.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;5.80%;504kB / 8.91MB
11.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;5.80%;504kB / 8.91MB
11.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.68%;507kB / 9.79MB
12.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.68%;507kB / 9.79MB
12.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.71%;509kB / 10.6MB
13.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.71%;509kB / 10.6MB
13.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.83%;510kB / 11.4MB
14.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.83%;510kB / 11.4MB
14.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.90%;513kB / 12.6MB
15.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.90%;513kB / 12.6MB
15.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;4.41%;517kB / 14.3MB
16.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;4.41%;517kB / 14.3MB
16.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.23%;519kB / 15.4MB
17.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.23%;519kB / 15.4MB
17.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.57%;521kB / 16.2MB
18.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.57%;521kB / 16.2MB
18.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;1.76%;522kB / 16.8MB
19.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;1.76%;522kB / 16.8MB
19.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.39%;523kB / 17.6MB
20.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.39%;523kB / 17.6MB
20.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;4.09%;527kB / 19.5MB
21.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;4.09%;527kB / 19.5MB
21.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.31%;529kB / 20.9MB
22.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.31%;529kB / 20.9MB
22.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.49%;532kB / 22.3MB
23.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.49%;532kB / 22.3MB
23.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.48%;533kB / 23.1MB
24.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.48%;533kB / 23.1MB
24.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;1.81%;534kB / 23.7MB
25.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;1.81%;534kB / 23.7MB
25.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;1.69%;536kB / 24.1MB
26.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;1.69%;536kB / 24.1MB
26.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.22%;538kB / 25MB
27.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.22%;538kB / 25MB
27.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.70%;542kB / 25.9MB
28.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.70%;542kB / 25.9MB
28.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.40%;546kB / 26.9MB
29.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;3.40%;546kB / 26.9MB
29.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.79%;550kB / 27.7MB
30.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.79%;550kB / 27.7MB
30.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.77%;554kB / 28.4MB
31.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;2.77%;554kB / 28.4MB
31.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;1.75%;557kB / 28.7MB
32.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;1.75%;557kB / 28.7MB
32.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;1.87%;561kB / 29MB
33.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;1.87%;561kB / 29MB
33.5;f70502769133;ngtcp2;14.19MiB / 1.953GiB;0.71%;1.43%;566kB / 29.2MB
34.0;f70502769133;ngtcp2;14.19MiB / 1.953GiB;0.71%;1.43%;566kB / 29.2MB
34.5;f70502769133;ngtcp2;14.19MiB / 1.953GiB;0.71%;1.29%;574kB / 29.2MB
35.0;f70502769133;ngtcp2;14.19MiB / 1.953GiB;0.71%;1.29%;574kB / 29.2MB
35.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;0.00%;574kB / 29.2MB
36.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;0.00%;574kB / 29.2MB
36.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;0.00%;574kB / 29.2MB
37.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;0.00%;574kB / 29.2MB
37.5;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;0.00%;574kB / 29.2MB
38.0;f70502769133;ngtcp2;14.07MiB / 1.953GiB;0.70%;0.00%;574kB / 29.2MB
