0.0;1499771c063d;ngtcp2;5.164MiB / 1.953GiB;0.26%;0.00%;598B / 0B
0.5;1499771c063d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;1499771c063d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;1499771c063d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;1499771c063d;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;1499771c063d;ngtcp2;5.652MiB / 1.953GiB;0.28%;5.31%;8.73kB / 17.5kB
3.0;1499771c063d;ngtcp2;5.652MiB / 1.953GiB;0.28%;5.31%;8.73kB / 17.5kB
3.5;1499771c063d;ngtcp2;6.906MiB / 1.953GiB;0.35%;20.24%;66kB / 441kB
4.0;1499771c063d;ngtcp2;6.906MiB / 1.953GiB;0.35%;20.24%;66kB / 441kB
4.5;1499771c063d;ngtcp2;7.82MiB / 1.953GiB;0.39%;16.94%;117kB / 911kB
5.0;1499771c063d;ngtcp2;7.82MiB / 1.953GiB;0.39%;16.94%;117kB / 911kB
5.5;1499771c063d;ngtcp2;10.21MiB / 1.953GiB;0.51%;25.73%;222kB / 1.42MB
6.0;1499771c063d;ngtcp2;10.21MiB / 1.953GiB;0.51%;25.73%;222kB / 1.42MB
6.5;1499771c063d;ngtcp2;12.48MiB / 1.953GiB;0.62%;32.55%;353kB / 2.67MB
7.0;1499771c063d;ngtcp2;12.48MiB / 1.953GiB;0.62%;32.55%;353kB / 2.67MB
7.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;26.71%;466kB / 4.65MB
8.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;26.71%;466kB / 4.65MB
8.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;3.95%;470kB / 5.52MB
9.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;3.95%;470kB / 5.52MB
9.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;3.29%;472kB / 6.18MB
10.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;3.29%;472kB / 6.18MB
10.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;4.03%;477kB / 7.24MB
11.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;4.03%;477kB / 7.24MB
11.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;2.42%;479kB / 7.74MB
12.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;2.42%;479kB / 7.74MB
12.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;2.45%;482kB / 8.37MB
13.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;2.45%;482kB / 8.37MB
13.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;3.11%;486kB / 9.15MB
14.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;3.11%;486kB / 9.15MB
14.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;2.05%;488kB / 9.55MB
15.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;2.05%;488kB / 9.55MB
15.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.75%;490kB / 10MB
16.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.75%;490kB / 10MB
16.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.64%;491kB / 10.5MB
17.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.64%;491kB / 10.5MB
17.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.18%;491kB / 10.7MB
18.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.18%;491kB / 10.7MB
18.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.84%;491kB / 10.9MB
19.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.84%;491kB / 10.9MB
19.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.63%;493kB / 11.5MB
20.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.63%;493kB / 11.5MB
20.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.79%;493kB / 11.7MB
21.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.79%;493kB / 11.7MB
21.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.01%;494kB / 12MB
22.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.01%;494kB / 12MB
22.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.73%;495kB / 12.6MB
23.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.73%;495kB / 12.6MB
23.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.41%;496kB / 13MB
24.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.41%;496kB / 13MB
24.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;2.04%;497kB / 13.9MB
25.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;2.04%;497kB / 13.9MB
25.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;2.74%;500kB / 15MB
26.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;2.74%;500kB / 15MB
26.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.66%;501kB / 15.5MB
27.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.66%;501kB / 15.5MB
27.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.69%;502kB / 15.9MB
28.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.69%;502kB / 15.9MB
