0.0;32968b6e0ec4;ngtcp2;5.16MiB / 1.953GiB;0.26%;0.00%;438B / 0B
0.5;32968b6e0ec4;ngtcp2;5.145MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;32968b6e0ec4;ngtcp2;5.145MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;32968b6e0ec4;ngtcp2;5.145MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;32968b6e0ec4;ngtcp2;5.145MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;32968b6e0ec4;ngtcp2;5.145MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.0;32968b6e0ec4;ngtcp2;5.145MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.5;32968b6e0ec4;ngtcp2;5.77MiB / 1.953GiB;0.29%;5.89%;11.2kB / 16.3kB
4.0;32968b6e0ec4;ngtcp2;5.77MiB / 1.953GiB;0.29%;5.89%;11.2kB / 16.3kB
4.5;32968b6e0ec4;ngtcp2;6.613MiB / 1.953GiB;0.33%;11.45%;38.9kB / 1.04MB
5.0;32968b6e0ec4;ngtcp2;6.613MiB / 1.953GiB;0.33%;11.45%;38.9kB / 1.04MB
5.5;32968b6e0ec4;ngtcp2;6.613MiB / 1.953GiB;0.33%;3.15%;41.3kB / 2.17MB
6.0;32968b6e0ec4;ngtcp2;6.613MiB / 1.953GiB;0.33%;3.15%;41.3kB / 2.17MB
6.5;32968b6e0ec4;ngtcp2;6.613MiB / 1.953GiB;0.33%;3.23%;43.2kB / 3.3MB
7.0;32968b6e0ec4;ngtcp2;6.613MiB / 1.953GiB;0.33%;3.23%;43.2kB / 3.3MB
7.5;32968b6e0ec4;ngtcp2;6.613MiB / 1.953GiB;0.33%;2.37%;46.1kB / 3.86MB
8.0;32968b6e0ec4;ngtcp2;6.613MiB / 1.953GiB;0.33%;2.37%;46.1kB / 3.86MB
8.5;32968b6e0ec4;ngtcp2;6.613MiB / 1.953GiB;0.33%;0.26%;47.8kB / 3.87MB
9.0;32968b6e0ec4;ngtcp2;6.613MiB / 1.953GiB;0.33%;0.26%;47.8kB / 3.87MB
9.5;32968b6e0ec4;ngtcp2;6.613MiB / 1.953GiB;0.33%;0.00%;47.8kB / 3.87MB
10.0;32968b6e0ec4;ngtcp2;6.613MiB / 1.953GiB;0.33%;0.00%;47.8kB / 3.87MB
10.5;32968b6e0ec4;ngtcp2;6.613MiB / 1.953GiB;0.33%;0.00%;47.8kB / 3.87MB
