0.0;df34f1e472ce;ngtcp2;5.227MiB / 1.953GiB;0.26%;0.00%;438B / 0B
0.5;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.0;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.5;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
4.0;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
4.5;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
5.0;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
5.5;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
6.0;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
6.5;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
7.0;df34f1e472ce;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;758B / 0B
7.5;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;16.38%;35.5kB / 402kB
8.0;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;16.38%;35.5kB / 402kB
8.5;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;4.03%;40.2kB / 1.59MB
9.0;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;4.03%;40.2kB / 1.59MB
9.5;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;2.82%;42.1kB / 2.61MB
10.0;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;2.82%;42.1kB / 2.61MB
10.5;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;2.36%;43.6kB / 3.36MB
11.0;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;2.36%;43.6kB / 3.36MB
11.5;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;2.34%;48.4kB / 3.86MB
12.0;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;2.34%;48.4kB / 3.86MB
12.5;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;0.00%;48.4kB / 3.86MB
13.0;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;0.00%;48.4kB / 3.86MB
13.5;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;0.00%;48.4kB / 3.86MB
14.0;df34f1e472ce;ngtcp2;6.559MiB / 1.953GiB;0.33%;0.00%;48.4kB / 3.86MB
