0.0;07602fe92ef5;ngtcp2;5.188MiB / 1.953GiB;0.26%;0.00%;438B / 0B
0.5;07602fe92ef5;ngtcp2;5.156MiB / 1.953GiB;0.26%;0.00%;598B / 0B
1.0;07602fe92ef5;ngtcp2;5.156MiB / 1.953GiB;0.26%;0.00%;598B / 0B
1.5;07602fe92ef5;ngtcp2;5.156MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;07602fe92ef5;ngtcp2;5.156MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;25.25%;69.8kB / 718kB
3.0;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;25.25%;69.8kB / 718kB
3.5;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;3.55%;74.5kB / 1.63MB
4.0;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;3.55%;74.5kB / 1.63MB
4.5;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;3.15%;77.4kB / 2.76MB
5.0;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;3.15%;77.4kB / 2.76MB
5.5;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;3.29%;80.1kB / 3.91MB
6.0;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;3.29%;80.1kB / 3.91MB
6.5;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;3.38%;82.1kB / 4.89MB
7.0;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;3.38%;82.1kB / 4.89MB
7.5;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;2.60%;86.7kB / 5.72MB
8.0;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;2.60%;86.7kB / 5.72MB
8.5;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;1.06%;89.9kB / 5.81MB
9.0;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;1.06%;89.9kB / 5.81MB
9.5;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;0.00%;89.9kB / 5.81MB
10.0;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;0.00%;89.9kB / 5.81MB
10.5;07602fe92ef5;ngtcp2;7.355MiB / 1.953GiB;0.37%;0.00%;89.9kB / 5.81MB
