0.0;383174d3d170;ngtcp2;5.199MiB / 1.953GiB;0.26%;0.00%;598B / 0B
0.5;383174d3d170;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;383174d3d170;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;383174d3d170;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;383174d3d170;ngtcp2;5.152MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;383174d3d170;ngtcp2;6.684MiB / 1.953GiB;0.33%;20.52%;61.4kB / 244kB
3.0;383174d3d170;ngtcp2;6.684MiB / 1.953GiB;0.33%;20.52%;61.4kB / 244kB
3.5;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;26.69%;142kB / 1.52MB
4.0;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;26.69%;142kB / 1.52MB
4.5;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;3.86%;148kB / 2.62MB
5.0;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;3.86%;148kB / 2.62MB
5.5;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;3.28%;151kB / 3.91MB
6.0;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;3.28%;151kB / 3.91MB
6.5;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;2.62%;154kB / 4.67MB
7.0;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;2.62%;154kB / 4.67MB
7.5;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;3.22%;157kB / 5.94MB
8.0;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;3.22%;157kB / 5.94MB
8.5;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;2.18%;158kB / 6.71MB
9.0;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;2.18%;158kB / 6.71MB
9.5;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;3.19%;161kB / 8.01MB
10.0;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;3.19%;161kB / 8.01MB
10.5;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;2.56%;163kB / 8.8MB
11.0;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;2.56%;163kB / 8.8MB
11.5;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;2.44%;168kB / 9.49MB
12.0;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;2.44%;168kB / 9.49MB
12.5;383174d3d170;ngtcp2;8.617MiB / 1.953GiB;0.43%;2.03%;175kB / 9.68MB
13.0;383174d3d170;ngtcp2;8.617MiB / 1.953GiB;0.43%;2.03%;175kB / 9.68MB
13.5;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;0.00%;175kB / 9.68MB
14.0;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;0.00%;175kB / 9.68MB
14.5;383174d3d170;ngtcp2;8.496MiB / 1.953GiB;0.42%;0.00%;175kB / 9.68MB
