0.0;37dc5b47c9f0;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;438B / 0B
0.5;37dc5b47c9f0;quicker;17.7MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;37dc5b47c9f0;quicker;17.7MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;37dc5b47c9f0;quicker;17.7MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;37dc5b47c9f0;quicker;17.7MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;37dc5b47c9f0;quicker;27.6MiB / 1.953GiB;1.38%;59.18%;26.6kB / 67.3kB
3.0;37dc5b47c9f0;quicker;27.6MiB / 1.953GiB;1.38%;59.18%;26.6kB / 67.3kB
3.5;37dc5b47c9f0;quicker;37.33MiB / 1.953GiB;1.87%;38.08%;29.9kB / 245kB
4.0;37dc5b47c9f0;quicker;37.33MiB / 1.953GiB;1.87%;38.08%;29.9kB / 245kB
4.5;37dc5b47c9f0;quicker;37.21MiB / 1.953GiB;1.86%;0.41%;29.9kB / 245kB
5.0;37dc5b47c9f0;quicker;37.21MiB / 1.953GiB;1.86%;0.41%;29.9kB / 245kB
5.5;37dc5b47c9f0;quicker;41.3MiB / 1.953GiB;2.06%;14.49%;31.3kB / 393kB
6.0;37dc5b47c9f0;quicker;41.3MiB / 1.953GiB;2.06%;14.49%;31.3kB / 393kB
6.5;37dc5b47c9f0;quicker;41.3MiB / 1.953GiB;2.06%;1.63%;31.4kB / 403kB
7.0;37dc5b47c9f0;quicker;41.3MiB / 1.953GiB;2.06%;1.63%;31.4kB / 403kB
7.5;37dc5b47c9f0;quicker;41.43MiB / 1.953GiB;2.07%;3.24%;31.7kB / 419kB
8.0;37dc5b47c9f0;quicker;41.43MiB / 1.953GiB;2.07%;3.24%;31.7kB / 419kB
8.5;37dc5b47c9f0;quicker;42.1MiB / 1.953GiB;2.10%;20.32%;33.2kB / 598kB
9.0;37dc5b47c9f0;quicker;42.1MiB / 1.953GiB;2.10%;20.32%;33.2kB / 598kB
9.5;37dc5b47c9f0;quicker;42.05MiB / 1.953GiB;2.10%;0.98%;33.3kB / 603kB
10.0;37dc5b47c9f0;quicker;42.05MiB / 1.953GiB;2.10%;0.98%;33.3kB / 603kB
10.5;37dc5b47c9f0;quicker;42.61MiB / 1.953GiB;2.13%;15.22%;34.9kB / 814kB
11.0;37dc5b47c9f0;quicker;42.61MiB / 1.953GiB;2.13%;15.22%;34.9kB / 814kB
11.5;37dc5b47c9f0;quicker;42.61MiB / 1.953GiB;2.13%;0.78%;34.9kB / 814kB
12.0;37dc5b47c9f0;quicker;42.61MiB / 1.953GiB;2.13%;0.78%;34.9kB / 814kB
12.5;37dc5b47c9f0;quicker;42.61MiB / 1.953GiB;2.13%;2.65%;35.1kB / 829kB
13.0;37dc5b47c9f0;quicker;42.61MiB / 1.953GiB;2.13%;2.65%;35.1kB / 829kB
13.5;37dc5b47c9f0;quicker;42.73MiB / 1.953GiB;2.14%;0.43%;35.1kB / 829kB
14.0;37dc5b47c9f0;quicker;42.73MiB / 1.953GiB;2.14%;0.43%;35.1kB / 829kB
14.5;37dc5b47c9f0;quicker;42.73MiB / 1.953GiB;2.14%;2.81%;35.4kB / 858kB
15.0;37dc5b47c9f0;quicker;42.73MiB / 1.953GiB;2.14%;2.81%;35.4kB / 858kB
15.5;37dc5b47c9f0;quicker;43.08MiB / 1.953GiB;2.15%;24.63%;37kB / 1.17MB
16.0;37dc5b47c9f0;quicker;43.08MiB / 1.953GiB;2.15%;24.63%;37kB / 1.17MB
16.5;37dc5b47c9f0;quicker;43.08MiB / 1.953GiB;2.15%;0.07%;37kB / 1.17MB
17.0;37dc5b47c9f0;quicker;43.08MiB / 1.953GiB;2.15%;0.07%;37kB / 1.17MB
17.5;37dc5b47c9f0;quicker;43.08MiB / 1.953GiB;2.15%;0.17%;37kB / 1.17MB
18.0;37dc5b47c9f0;quicker;43.08MiB / 1.953GiB;2.15%;0.17%;37kB / 1.17MB
18.5;37dc5b47c9f0;quicker;43.21MiB / 1.953GiB;2.16%;3.35%;37.1kB / 1.2MB
19.0;37dc5b47c9f0;quicker;43.21MiB / 1.953GiB;2.16%;3.35%;37.1kB / 1.2MB
19.5;37dc5b47c9f0;quicker;43.64MiB / 1.953GiB;2.18%;25.52%;38kB / 1.55MB
20.0;37dc5b47c9f0;quicker;43.64MiB / 1.953GiB;2.18%;25.52%;38kB / 1.55MB
20.5;37dc5b47c9f0;quicker;43.68MiB / 1.953GiB;2.18%;7.22%;38.2kB / 1.62MB
21.0;37dc5b47c9f0;quicker;43.68MiB / 1.953GiB;2.18%;7.22%;38.2kB / 1.62MB
21.5;37dc5b47c9f0;quicker;43.68MiB / 1.953GiB;2.18%;0.12%;38.2kB / 1.62MB
22.0;37dc5b47c9f0;quicker;43.68MiB / 1.953GiB;2.18%;0.12%;38.2kB / 1.62MB
22.5;37dc5b47c9f0;quicker;43.68MiB / 1.953GiB;2.18%;0.36%;38.2kB / 1.62MB
23.0;37dc5b47c9f0;quicker;43.68MiB / 1.953GiB;2.18%;0.36%;38.2kB / 1.62MB
23.5;37dc5b47c9f0;quicker;43.93MiB / 1.953GiB;2.20%;5.05%;38.5kB / 1.67MB
24.0;37dc5b47c9f0;quicker;43.93MiB / 1.953GiB;2.20%;5.05%;38.5kB / 1.67MB
24.5;37dc5b47c9f0;quicker;43.83MiB / 1.953GiB;2.19%;0.11%;38.5kB / 1.67MB
25.0;37dc5b47c9f0;quicker;43.83MiB / 1.953GiB;2.19%;0.11%;38.5kB / 1.67MB
25.5;37dc5b47c9f0;quicker;44.21MiB / 1.953GiB;2.21%;5.30%;38.9kB / 1.72MB
26.0;37dc5b47c9f0;quicker;44.21MiB / 1.953GiB;2.21%;5.30%;38.9kB / 1.72MB
26.5;37dc5b47c9f0;quicker;44.1MiB / 1.953GiB;2.20%;0.13%;38.9kB / 1.72MB
27.0;37dc5b47c9f0;quicker;44.1MiB / 1.953GiB;2.20%;0.13%;38.9kB / 1.72MB
27.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;10.42%;40kB / 1.83MB
28.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;10.42%;40kB / 1.83MB
28.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.10%;40kB / 1.83MB
29.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.10%;40kB / 1.83MB
29.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;1.66%;40.2kB / 1.83MB
30.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;1.66%;40.2kB / 1.83MB
30.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.96%;40.9kB / 1.83MB
31.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.96%;40.9kB / 1.83MB
31.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.00%;40.9kB / 1.83MB
32.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.00%;40.9kB / 1.83MB
32.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.01%;40.9kB / 1.83MB
33.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.01%;40.9kB / 1.83MB
33.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.03%;40.9kB / 1.83MB
34.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.03%;40.9kB / 1.83MB
34.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.12%;40.9kB / 1.83MB
35.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.12%;40.9kB / 1.83MB
35.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.04%;40.9kB / 1.83MB
36.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.04%;40.9kB / 1.83MB
36.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.11%;40.9kB / 1.83MB
37.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.11%;40.9kB / 1.83MB
37.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.07%;40.9kB / 1.83MB
38.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.07%;40.9kB / 1.83MB
38.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.00%;40.9kB / 1.83MB
39.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.00%;40.9kB / 1.83MB
39.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.11%;40.9kB / 1.83MB
40.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.11%;40.9kB / 1.83MB
40.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.48%;41.1kB / 1.83MB
41.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.48%;41.1kB / 1.83MB
41.5;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.03%;41.1kB / 1.83MB
42.0;37dc5b47c9f0;quicker;44.19MiB / 1.953GiB;2.21%;0.03%;41.1kB / 1.83MB
42.5;37dc5b47c9f0;quicker;44.31MiB / 1.953GiB;2.22%;0.10%;41.1kB / 1.83MB
