0.0;6ac556f5051d;quicker;17.76MiB / 1.953GiB;0.89%;0.00%;598B / 0B
0.5;6ac556f5051d;quicker;20.11MiB / 1.953GiB;1.01%;16.23%;13.8kB / 1.34kB
1.0;6ac556f5051d;quicker;20.11MiB / 1.953GiB;1.01%;16.23%;13.8kB / 1.34kB
1.5;6ac556f5051d;quicker;36.9MiB / 1.953GiB;1.84%;71.91%;30.5kB / 245kB
2.0;6ac556f5051d;quicker;36.9MiB / 1.953GiB;1.84%;71.91%;30.5kB / 245kB
2.5;6ac556f5051d;quicker;36.9MiB / 1.953GiB;1.84%;0.66%;30.5kB / 245kB
3.0;6ac556f5051d;quicker;36.9MiB / 1.953GiB;1.84%;0.66%;30.5kB / 245kB
3.5;6ac556f5051d;quicker;41.28MiB / 1.953GiB;2.06%;7.74%;31.3kB / 314kB
4.0;6ac556f5051d;quicker;41.28MiB / 1.953GiB;2.06%;7.74%;31.3kB / 314kB
4.5;6ac556f5051d;quicker;41.37MiB / 1.953GiB;2.07%;8.63%;31.9kB / 393kB
5.0;6ac556f5051d;quicker;41.37MiB / 1.953GiB;2.07%;8.63%;31.9kB / 393kB
5.5;6ac556f5051d;quicker;41.5MiB / 1.953GiB;2.07%;4.00%;32.4kB / 419kB
6.0;6ac556f5051d;quicker;41.5MiB / 1.953GiB;2.07%;4.00%;32.4kB / 419kB
6.5;6ac556f5051d;quicker;41.52MiB / 1.953GiB;2.08%;7.27%;33.4kB / 498kB
7.0;6ac556f5051d;quicker;41.52MiB / 1.953GiB;2.08%;7.27%;33.4kB / 498kB
7.5;6ac556f5051d;quicker;42.26MiB / 1.953GiB;2.11%;15.27%;34.5kB / 648kB
8.0;6ac556f5051d;quicker;42.26MiB / 1.953GiB;2.11%;15.27%;34.5kB / 648kB
8.5;6ac556f5051d;quicker;42.27MiB / 1.953GiB;2.11%;1.27%;34.8kB / 653kB
9.0;6ac556f5051d;quicker;42.27MiB / 1.953GiB;2.11%;1.27%;34.8kB / 653kB
9.5;6ac556f5051d;quicker;42.4MiB / 1.953GiB;2.12%;7.00%;35.3kB / 711kB
10.0;6ac556f5051d;quicker;42.4MiB / 1.953GiB;2.12%;7.00%;35.3kB / 711kB
10.5;6ac556f5051d;quicker;42.36MiB / 1.953GiB;2.12%;5.50%;35.6kB / 764kB
11.0;6ac556f5051d;quicker;42.36MiB / 1.953GiB;2.12%;5.50%;35.6kB / 764kB
11.5;6ac556f5051d;quicker;42.5MiB / 1.953GiB;2.12%;10.39%;36.2kB / 864kB
12.0;6ac556f5051d;quicker;42.5MiB / 1.953GiB;2.12%;10.39%;36.2kB / 864kB
12.5;6ac556f5051d;quicker;42.64MiB / 1.953GiB;2.13%;18.27%;36.9kB / 1.07MB
13.0;6ac556f5051d;quicker;42.64MiB / 1.953GiB;2.13%;18.27%;36.9kB / 1.07MB
13.5;6ac556f5051d;quicker;42.65MiB / 1.953GiB;2.13%;4.25%;37.1kB / 1.11MB
14.0;6ac556f5051d;quicker;42.65MiB / 1.953GiB;2.13%;4.25%;37.1kB / 1.11MB
14.5;6ac556f5051d;quicker;42.65MiB / 1.953GiB;2.13%;0.23%;37.1kB / 1.11MB
15.0;6ac556f5051d;quicker;42.65MiB / 1.953GiB;2.13%;0.23%;37.1kB / 1.11MB
15.5;6ac556f5051d;quicker;42.65MiB / 1.953GiB;2.13%;0.23%;37.1kB / 1.11MB
16.0;6ac556f5051d;quicker;42.68MiB / 1.953GiB;2.13%;6.29%;37.5kB / 1.18MB
16.5;6ac556f5051d;quicker;42.68MiB / 1.953GiB;2.13%;6.29%;37.5kB / 1.18MB
17.0;6ac556f5051d;quicker;42.68MiB / 1.953GiB;2.13%;0.28%;37.7kB / 1.18MB
17.5;6ac556f5051d;quicker;42.68MiB / 1.953GiB;2.13%;0.28%;37.7kB / 1.18MB
18.0;6ac556f5051d;quicker;43.31MiB / 1.953GiB;2.17%;18.45%;38.1kB / 1.39MB
18.5;6ac556f5051d;quicker;43.31MiB / 1.953GiB;2.17%;18.45%;38.1kB / 1.39MB
19.0;6ac556f5051d;quicker;43.44MiB / 1.953GiB;2.17%;2.94%;38.3kB / 1.39MB
19.5;6ac556f5051d;quicker;43.44MiB / 1.953GiB;2.17%;2.94%;38.3kB / 1.39MB
20.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;6.80%;38.4kB / 1.51MB
20.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;6.80%;38.4kB / 1.51MB
21.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.42%;38.4kB / 1.51MB
21.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.42%;38.4kB / 1.51MB
22.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;2.88%;38.6kB / 1.52MB
22.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;2.88%;38.6kB / 1.52MB
23.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.22%;38.7kB / 1.52MB
23.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.22%;38.7kB / 1.52MB
24.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;2.51%;39.3kB / 1.53MB
24.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;2.51%;39.3kB / 1.53MB
25.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.14%;39.3kB / 1.53MB
25.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.14%;39.3kB / 1.53MB
26.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.06%;39.3kB / 1.53MB
26.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.06%;39.3kB / 1.53MB
27.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.09%;39.3kB / 1.53MB
27.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.09%;39.3kB / 1.53MB
28.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.40%;39.6kB / 1.53MB
28.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.40%;39.6kB / 1.53MB
29.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.03%;39.6kB / 1.53MB
29.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.03%;39.6kB / 1.53MB
30.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.00%;39.6kB / 1.53MB
30.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.00%;39.6kB / 1.53MB
31.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.21%;39.7kB / 1.53MB
31.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.21%;39.7kB / 1.53MB
32.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.00%;39.7kB / 1.53MB
32.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.00%;39.7kB / 1.53MB
33.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.06%;39.7kB / 1.53MB
33.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.06%;39.7kB / 1.53MB
34.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.09%;39.7kB / 1.53MB
34.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.09%;39.7kB / 1.53MB
35.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.05%;39.7kB / 1.53MB
35.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.05%;39.7kB / 1.53MB
36.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.01%;39.7kB / 1.53MB
36.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.01%;39.7kB / 1.53MB
37.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.56%;40.1kB / 1.53MB
37.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.56%;40.1kB / 1.53MB
38.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.20%;40.1kB / 1.53MB
38.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.20%;40.1kB / 1.53MB
39.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.10%;40.1kB / 1.53MB
39.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.10%;40.1kB / 1.53MB
40.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.00%;40.1kB / 1.53MB
40.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.00%;40.1kB / 1.53MB
41.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.00%;40.1kB / 1.53MB
41.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.00%;40.1kB / 1.53MB
42.0;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.14%;40.1kB / 1.53MB
42.5;6ac556f5051d;quicker;43.35MiB / 1.953GiB;2.17%;0.14%;40.1kB / 1.53MB
43.0;6ac556f5051d;quicker;28.35MiB / 1.953GiB;1.42%;0.64%;40.2kB / 1.53MB
43.5;6ac556f5051d;quicker;28.35MiB / 1.953GiB;1.42%;0.64%;40.2kB / 1.53MB
44.0;6ac556f5051d;quicker;28.35MiB / 1.953GiB;1.42%;0.00%;40.2kB / 1.53MB
44.5;6ac556f5051d;quicker;28.35MiB / 1.953GiB;1.42%;0.00%;40.2kB / 1.53MB
