0.0;bd61546aca4d;quicker;17.74MiB / 1.953GiB;0.89%;2.60%;598B / 0B
0.5;bd61546aca4d;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;bd61546aca4d;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;bd61546aca4d;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;bd61546aca4d;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;bd61546aca4d;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
3.0;bd61546aca4d;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
3.5;bd61546aca4d;quicker;16.21MiB / 1.953GiB;0.81%;5.68%;3.35kB / 0B
4.0;bd61546aca4d;quicker;16.21MiB / 1.953GiB;0.81%;5.68%;3.35kB / 0B
4.5;bd61546aca4d;quicker;21.23MiB / 1.953GiB;1.06%;64.41%;207kB / 6.36kB
5.0;bd61546aca4d;quicker;21.23MiB / 1.953GiB;1.06%;64.41%;207kB / 6.36kB
5.5;bd61546aca4d;quicker;26.95MiB / 1.953GiB;1.35%;99.23%;398kB / 193kB
6.0;bd61546aca4d;quicker;26.95MiB / 1.953GiB;1.35%;99.23%;398kB / 193kB
6.5;bd61546aca4d;quicker;36.54MiB / 1.953GiB;1.83%;99.06%;507kB / 470kB
7.0;bd61546aca4d;quicker;36.54MiB / 1.953GiB;1.83%;99.06%;507kB / 470kB
7.5;bd61546aca4d;quicker;54.69MiB / 1.953GiB;2.73%;99.11%;561kB / 817kB
8.0;bd61546aca4d;quicker;54.69MiB / 1.953GiB;2.73%;99.11%;561kB / 817kB
8.5;bd61546aca4d;quicker;79.08MiB / 1.953GiB;3.95%;99.25%;578kB / 1.05MB
9.0;bd61546aca4d;quicker;79.08MiB / 1.953GiB;3.95%;99.25%;578kB / 1.05MB
9.5;bd61546aca4d;quicker;90.54MiB / 1.953GiB;4.53%;65.75%;586kB / 1.47MB
10.0;bd61546aca4d;quicker;90.54MiB / 1.953GiB;4.53%;65.75%;586kB / 1.47MB
10.5;bd61546aca4d;quicker;93.88MiB / 1.953GiB;4.69%;35.07%;593kB / 1.62MB
11.0;bd61546aca4d;quicker;93.88MiB / 1.953GiB;4.69%;35.07%;593kB / 1.62MB
11.5;bd61546aca4d;quicker;97.61MiB / 1.953GiB;4.88%;34.74%;602kB / 1.73MB
12.0;bd61546aca4d;quicker;97.61MiB / 1.953GiB;4.88%;34.74%;602kB / 1.73MB
12.5;bd61546aca4d;quicker;98.18MiB / 1.953GiB;4.91%;10.57%;604kB / 1.8MB
13.0;bd61546aca4d;quicker;98.18MiB / 1.953GiB;4.91%;10.57%;604kB / 1.8MB
13.5;bd61546aca4d;quicker;98.59MiB / 1.953GiB;4.93%;10.17%;606kB / 1.82MB
14.0;bd61546aca4d;quicker;98.59MiB / 1.953GiB;4.93%;10.17%;606kB / 1.82MB
14.5;bd61546aca4d;quicker;98.47MiB / 1.953GiB;4.92%;2.07%;607kB / 1.83MB
15.0;bd61546aca4d;quicker;98.47MiB / 1.953GiB;4.92%;2.07%;607kB / 1.83MB
15.5;bd61546aca4d;quicker;98.63MiB / 1.953GiB;4.93%;3.95%;608kB / 1.84MB
16.0;bd61546aca4d;quicker;98.63MiB / 1.953GiB;4.93%;3.95%;608kB / 1.84MB
16.5;bd61546aca4d;quicker;98.81MiB / 1.953GiB;4.94%;15.07%;612kB / 1.95MB
17.0;bd61546aca4d;quicker;98.81MiB / 1.953GiB;4.94%;15.07%;612kB / 1.95MB
17.5;bd61546aca4d;quicker;98.85MiB / 1.953GiB;4.94%;10.19%;616kB / 2.03MB
18.0;bd61546aca4d;quicker;98.85MiB / 1.953GiB;4.94%;10.19%;616kB / 2.03MB
18.5;bd61546aca4d;quicker;98.9MiB / 1.953GiB;4.94%;5.87%;617kB / 2.05MB
19.0;bd61546aca4d;quicker;98.9MiB / 1.953GiB;4.94%;5.87%;617kB / 2.05MB
