0.0;7624229b1fba;quicker;17.73MiB / 1.953GiB;0.89%;2.47%;438B / 0B
0.5;7624229b1fba;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;7624229b1fba;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;7624229b1fba;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;7624229b1fba;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;7624229b1fba;quicker;23.7MiB / 1.953GiB;1.18%;49.89%;40.9kB / 1.34kB
3.0;7624229b1fba;quicker;23.7MiB / 1.953GiB;1.18%;49.89%;40.9kB / 1.34kB
3.5;7624229b1fba;quicker;30.7MiB / 1.953GiB;1.53%;99.04%;194kB / 106kB
4.0;7624229b1fba;quicker;30.7MiB / 1.953GiB;1.53%;99.04%;194kB / 106kB
4.5;7624229b1fba;quicker;35.29MiB / 1.953GiB;1.76%;98.39%;284kB / 402kB
5.0;7624229b1fba;quicker;35.29MiB / 1.953GiB;1.76%;98.39%;284kB / 402kB
5.5;7624229b1fba;quicker;48.86MiB / 1.953GiB;2.44%;98.15%;403kB / 712kB
6.0;7624229b1fba;quicker;48.86MiB / 1.953GiB;2.44%;98.15%;403kB / 712kB
6.5;7624229b1fba;quicker;68.07MiB / 1.953GiB;3.40%;99.15%;437kB / 1.16MB
7.0;7624229b1fba;quicker;68.07MiB / 1.953GiB;3.40%;99.15%;437kB / 1.16MB
7.5;7624229b1fba;quicker;88.71MiB / 1.953GiB;4.44%;80.21%;448kB / 1.66MB
8.0;7624229b1fba;quicker;88.71MiB / 1.953GiB;4.44%;80.21%;448kB / 1.66MB
8.5;7624229b1fba;quicker;90.88MiB / 1.953GiB;4.54%;19.26%;453kB / 1.78MB
9.0;7624229b1fba;quicker;90.88MiB / 1.953GiB;4.54%;19.26%;453kB / 1.78MB
9.5;7624229b1fba;quicker;95.04MiB / 1.953GiB;4.75%;20.37%;459kB / 1.87MB
10.0;7624229b1fba;quicker;95.04MiB / 1.953GiB;4.75%;20.37%;459kB / 1.87MB
10.5;7624229b1fba;quicker;95.1MiB / 1.953GiB;4.75%;5.40%;461kB / 1.89MB
11.0;7624229b1fba;quicker;95.1MiB / 1.953GiB;4.75%;5.40%;461kB / 1.89MB
11.5;7624229b1fba;quicker;94.98MiB / 1.953GiB;4.75%;1.52%;462kB / 1.89MB
12.0;7624229b1fba;quicker;94.98MiB / 1.953GiB;4.75%;1.52%;462kB / 1.89MB
12.5;7624229b1fba;quicker;95.2MiB / 1.953GiB;4.76%;2.37%;463kB / 1.89MB
13.0;7624229b1fba;quicker;95.2MiB / 1.953GiB;4.76%;2.37%;463kB / 1.89MB
13.5;7624229b1fba;quicker;95.95MiB / 1.953GiB;4.80%;2.61%;464kB / 1.9MB
14.0;7624229b1fba;quicker;95.95MiB / 1.953GiB;4.80%;2.61%;464kB / 1.9MB
14.5;7624229b1fba;quicker;95.93MiB / 1.953GiB;4.80%;2.75%;464kB / 1.91MB
15.0;7624229b1fba;quicker;95.93MiB / 1.953GiB;4.80%;2.75%;464kB / 1.91MB
15.5;7624229b1fba;quicker;96.56MiB / 1.953GiB;4.83%;18.04%;469kB / 2.08MB
16.0;7624229b1fba;quicker;96.56MiB / 1.953GiB;4.83%;18.04%;469kB / 2.08MB
16.5;7624229b1fba;quicker;96.76MiB / 1.953GiB;4.84%;8.15%;471kB / 2.15MB
17.0;7624229b1fba;quicker;96.76MiB / 1.953GiB;4.84%;8.15%;471kB / 2.15MB
17.5;7624229b1fba;quicker;96.76MiB / 1.953GiB;4.84%;9.40%;474kB / 2.22MB
18.0;7624229b1fba;quicker;96.76MiB / 1.953GiB;4.84%;9.40%;474kB / 2.22MB
18.5;7624229b1fba;quicker;96.93MiB / 1.953GiB;4.85%;11.83%;478kB / 2.26MB
19.0;7624229b1fba;quicker;96.93MiB / 1.953GiB;4.85%;11.83%;478kB / 2.26MB
19.5;7624229b1fba;quicker;96.93MiB / 1.953GiB;4.85%;5.40%;479kB / 2.3MB
20.0;7624229b1fba;quicker;96.93MiB / 1.953GiB;4.85%;5.40%;479kB / 2.3MB
20.5;7624229b1fba;quicker;96.93MiB / 1.953GiB;4.85%;2.32%;481kB / 2.3MB
21.0;7624229b1fba;quicker;96.93MiB / 1.953GiB;4.85%;2.32%;481kB / 2.3MB
21.5;7624229b1fba;quicker;97.16MiB / 1.953GiB;4.86%;11.33%;486kB / 2.39MB
22.0;7624229b1fba;quicker;97.16MiB / 1.953GiB;4.86%;11.33%;486kB / 2.39MB
22.5;7624229b1fba;quicker;97.3MiB / 1.953GiB;4.86%;9.22%;490kB / 2.42MB
23.0;7624229b1fba;quicker;97.3MiB / 1.953GiB;4.86%;9.22%;490kB / 2.42MB
23.5;7624229b1fba;quicker;97.39MiB / 1.953GiB;4.87%;4.40%;492kB / 2.45MB
24.0;7624229b1fba;quicker;97.39MiB / 1.953GiB;4.87%;4.40%;492kB / 2.45MB
24.5;7624229b1fba;quicker;97.42MiB / 1.953GiB;4.87%;8.15%;494kB / 2.5MB
25.0;7624229b1fba;quicker;97.42MiB / 1.953GiB;4.87%;8.15%;494kB / 2.5MB
25.5;7624229b1fba;quicker;97.71MiB / 1.953GiB;4.89%;10.53%;497kB / 2.59MB
26.0;7624229b1fba;quicker;97.71MiB / 1.953GiB;4.89%;10.53%;497kB / 2.59MB
26.5;7624229b1fba;quicker;97.8MiB / 1.953GiB;4.89%;8.83%;499kB / 2.68MB
27.0;7624229b1fba;quicker;97.8MiB / 1.953GiB;4.89%;8.83%;499kB / 2.68MB
27.5;7624229b1fba;quicker;98MiB / 1.953GiB;4.90%;9.15%;501kB / 2.79MB
28.0;7624229b1fba;quicker;98MiB / 1.953GiB;4.90%;9.15%;501kB / 2.79MB
28.5;7624229b1fba;quicker;98.07MiB / 1.953GiB;4.90%;7.19%;503kB / 2.88MB
29.0;7624229b1fba;quicker;98.07MiB / 1.953GiB;4.90%;7.19%;503kB / 2.88MB
29.5;7624229b1fba;quicker;98.13MiB / 1.953GiB;4.91%;2.57%;504kB / 2.91MB
30.0;7624229b1fba;quicker;98.13MiB / 1.953GiB;4.91%;2.57%;504kB / 2.91MB
30.5;7624229b1fba;quicker;98.03MiB / 1.953GiB;4.90%;3.12%;505kB / 2.93MB
31.0;7624229b1fba;quicker;98.03MiB / 1.953GiB;4.90%;3.12%;505kB / 2.93MB
31.5;7624229b1fba;quicker;98.27MiB / 1.953GiB;4.91%;9.92%;507kB / 3.06MB
32.0;7624229b1fba;quicker;98.27MiB / 1.953GiB;4.91%;9.92%;507kB / 3.06MB
32.5;7624229b1fba;quicker;98.33MiB / 1.953GiB;4.92%;12.38%;508kB / 3.29MB
33.0;7624229b1fba;quicker;98.33MiB / 1.953GiB;4.92%;12.38%;508kB / 3.29MB
33.5;7624229b1fba;quicker;98.25MiB / 1.953GiB;4.91%;6.35%;510kB / 3.37MB
34.0;7624229b1fba;quicker;98.25MiB / 1.953GiB;4.91%;6.35%;510kB / 3.37MB
34.5;7624229b1fba;quicker;98.28MiB / 1.953GiB;4.91%;3.55%;511kB / 3.4MB
35.0;7624229b1fba;quicker;98.28MiB / 1.953GiB;4.91%;3.55%;511kB / 3.4MB
35.5;7624229b1fba;quicker;98.28MiB / 1.953GiB;4.91%;3.28%;512kB / 3.45MB
36.0;7624229b1fba;quicker;98.28MiB / 1.953GiB;4.91%;3.28%;512kB / 3.45MB
36.5;7624229b1fba;quicker;98.34MiB / 1.953GiB;4.92%;5.02%;513kB / 3.51MB
37.0;7624229b1fba;quicker;98.34MiB / 1.953GiB;4.92%;5.02%;513kB / 3.51MB
37.5;7624229b1fba;quicker;98.39MiB / 1.953GiB;4.92%;5.13%;514kB / 3.58MB
38.0;7624229b1fba;quicker;98.39MiB / 1.953GiB;4.92%;5.13%;514kB / 3.58MB
38.5;7624229b1fba;quicker;98.46MiB / 1.953GiB;4.92%;7.28%;515kB / 3.71MB
39.0;7624229b1fba;quicker;98.46MiB / 1.953GiB;4.92%;7.28%;515kB / 3.71MB
39.5;7624229b1fba;quicker;98.59MiB / 1.953GiB;4.93%;4.13%;516kB / 3.77MB
40.0;7624229b1fba;quicker;98.59MiB / 1.953GiB;4.93%;4.13%;516kB / 3.77MB
40.5;7624229b1fba;quicker;98.51MiB / 1.953GiB;4.92%;1.01%;517kB / 3.77MB
