0.0;2aae7792fbd9;quicker;17.83MiB / 1.953GiB;0.89%;0.00%;598B / 0B
0.5;2aae7792fbd9;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;2aae7792fbd9;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;2aae7792fbd9;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;2aae7792fbd9;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;2aae7792fbd9;quicker;19.83MiB / 1.953GiB;0.99%;8.88%;9.79kB / 1.35kB
3.0;2aae7792fbd9;quicker;19.83MiB / 1.953GiB;0.99%;8.88%;9.79kB / 1.35kB
3.5;2aae7792fbd9;quicker;29.59MiB / 1.953GiB;1.48%;98.16%;129kB / 96kB
4.0;2aae7792fbd9;quicker;29.59MiB / 1.953GiB;1.48%;98.16%;129kB / 96kB
4.5;2aae7792fbd9;quicker;33.98MiB / 1.953GiB;1.70%;99.29%;235kB / 335kB
5.0;2aae7792fbd9;quicker;33.98MiB / 1.953GiB;1.70%;99.29%;235kB / 335kB
5.5;2aae7792fbd9;quicker;46.59MiB / 1.953GiB;2.33%;99.22%;331kB / 647kB
6.0;2aae7792fbd9;quicker;46.59MiB / 1.953GiB;2.33%;99.22%;331kB / 647kB
6.5;2aae7792fbd9;quicker;52.73MiB / 1.953GiB;2.64%;99.16%;404kB / 1.02MB
7.0;2aae7792fbd9;quicker;52.73MiB / 1.953GiB;2.64%;99.16%;404kB / 1.02MB
7.5;2aae7792fbd9;quicker;85.23MiB / 1.953GiB;4.26%;98.64%;418kB / 1.56MB
8.0;2aae7792fbd9;quicker;85.23MiB / 1.953GiB;4.26%;98.64%;418kB / 1.56MB
8.5;2aae7792fbd9;quicker;92.23MiB / 1.953GiB;4.61%;37.32%;424kB / 1.83MB
9.0;2aae7792fbd9;quicker;92.23MiB / 1.953GiB;4.61%;37.32%;424kB / 1.83MB
9.5;2aae7792fbd9;quicker;94.59MiB / 1.953GiB;4.73%;15.70%;429kB / 1.88MB
10.0;2aae7792fbd9;quicker;94.59MiB / 1.953GiB;4.73%;15.70%;429kB / 1.88MB
10.5;2aae7792fbd9;quicker;96.91MiB / 1.953GiB;4.85%;17.35%;433kB / 1.96MB
11.0;2aae7792fbd9;quicker;96.91MiB / 1.953GiB;4.85%;17.35%;433kB / 1.96MB
11.5;2aae7792fbd9;quicker;98.23MiB / 1.953GiB;4.91%;5.07%;434kB / 1.97MB
12.0;2aae7792fbd9;quicker;98.23MiB / 1.953GiB;4.91%;5.07%;434kB / 1.97MB
12.5;2aae7792fbd9;quicker;98.23MiB / 1.953GiB;4.91%;2.01%;435kB / 1.97MB
13.0;2aae7792fbd9;quicker;98.23MiB / 1.953GiB;4.91%;2.01%;435kB / 1.97MB
13.5;2aae7792fbd9;quicker;98.23MiB / 1.953GiB;4.91%;1.42%;435kB / 1.97MB
14.0;2aae7792fbd9;quicker;98.23MiB / 1.953GiB;4.91%;1.42%;435kB / 1.97MB
14.5;2aae7792fbd9;quicker;98.23MiB / 1.953GiB;4.91%;1.06%;436kB / 1.97MB
15.0;2aae7792fbd9;quicker;98.23MiB / 1.953GiB;4.91%;1.06%;436kB / 1.97MB
15.5;2aae7792fbd9;quicker;98.28MiB / 1.953GiB;4.91%;4.67%;437kB / 1.99MB
16.0;2aae7792fbd9;quicker;98.28MiB / 1.953GiB;4.91%;4.67%;437kB / 1.99MB
16.5;2aae7792fbd9;quicker;98.69MiB / 1.953GiB;4.93%;7.82%;439kB / 2.07MB
17.0;2aae7792fbd9;quicker;98.69MiB / 1.953GiB;4.93%;7.82%;439kB / 2.07MB
17.5;2aae7792fbd9;quicker;98.95MiB / 1.953GiB;4.95%;17.30%;444kB / 2.21MB
18.0;2aae7792fbd9;quicker;98.95MiB / 1.953GiB;4.95%;17.30%;444kB / 2.21MB
18.5;2aae7792fbd9;quicker;99.07MiB / 1.953GiB;4.95%;13.13%;447kB / 2.29MB
19.0;2aae7792fbd9;quicker;99.07MiB / 1.953GiB;4.95%;13.13%;447kB / 2.29MB
19.5;2aae7792fbd9;quicker;99.06MiB / 1.953GiB;4.95%;7.36%;451kB / 2.32MB
20.0;2aae7792fbd9;quicker;99.06MiB / 1.953GiB;4.95%;7.36%;451kB / 2.32MB
20.5;2aae7792fbd9;quicker;99.18MiB / 1.953GiB;4.96%;9.33%;454kB / 2.38MB
21.0;2aae7792fbd9;quicker;99.18MiB / 1.953GiB;4.96%;9.33%;454kB / 2.38MB
21.5;2aae7792fbd9;quicker;99.18MiB / 1.953GiB;4.96%;1.93%;456kB / 2.38MB
22.0;2aae7792fbd9;quicker;99.18MiB / 1.953GiB;4.96%;1.93%;456kB / 2.38MB
22.5;2aae7792fbd9;quicker;99.41MiB / 1.953GiB;4.97%;5.01%;457kB / 2.4MB
23.0;2aae7792fbd9;quicker;99.41MiB / 1.953GiB;4.97%;5.01%;457kB / 2.4MB
23.5;2aae7792fbd9;quicker;99.56MiB / 1.953GiB;4.98%;15.64%;465kB / 2.51MB
24.0;2aae7792fbd9;quicker;99.56MiB / 1.953GiB;4.98%;15.64%;465kB / 2.51MB
24.5;2aae7792fbd9;quicker;99.95MiB / 1.953GiB;5.00%;11.43%;469kB / 2.59MB
25.0;2aae7792fbd9;quicker;99.95MiB / 1.953GiB;5.00%;11.43%;469kB / 2.59MB
25.5;2aae7792fbd9;quicker;100.1MiB / 1.953GiB;5.00%;4.14%;470kB / 2.63MB
26.0;2aae7792fbd9;quicker;100.1MiB / 1.953GiB;5.00%;4.14%;470kB / 2.63MB
26.5;2aae7792fbd9;quicker;100.1MiB / 1.953GiB;5.00%;5.27%;472kB / 2.64MB
27.0;2aae7792fbd9;quicker;100.1MiB / 1.953GiB;5.00%;5.27%;472kB / 2.64MB
27.5;2aae7792fbd9;quicker;100.4MiB / 1.953GiB;5.02%;14.64%;477kB / 2.76MB
28.0;2aae7792fbd9;quicker;100.4MiB / 1.953GiB;5.02%;14.64%;477kB / 2.76MB
28.5;2aae7792fbd9;quicker;100.5MiB / 1.953GiB;5.02%;11.50%;479kB / 2.87MB
29.0;2aae7792fbd9;quicker;100.5MiB / 1.953GiB;5.02%;11.50%;479kB / 2.87MB
29.5;2aae7792fbd9;quicker;100.5MiB / 1.953GiB;5.02%;4.14%;481kB / 2.91MB
30.0;2aae7792fbd9;quicker;100.5MiB / 1.953GiB;5.02%;4.14%;481kB / 2.91MB
30.5;2aae7792fbd9;quicker;100.6MiB / 1.953GiB;5.03%;6.40%;482kB / 2.99MB
31.0;2aae7792fbd9;quicker;100.6MiB / 1.953GiB;5.03%;6.40%;482kB / 2.99MB
31.5;2aae7792fbd9;quicker;100.7MiB / 1.953GiB;5.03%;6.09%;484kB / 3.07MB
32.0;2aae7792fbd9;quicker;100.7MiB / 1.953GiB;5.03%;6.09%;484kB / 3.07MB
32.5;2aae7792fbd9;quicker;100.8MiB / 1.953GiB;5.04%;10.44%;487kB / 3.19MB
33.0;2aae7792fbd9;quicker;100.8MiB / 1.953GiB;5.04%;10.44%;487kB / 3.19MB
33.5;2aae7792fbd9;quicker;100.8MiB / 1.953GiB;5.04%;4.71%;488kB / 3.25MB
34.0;2aae7792fbd9;quicker;100.8MiB / 1.953GiB;5.04%;4.71%;488kB / 3.25MB
34.5;2aae7792fbd9;quicker;100.8MiB / 1.953GiB;5.04%;0.89%;488kB / 3.25MB
35.0;2aae7792fbd9;quicker;100.8MiB / 1.953GiB;5.04%;0.89%;488kB / 3.25MB
35.5;2aae7792fbd9;quicker;100.9MiB / 1.953GiB;5.05%;11.55%;492kB / 3.36MB
36.0;2aae7792fbd9;quicker;100.9MiB / 1.953GiB;5.05%;11.55%;492kB / 3.36MB
36.5;2aae7792fbd9;quicker;101MiB / 1.953GiB;5.05%;8.34%;493kB / 3.5MB
37.0;2aae7792fbd9;quicker;101MiB / 1.953GiB;5.05%;8.34%;493kB / 3.5MB
37.5;2aae7792fbd9;quicker;101MiB / 1.953GiB;5.05%;1.32%;494kB / 3.5MB
38.0;2aae7792fbd9;quicker;101MiB / 1.953GiB;5.05%;1.32%;494kB / 3.5MB
38.5;2aae7792fbd9;quicker;101MiB / 1.953GiB;5.05%;4.41%;494kB / 3.57MB
39.0;2aae7792fbd9;quicker;101MiB / 1.953GiB;5.05%;4.41%;494kB / 3.57MB
39.5;2aae7792fbd9;quicker;101.1MiB / 1.953GiB;5.05%;2.88%;495kB / 3.62MB
40.0;2aae7792fbd9;quicker;101.1MiB / 1.953GiB;5.05%;2.88%;495kB / 3.62MB
40.5;2aae7792fbd9;quicker;101.2MiB / 1.953GiB;5.06%;12.05%;497kB / 3.8MB
41.0;2aae7792fbd9;quicker;101.2MiB / 1.953GiB;5.06%;12.05%;497kB / 3.8MB
41.5;2aae7792fbd9;quicker;101.3MiB / 1.953GiB;5.06%;4.28%;497kB / 3.87MB
42.0;2aae7792fbd9;quicker;101.3MiB / 1.953GiB;5.06%;4.28%;497kB / 3.87MB
