0.0;e20b3078162f;quicker;17.81MiB / 1.953GiB;0.89%;0.00%;598B / 0B
0.5;e20b3078162f;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;e20b3078162f;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;e20b3078162f;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;e20b3078162f;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;e20b3078162f;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
3.0;e20b3078162f;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
3.5;e20b3078162f;quicker;28.11MiB / 1.953GiB;1.41%;84.09%;99.2kB / 1.34kB
4.0;e20b3078162f;quicker;28.11MiB / 1.953GiB;1.41%;84.09%;99.2kB / 1.34kB
4.5;e20b3078162f;quicker;32.96MiB / 1.953GiB;1.65%;98.31%;198kB / 280kB
5.0;e20b3078162f;quicker;32.96MiB / 1.953GiB;1.65%;98.31%;198kB / 280kB
5.5;e20b3078162f;quicker;46.26MiB / 1.953GiB;2.31%;99.21%;278kB / 589kB
6.0;e20b3078162f;quicker;46.26MiB / 1.953GiB;2.31%;99.21%;278kB / 589kB
6.5;e20b3078162f;quicker;69.09MiB / 1.953GiB;3.45%;99.04%;360kB / 1.01MB
7.0;e20b3078162f;quicker;69.09MiB / 1.953GiB;3.45%;99.04%;360kB / 1.01MB
7.5;e20b3078162f;quicker;80.51MiB / 1.953GiB;4.02%;98.10%;410kB / 1.39MB
8.0;e20b3078162f;quicker;80.51MiB / 1.953GiB;4.02%;98.10%;410kB / 1.39MB
8.5;e20b3078162f;quicker;90.55MiB / 1.953GiB;4.53%;54.94%;418kB / 1.77MB
9.0;e20b3078162f;quicker;90.55MiB / 1.953GiB;4.53%;54.94%;418kB / 1.77MB
9.5;e20b3078162f;quicker;93.16MiB / 1.953GiB;4.66%;21.50%;422kB / 1.86MB
10.0;e20b3078162f;quicker;93.16MiB / 1.953GiB;4.66%;21.50%;422kB / 1.86MB
10.5;e20b3078162f;quicker;98.36MiB / 1.953GiB;4.92%;25.01%;428kB / 2MB
11.0;e20b3078162f;quicker;98.36MiB / 1.953GiB;4.92%;25.01%;428kB / 2MB
11.5;e20b3078162f;quicker;101.5MiB / 1.953GiB;5.08%;19.94%;433kB / 2.05MB
12.0;e20b3078162f;quicker;101.5MiB / 1.953GiB;5.08%;19.94%;433kB / 2.05MB
12.5;e20b3078162f;quicker;101.6MiB / 1.953GiB;5.08%;2.85%;433kB / 2.05MB
13.0;e20b3078162f;quicker;101.6MiB / 1.953GiB;5.08%;2.85%;433kB / 2.05MB
13.5;e20b3078162f;quicker;101.6MiB / 1.953GiB;5.08%;2.85%;434kB / 2.05MB
14.0;e20b3078162f;quicker;101.6MiB / 1.953GiB;5.08%;2.85%;434kB / 2.05MB
14.5;e20b3078162f;quicker;101.6MiB / 1.953GiB;5.08%;1.64%;435kB / 2.05MB
15.0;e20b3078162f;quicker;101.6MiB / 1.953GiB;5.08%;1.64%;435kB / 2.05MB
15.5;e20b3078162f;quicker;101.6MiB / 1.953GiB;5.08%;1.83%;435kB / 2.05MB
16.0;e20b3078162f;quicker;101.6MiB / 1.953GiB;5.08%;1.83%;435kB / 2.05MB
16.5;e20b3078162f;quicker;101.5MiB / 1.953GiB;5.08%;1.26%;436kB / 2.05MB
17.0;e20b3078162f;quicker;101.5MiB / 1.953GiB;5.08%;1.26%;436kB / 2.05MB
17.5;e20b3078162f;quicker;101.7MiB / 1.953GiB;5.08%;4.32%;439kB / 2.06MB
18.0;e20b3078162f;quicker;101.7MiB / 1.953GiB;5.08%;4.32%;439kB / 2.06MB
18.5;e20b3078162f;quicker;102.6MiB / 1.953GiB;5.13%;10.41%;443kB / 2.1MB
19.0;e20b3078162f;quicker;102.6MiB / 1.953GiB;5.13%;10.41%;443kB / 2.1MB
19.5;e20b3078162f;quicker;103MiB / 1.953GiB;5.15%;11.89%;448kB / 2.17MB
20.0;e20b3078162f;quicker;103MiB / 1.953GiB;5.15%;11.89%;448kB / 2.17MB
20.5;e20b3078162f;quicker;103.1MiB / 1.953GiB;5.15%;18.14%;455kB / 2.28MB
21.0;e20b3078162f;quicker;103.1MiB / 1.953GiB;5.15%;18.14%;455kB / 2.28MB
21.5;e20b3078162f;quicker;103.2MiB / 1.953GiB;5.16%;12.95%;461kB / 2.36MB
22.0;e20b3078162f;quicker;103.2MiB / 1.953GiB;5.16%;12.95%;461kB / 2.36MB
22.5;e20b3078162f;quicker;103.2MiB / 1.953GiB;5.16%;7.37%;466kB / 2.41MB
23.0;e20b3078162f;quicker;103.2MiB / 1.953GiB;5.16%;7.37%;466kB / 2.41MB
23.5;e20b3078162f;quicker;103.6MiB / 1.953GiB;5.18%;10.70%;471kB / 2.45MB
24.0;e20b3078162f;quicker;103.6MiB / 1.953GiB;5.18%;10.70%;471kB / 2.45MB
24.5;e20b3078162f;quicker;103.5MiB / 1.953GiB;5.17%;2.37%;472kB / 2.45MB
25.0;e20b3078162f;quicker;103.5MiB / 1.953GiB;5.17%;2.37%;472kB / 2.45MB
25.5;e20b3078162f;quicker;103.5MiB / 1.953GiB;5.17%;1.33%;473kB / 2.45MB
26.0;e20b3078162f;quicker;103.5MiB / 1.953GiB;5.17%;1.33%;473kB / 2.45MB
26.5;e20b3078162f;quicker;103.8MiB / 1.953GiB;5.19%;10.05%;478kB / 2.51MB
27.0;e20b3078162f;quicker;103.8MiB / 1.953GiB;5.19%;10.05%;478kB / 2.51MB
27.5;e20b3078162f;quicker;104.1MiB / 1.953GiB;5.20%;12.90%;483kB / 2.59MB
28.0;e20b3078162f;quicker;104.1MiB / 1.953GiB;5.20%;12.90%;483kB / 2.59MB
28.5;e20b3078162f;quicker;104.2MiB / 1.953GiB;5.21%;11.03%;487kB / 2.68MB
29.0;e20b3078162f;quicker;104.2MiB / 1.953GiB;5.21%;11.03%;487kB / 2.68MB
29.5;e20b3078162f;quicker;104.1MiB / 1.953GiB;5.21%;2.77%;490kB / 2.68MB
30.0;e20b3078162f;quicker;104.1MiB / 1.953GiB;5.21%;2.77%;490kB / 2.68MB
30.5;e20b3078162f;quicker;104.4MiB / 1.953GiB;5.22%;7.76%;494kB / 2.72MB
31.0;e20b3078162f;quicker;104.4MiB / 1.953GiB;5.22%;7.76%;494kB / 2.72MB
31.5;e20b3078162f;quicker;104.5MiB / 1.953GiB;5.22%;8.51%;497kB / 2.77MB
32.0;e20b3078162f;quicker;104.5MiB / 1.953GiB;5.22%;8.51%;497kB / 2.77MB
32.5;e20b3078162f;quicker;104.4MiB / 1.953GiB;5.22%;4.17%;499kB / 2.79MB
33.0;e20b3078162f;quicker;104.4MiB / 1.953GiB;5.22%;4.17%;499kB / 2.79MB
33.5;e20b3078162f;quicker;104.7MiB / 1.953GiB;5.24%;10.77%;503kB / 2.9MB
34.0;e20b3078162f;quicker;104.7MiB / 1.953GiB;5.24%;10.77%;503kB / 2.9MB
34.5;e20b3078162f;quicker;104.8MiB / 1.953GiB;5.24%;12.02%;505kB / 3.05MB
35.0;e20b3078162f;quicker;104.8MiB / 1.953GiB;5.24%;12.02%;505kB / 3.05MB
35.5;e20b3078162f;quicker;104.9MiB / 1.953GiB;5.24%;3.88%;507kB / 3.06MB
36.0;e20b3078162f;quicker;104.9MiB / 1.953GiB;5.24%;3.88%;507kB / 3.06MB
36.5;e20b3078162f;quicker;104.9MiB / 1.953GiB;5.24%;2.57%;509kB / 3.06MB
37.0;e20b3078162f;quicker;104.9MiB / 1.953GiB;5.24%;2.57%;509kB / 3.06MB
37.5;e20b3078162f;quicker;105MiB / 1.953GiB;5.25%;9.39%;511kB / 3.2MB
38.0;e20b3078162f;quicker;105MiB / 1.953GiB;5.25%;9.39%;511kB / 3.2MB
38.5;e20b3078162f;quicker;105.2MiB / 1.953GiB;5.26%;10.00%;514kB / 3.31MB
39.0;e20b3078162f;quicker;105.2MiB / 1.953GiB;5.26%;10.00%;514kB / 3.31MB
39.5;e20b3078162f;quicker;105.1MiB / 1.953GiB;5.25%;2.21%;515kB / 3.34MB
40.0;e20b3078162f;quicker;105.1MiB / 1.953GiB;5.25%;2.21%;515kB / 3.34MB
40.5;e20b3078162f;quicker;105.2MiB / 1.953GiB;5.26%;5.27%;516kB / 3.4MB
41.0;e20b3078162f;quicker;105.2MiB / 1.953GiB;5.26%;5.27%;516kB / 3.4MB
41.5;e20b3078162f;quicker;105.3MiB / 1.953GiB;5.27%;13.25%;518kB / 3.57MB
42.0;e20b3078162f;quicker;105.3MiB / 1.953GiB;5.27%;13.25%;518kB / 3.57MB
42.5;e20b3078162f;quicker;105.4MiB / 1.953GiB;5.27%;10.96%;519kB / 3.73MB
43.0;e20b3078162f;quicker;105.4MiB / 1.953GiB;5.27%;10.96%;519kB / 3.73MB
43.5;e20b3078162f;quicker;105.4MiB / 1.953GiB;5.27%;0.71%;520kB / 3.73MB
44.0;e20b3078162f;quicker;105.4MiB / 1.953GiB;5.27%;0.71%;520kB / 3.73MB
44.5;e20b3078162f;quicker;105.5MiB / 1.953GiB;5.28%;3.11%;521kB / 3.76MB
45.0;e20b3078162f;quicker;105.5MiB / 1.953GiB;5.28%;3.11%;521kB / 3.76MB
45.5;e20b3078162f;quicker;105.5MiB / 1.953GiB;5.28%;4.15%;521kB / 3.81MB
46.0;e20b3078162f;quicker;105.5MiB / 1.953GiB;5.28%;4.15%;521kB / 3.81MB
46.5;e20b3078162f;quicker;105.6MiB / 1.953GiB;5.28%;4.63%;521kB / 3.88MB
47.0;e20b3078162f;quicker;105.6MiB / 1.953GiB;5.28%;4.63%;521kB / 3.88MB
47.5;e20b3078162f;quicker;105.6MiB / 1.953GiB;5.28%;6.23%;522kB / 3.99MB
48.0;e20b3078162f;quicker;105.6MiB / 1.953GiB;5.28%;6.23%;522kB / 3.99MB
48.5;e20b3078162f;quicker;105.5MiB / 1.953GiB;5.28%;1.40%;523kB / 3.99MB
49.0;e20b3078162f;quicker;105.5MiB / 1.953GiB;5.28%;1.40%;523kB / 3.99MB
49.5;e20b3078162f;quicker;105.7MiB / 1.953GiB;5.28%;21.83%;525kB / 4.3MB
50.0;e20b3078162f;quicker;105.7MiB / 1.953GiB;5.28%;21.83%;525kB / 4.3MB
50.5;e20b3078162f;quicker;105.8MiB / 1.953GiB;5.29%;4.19%;525kB / 4.36MB
51.0;e20b3078162f;quicker;105.8MiB / 1.953GiB;5.29%;4.19%;525kB / 4.36MB
51.5;e20b3078162f;quicker;105.9MiB / 1.953GiB;5.29%;6.24%;526kB / 4.43MB
52.0;e20b3078162f;quicker;105.9MiB / 1.953GiB;5.29%;6.24%;526kB / 4.43MB
52.5;e20b3078162f;quicker;105.9MiB / 1.953GiB;5.29%;5.53%;526kB / 4.49MB
53.0;e20b3078162f;quicker;105.9MiB / 1.953GiB;5.29%;5.53%;526kB / 4.49MB
53.5;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;4.71%;526kB / 4.54MB
54.0;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;4.71%;526kB / 4.54MB
54.5;e20b3078162f;quicker;105.9MiB / 1.953GiB;5.30%;8.25%;527kB / 4.65MB
55.0;e20b3078162f;quicker;105.9MiB / 1.953GiB;5.30%;8.25%;527kB / 4.65MB
55.5;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;8.05%;528kB / 4.76MB
56.0;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;8.05%;528kB / 4.76MB
56.5;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;0.78%;528kB / 4.76MB
57.0;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;0.78%;528kB / 4.76MB
57.5;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;0.68%;528kB / 4.76MB
58.0;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;0.68%;528kB / 4.76MB
58.5;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;0.65%;529kB / 4.76MB
59.0;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;0.65%;529kB / 4.76MB
59.5;e20b3078162f;quicker;106.1MiB / 1.953GiB;5.30%;5.70%;529kB / 4.82MB
60.0;e20b3078162f;quicker;106.1MiB / 1.953GiB;5.30%;5.70%;529kB / 4.82MB
60.5;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;0.16%;529kB / 4.82MB
61.0;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;0.16%;529kB / 4.82MB
61.5;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;0.06%;529kB / 4.82MB
62.0;e20b3078162f;quicker;106MiB / 1.953GiB;5.30%;0.06%;529kB / 4.82MB
62.5;e20b3078162f;quicker;106.1MiB / 1.953GiB;5.31%;1.36%;529kB / 4.83MB
63.0;e20b3078162f;quicker;106.1MiB / 1.953GiB;5.31%;1.36%;529kB / 4.83MB
63.5;e20b3078162f;quicker;106.2MiB / 1.953GiB;5.31%;5.30%;530kB / 4.86MB
