0.0;a750438da7b1;quicker;59.61MiB / 1.953GiB;2.98%;98.57%;438B / 0B
0.5;a750438da7b1;quicker;115.1MiB / 1.953GiB;5.75%;99.62%;688B / 0B
1.0;a750438da7b1;quicker;115.1MiB / 1.953GiB;5.75%;99.62%;688B / 0B
1.5;a750438da7b1;quicker;129.6MiB / 1.953GiB;6.48%;99.40%;688B / 0B
2.0;a750438da7b1;quicker;129.6MiB / 1.953GiB;6.48%;99.40%;688B / 0B
2.5;a750438da7b1;quicker;144.5MiB / 1.953GiB;7.23%;98.55%;688B / 0B
3.0;a750438da7b1;quicker;144.5MiB / 1.953GiB;7.23%;98.55%;688B / 0B
3.5;a750438da7b1;quicker;152.3MiB / 1.953GiB;7.61%;99.57%;688B / 0B
4.0;a750438da7b1;quicker;152.3MiB / 1.953GiB;7.61%;99.57%;688B / 0B
4.5;a750438da7b1;quicker;157.3MiB / 1.953GiB;7.86%;99.51%;758B / 0B
5.0;a750438da7b1;quicker;157.3MiB / 1.953GiB;7.86%;99.51%;758B / 0B
5.5;a750438da7b1;quicker;148.5MiB / 1.953GiB;7.43%;98.81%;758B / 0B
6.0;a750438da7b1;quicker;148.5MiB / 1.953GiB;7.43%;98.81%;758B / 0B
6.5;a750438da7b1;quicker;17.8MiB / 1.953GiB;0.89%;21.05%;758B / 0B
7.0;a750438da7b1;quicker;17.8MiB / 1.953GiB;0.89%;21.05%;758B / 0B
7.5;a750438da7b1;quicker;27.46MiB / 1.953GiB;1.37%;94.98%;86.3kB / 1.34kB
8.0;a750438da7b1;quicker;27.46MiB / 1.953GiB;1.37%;94.98%;86.3kB / 1.34kB
8.5;a750438da7b1;quicker;48.71MiB / 1.953GiB;2.44%;97.06%;246kB / 403kB
9.0;a750438da7b1;quicker;48.71MiB / 1.953GiB;2.44%;97.06%;246kB / 403kB
9.5;a750438da7b1;quicker;51.21MiB / 1.953GiB;2.56%;100.21%;399kB / 488kB
10.0;a750438da7b1;quicker;51.21MiB / 1.953GiB;2.56%;100.21%;399kB / 488kB
10.5;a750438da7b1;quicker;62.62MiB / 1.953GiB;3.13%;98.13%;480kB / 707kB
11.0;a750438da7b1;quicker;62.62MiB / 1.953GiB;3.13%;98.13%;480kB / 707kB
11.5;a750438da7b1;quicker;79.85MiB / 1.953GiB;3.99%;99.97%;526kB / 1.1MB
12.0;a750438da7b1;quicker;79.85MiB / 1.953GiB;3.99%;99.97%;526kB / 1.1MB
12.5;a750438da7b1;quicker;89.6MiB / 1.953GiB;4.48%;98.07%;545kB / 1.56MB
13.0;a750438da7b1;quicker;89.6MiB / 1.953GiB;4.48%;98.07%;545kB / 1.56MB
13.5;a750438da7b1;quicker;96.32MiB / 1.953GiB;4.82%;98.75%;564kB / 2.63MB
14.0;a750438da7b1;quicker;96.32MiB / 1.953GiB;4.82%;98.75%;564kB / 2.63MB
14.5;a750438da7b1;quicker;99.32MiB / 1.953GiB;4.97%;97.48%;577kB / 4.32MB
15.0;a750438da7b1;quicker;99.32MiB / 1.953GiB;4.97%;97.48%;577kB / 4.32MB
15.5;a750438da7b1;quicker;101.5MiB / 1.953GiB;5.08%;99.79%;588kB / 5.48MB
16.0;a750438da7b1;quicker;101.5MiB / 1.953GiB;5.08%;99.79%;588kB / 5.48MB
16.5;a750438da7b1;quicker;103.4MiB / 1.953GiB;5.17%;96.80%;595kB / 6.76MB
17.0;a750438da7b1;quicker;103.4MiB / 1.953GiB;5.17%;96.80%;595kB / 6.76MB
17.5;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;50.62%;602kB / 7.65MB
18.0;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;50.62%;602kB / 7.65MB
18.5;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;2.91%;603kB / 7.65MB
19.0;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;2.91%;603kB / 7.65MB
19.5;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;3.94%;606kB / 7.65MB
20.0;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;3.94%;606kB / 7.65MB
20.5;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;1.22%;607kB / 7.65MB
21.0;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;1.22%;607kB / 7.65MB
21.5;a750438da7b1;quicker;104.2MiB / 1.953GiB;5.21%;2.22%;608kB / 7.65MB
22.0;a750438da7b1;quicker;104.2MiB / 1.953GiB;5.21%;2.22%;608kB / 7.65MB
22.5;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;2.27%;609kB / 7.65MB
23.0;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;2.27%;609kB / 7.65MB
23.5;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;1.03%;610kB / 7.65MB
24.0;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;1.03%;610kB / 7.65MB
24.5;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;0.96%;610kB / 7.65MB
25.0;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;0.96%;610kB / 7.65MB
25.5;a750438da7b1;quicker;104.1MiB / 1.953GiB;5.20%;1.14%;611kB / 7.65MB
