0.0;249a55275cea;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;598B / 0B
0.5;249a55275cea;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;249a55275cea;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;249a55275cea;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;249a55275cea;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;249a55275cea;quicker;28.84MiB / 1.953GiB;1.44%;71.49%;46.8kB / 105kB
3.0;249a55275cea;quicker;28.84MiB / 1.953GiB;1.44%;71.49%;46.8kB / 105kB
3.5;249a55275cea;quicker;43.66MiB / 1.953GiB;2.18%;41.53%;55.4kB / 332kB
4.0;249a55275cea;quicker;43.66MiB / 1.953GiB;2.18%;41.53%;55.4kB / 332kB
4.5;249a55275cea;quicker;43.58MiB / 1.953GiB;2.18%;1.00%;55.6kB / 335kB
5.0;249a55275cea;quicker;43.58MiB / 1.953GiB;2.18%;1.00%;55.6kB / 335kB
5.5;249a55275cea;quicker;43.71MiB / 1.953GiB;2.19%;1.59%;57kB / 337kB
6.0;249a55275cea;quicker;43.71MiB / 1.953GiB;2.19%;1.59%;57kB / 337kB
6.5;249a55275cea;quicker;43.84MiB / 1.953GiB;2.19%;16.87%;58.7kB / 508kB
7.0;249a55275cea;quicker;43.84MiB / 1.953GiB;2.19%;16.87%;58.7kB / 508kB
7.5;249a55275cea;quicker;43.85MiB / 1.953GiB;2.19%;1.38%;58.9kB / 516kB
8.0;249a55275cea;quicker;43.85MiB / 1.953GiB;2.19%;1.38%;58.9kB / 516kB
8.5;249a55275cea;quicker;43.98MiB / 1.953GiB;2.20%;6.37%;61.1kB / 579kB
9.0;249a55275cea;quicker;43.98MiB / 1.953GiB;2.20%;6.37%;61.1kB / 579kB
9.5;249a55275cea;quicker;44.25MiB / 1.953GiB;2.21%;14.71%;62.4kB / 733kB
