0.0;9d15e47a74aa;quicker;17.76MiB / 1.953GiB;0.89%;14.36%;438B / 0B
0.5;9d15e47a74aa;quicker;17.73MiB / 1.953GiB;0.89%;0.00%;598B / 0B
1.0;9d15e47a74aa;quicker;17.73MiB / 1.953GiB;0.89%;0.00%;598B / 0B
1.5;9d15e47a74aa;quicker;21.1MiB / 1.953GiB;1.05%;22.39%;16.4kB / 1.35kB
2.0;9d15e47a74aa;quicker;21.1MiB / 1.953GiB;1.05%;22.39%;16.4kB / 1.35kB
2.5;9d15e47a74aa;quicker;29.92MiB / 1.953GiB;1.50%;99.30%;156kB / 106kB
3.0;9d15e47a74aa;quicker;29.92MiB / 1.953GiB;1.50%;99.30%;156kB / 106kB
3.5;9d15e47a74aa;quicker;33.72MiB / 1.953GiB;1.69%;98.85%;262kB / 348kB
4.0;9d15e47a74aa;quicker;33.72MiB / 1.953GiB;1.69%;98.85%;262kB / 348kB
4.5;9d15e47a74aa;quicker;44.84MiB / 1.953GiB;2.24%;97.71%;379kB / 570kB
5.0;9d15e47a74aa;quicker;44.84MiB / 1.953GiB;2.24%;97.71%;379kB / 570kB
5.5;9d15e47a74aa;quicker;51.61MiB / 1.953GiB;2.58%;100.02%;497kB / 827kB
6.0;9d15e47a74aa;quicker;51.61MiB / 1.953GiB;2.58%;100.02%;497kB / 827kB
6.5;9d15e47a74aa;quicker;76.61MiB / 1.953GiB;3.83%;99.12%;601kB / 1.07MB
7.0;9d15e47a74aa;quicker;76.61MiB / 1.953GiB;3.83%;99.12%;601kB / 1.07MB
7.5;9d15e47a74aa;quicker;85.65MiB / 1.953GiB;4.28%;99.07%;676kB / 1.46MB
8.0;9d15e47a74aa;quicker;85.65MiB / 1.953GiB;4.28%;99.07%;676kB / 1.46MB
8.5;9d15e47a74aa;quicker;91.68MiB / 1.953GiB;4.58%;98.09%;758kB / 1.72MB
9.0;9d15e47a74aa;quicker;91.68MiB / 1.953GiB;4.58%;98.09%;758kB / 1.72MB
9.5;9d15e47a74aa;quicker;97.54MiB / 1.953GiB;4.88%;96.21%;789kB / 2.14MB
10.0;9d15e47a74aa;quicker;97.54MiB / 1.953GiB;4.88%;96.21%;789kB / 2.14MB
10.5;9d15e47a74aa;quicker;99.95MiB / 1.953GiB;5.00%;26.52%;796kB / 2.32MB
11.0;9d15e47a74aa;quicker;99.95MiB / 1.953GiB;5.00%;26.52%;796kB / 2.32MB
11.5;9d15e47a74aa;quicker;104.7MiB / 1.953GiB;5.23%;35.53%;808kB / 2.5MB
12.0;9d15e47a74aa;quicker;104.7MiB / 1.953GiB;5.23%;35.53%;808kB / 2.5MB
12.5;9d15e47a74aa;quicker;110.4MiB / 1.953GiB;5.52%;34.68%;818kB / 2.65MB
13.0;9d15e47a74aa;quicker;110.4MiB / 1.953GiB;5.52%;34.68%;818kB / 2.65MB
13.5;9d15e47a74aa;quicker;110.3MiB / 1.953GiB;5.51%;3.17%;819kB / 2.66MB
14.0;9d15e47a74aa;quicker;110.3MiB / 1.953GiB;5.51%;3.17%;819kB / 2.66MB
14.5;9d15e47a74aa;quicker;110.9MiB / 1.953GiB;5.55%;7.40%;821kB / 2.71MB
15.0;9d15e47a74aa;quicker;110.9MiB / 1.953GiB;5.55%;7.40%;821kB / 2.71MB
15.5;9d15e47a74aa;quicker;110.9MiB / 1.953GiB;5.55%;1.80%;821kB / 2.71MB
