0.0;76a859a5ef7c;quicker;17.74MiB / 1.953GiB;0.89%;0.00%;598B / 0B
0.5;76a859a5ef7c;quicker;17.73MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;76a859a5ef7c;quicker;17.73MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;76a859a5ef7c;quicker;17.73MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;76a859a5ef7c;quicker;17.73MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;76a859a5ef7c;quicker;26.49MiB / 1.953GiB;1.32%;78.63%;65.5kB / 1.34kB
3.0;76a859a5ef7c;quicker;26.49MiB / 1.953GiB;1.32%;78.63%;65.5kB / 1.34kB
3.5;76a859a5ef7c;quicker;43.18MiB / 1.953GiB;2.16%;58.83%;85.9kB / 218kB
4.0;76a859a5ef7c;quicker;43.18MiB / 1.953GiB;2.16%;58.83%;85.9kB / 218kB
4.5;76a859a5ef7c;quicker;47.62MiB / 1.953GiB;2.38%;20.54%;86.9kB / 429kB
5.0;76a859a5ef7c;quicker;47.62MiB / 1.953GiB;2.38%;20.54%;86.9kB / 429kB
5.5;76a859a5ef7c;quicker;47.5MiB / 1.953GiB;2.37%;0.76%;86.9kB / 429kB
6.0;76a859a5ef7c;quicker;47.5MiB / 1.953GiB;2.37%;0.76%;86.9kB / 429kB
6.5;76a859a5ef7c;quicker;47.63MiB / 1.953GiB;2.38%;2.12%;87kB / 443kB
7.0;76a859a5ef7c;quicker;47.63MiB / 1.953GiB;2.38%;2.12%;87kB / 443kB
7.5;76a859a5ef7c;quicker;47.9MiB / 1.953GiB;2.39%;16.50%;90kB / 606kB
8.0;76a859a5ef7c;quicker;47.9MiB / 1.953GiB;2.39%;16.50%;90kB / 606kB
8.5;76a859a5ef7c;quicker;48.13MiB / 1.953GiB;2.41%;18.00%;92.4kB / 774kB
9.0;76a859a5ef7c;quicker;48.13MiB / 1.953GiB;2.41%;18.00%;92.4kB / 774kB
9.5;76a859a5ef7c;quicker;48.2MiB / 1.953GiB;2.41%;9.21%;94.1kB / 847kB
10.0;76a859a5ef7c;quicker;48.2MiB / 1.953GiB;2.41%;9.21%;94.1kB / 847kB
10.5;76a859a5ef7c;quicker;48.32MiB / 1.953GiB;2.42%;7.95%;95.8kB / 934kB
11.0;76a859a5ef7c;quicker;48.32MiB / 1.953GiB;2.42%;7.95%;95.8kB / 934kB
11.5;76a859a5ef7c;quicker;48.31MiB / 1.953GiB;2.42%;9.41%;97.4kB / 1.02MB
12.0;76a859a5ef7c;quicker;48.31MiB / 1.953GiB;2.42%;9.41%;97.4kB / 1.02MB
12.5;76a859a5ef7c;quicker;48.44MiB / 1.953GiB;2.42%;10.29%;98.3kB / 1.12MB
13.0;76a859a5ef7c;quicker;48.44MiB / 1.953GiB;2.42%;10.29%;98.3kB / 1.12MB
13.5;76a859a5ef7c;quicker;48.76MiB / 1.953GiB;2.44%;9.70%;99.3kB / 1.21MB
14.0;76a859a5ef7c;quicker;48.76MiB / 1.953GiB;2.44%;9.70%;99.3kB / 1.21MB
14.5;76a859a5ef7c;quicker;48.89MiB / 1.953GiB;2.44%;4.57%;100kB / 1.24MB
15.0;76a859a5ef7c;quicker;48.89MiB / 1.953GiB;2.44%;4.57%;100kB / 1.24MB
15.5;76a859a5ef7c;quicker;49.1MiB / 1.953GiB;2.45%;4.04%;101kB / 1.27MB
16.0;76a859a5ef7c;quicker;49.1MiB / 1.953GiB;2.45%;4.04%;101kB / 1.27MB
16.5;76a859a5ef7c;quicker;49.07MiB / 1.953GiB;2.45%;9.24%;101kB / 1.36MB
17.0;76a859a5ef7c;quicker;49.07MiB / 1.953GiB;2.45%;9.24%;101kB / 1.36MB
17.5;76a859a5ef7c;quicker;49.24MiB / 1.953GiB;2.46%;18.56%;102kB / 1.58MB
18.0;76a859a5ef7c;quicker;49.24MiB / 1.953GiB;2.46%;18.56%;102kB / 1.58MB
18.5;76a859a5ef7c;quicker;49.13MiB / 1.953GiB;2.46%;0.01%;102kB / 1.58MB
19.0;76a859a5ef7c;quicker;49.13MiB / 1.953GiB;2.46%;0.01%;102kB / 1.58MB
19.5;76a859a5ef7c;quicker;49.14MiB / 1.953GiB;2.46%;3.04%;103kB / 1.61MB
20.0;76a859a5ef7c;quicker;49.14MiB / 1.953GiB;2.46%;3.04%;103kB / 1.61MB
20.5;76a859a5ef7c;quicker;49.16MiB / 1.953GiB;2.46%;4.61%;103kB / 1.67MB
21.0;76a859a5ef7c;quicker;49.16MiB / 1.953GiB;2.46%;4.61%;103kB / 1.67MB
21.5;76a859a5ef7c;quicker;50.57MiB / 1.953GiB;2.53%;22.87%;104kB / 1.94MB
22.0;76a859a5ef7c;quicker;50.57MiB / 1.953GiB;2.53%;22.87%;104kB / 1.94MB
22.5;76a859a5ef7c;quicker;57.38MiB / 1.953GiB;2.87%;7.37%;105kB / 2.02MB
23.0;76a859a5ef7c;quicker;57.38MiB / 1.953GiB;2.87%;7.37%;105kB / 2.02MB
23.5;76a859a5ef7c;quicker;57.49MiB / 1.953GiB;2.87%;0.17%;105kB / 2.02MB
24.0;76a859a5ef7c;quicker;57.49MiB / 1.953GiB;2.87%;0.17%;105kB / 2.02MB
24.5;76a859a5ef7c;quicker;58.37MiB / 1.953GiB;2.92%;2.93%;105kB / 2.05MB
25.0;76a859a5ef7c;quicker;58.37MiB / 1.953GiB;2.92%;2.93%;105kB / 2.05MB
25.5;76a859a5ef7c;quicker;65.78MiB / 1.953GiB;3.29%;7.15%;106kB / 2.13MB
26.0;76a859a5ef7c;quicker;65.78MiB / 1.953GiB;3.29%;7.15%;106kB / 2.13MB
26.5;76a859a5ef7c;quicker;65.77MiB / 1.953GiB;3.29%;5.66%;106kB / 2.21MB
27.0;76a859a5ef7c;quicker;65.77MiB / 1.953GiB;3.29%;5.66%;106kB / 2.21MB
27.5;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;4.27%;106kB / 2.29MB
28.0;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;4.27%;106kB / 2.29MB
28.5;76a859a5ef7c;quicker;65.77MiB / 1.953GiB;3.29%;0.01%;106kB / 2.29MB
29.0;76a859a5ef7c;quicker;65.77MiB / 1.953GiB;3.29%;0.01%;106kB / 2.29MB
29.5;76a859a5ef7c;quicker;65.77MiB / 1.953GiB;3.29%;0.34%;106kB / 2.29MB
30.0;76a859a5ef7c;quicker;65.77MiB / 1.953GiB;3.29%;0.34%;106kB / 2.29MB
30.5;76a859a5ef7c;quicker;65.83MiB / 1.953GiB;3.29%;15.65%;107kB / 2.55MB
31.0;76a859a5ef7c;quicker;65.83MiB / 1.953GiB;3.29%;15.65%;107kB / 2.55MB
