0.0;0ca8a612686e;quicker;17.74MiB / 1.953GiB;0.89%;0.00%;598B / 0B
0.5;0ca8a612686e;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;0ca8a612686e;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;0ca8a612686e;quicker;19.84MiB / 1.953GiB;0.99%;9.13%;5.91kB / 1.35kB
2.0;0ca8a612686e;quicker;19.84MiB / 1.953GiB;0.99%;9.13%;5.91kB / 1.35kB
2.5;0ca8a612686e;quicker;29.66MiB / 1.953GiB;1.48%;86.27%;69.5kB / 143kB
3.0;0ca8a612686e;quicker;29.66MiB / 1.953GiB;1.48%;86.27%;69.5kB / 143kB
3.5;0ca8a612686e;quicker;46.91MiB / 1.953GiB;2.35%;52.74%;80.1kB / 421kB
4.0;0ca8a612686e;quicker;46.91MiB / 1.953GiB;2.35%;52.74%;80.1kB / 421kB
4.5;0ca8a612686e;quicker;46.91MiB / 1.953GiB;2.35%;1.92%;80.1kB / 421kB
5.0;0ca8a612686e;quicker;46.91MiB / 1.953GiB;2.35%;1.92%;80.1kB / 421kB
5.5;0ca8a612686e;quicker;46.91MiB / 1.953GiB;2.35%;1.01%;80.2kB / 421kB
6.0;0ca8a612686e;quicker;46.91MiB / 1.953GiB;2.35%;1.01%;80.2kB / 421kB
6.5;0ca8a612686e;quicker;47.43MiB / 1.953GiB;2.37%;15.79%;83.3kB / 569kB
7.0;0ca8a612686e;quicker;47.43MiB / 1.953GiB;2.37%;15.79%;83.3kB / 569kB
7.5;0ca8a612686e;quicker;47.58MiB / 1.953GiB;2.38%;4.76%;84.4kB / 592kB
8.0;0ca8a612686e;quicker;47.58MiB / 1.953GiB;2.38%;4.76%;84.4kB / 592kB
8.5;0ca8a612686e;quicker;47.59MiB / 1.953GiB;2.38%;8.29%;85.9kB / 655kB
9.0;0ca8a612686e;quicker;47.59MiB / 1.953GiB;2.38%;8.29%;85.9kB / 655kB
9.5;0ca8a612686e;quicker;47.7MiB / 1.953GiB;2.38%;11.05%;88.1kB / 729kB
10.0;0ca8a612686e;quicker;47.7MiB / 1.953GiB;2.38%;11.05%;88.1kB / 729kB
10.5;0ca8a612686e;quicker;47.81MiB / 1.953GiB;2.39%;9.23%;89.8kB / 808kB
11.0;0ca8a612686e;quicker;47.81MiB / 1.953GiB;2.39%;9.23%;89.8kB / 808kB
11.5;0ca8a612686e;quicker;47.82MiB / 1.953GiB;2.39%;7.18%;90.7kB / 897kB
12.0;0ca8a612686e;quicker;47.82MiB / 1.953GiB;2.39%;7.18%;90.7kB / 897kB
