0.0;90bde1c959c4;quicker;63.88MiB / 1.953GiB;3.19%;99.55%;438B / 0B
0.5;90bde1c959c4;quicker;115.3MiB / 1.953GiB;5.76%;99.57%;688B / 0B
1.0;90bde1c959c4;quicker;115.3MiB / 1.953GiB;5.76%;99.57%;688B / 0B
1.5;90bde1c959c4;quicker;131.9MiB / 1.953GiB;6.59%;98.15%;688B / 0B
2.0;90bde1c959c4;quicker;131.9MiB / 1.953GiB;6.59%;98.15%;688B / 0B
2.5;90bde1c959c4;quicker;146.7MiB / 1.953GiB;7.33%;99.59%;688B / 0B
3.0;90bde1c959c4;quicker;146.7MiB / 1.953GiB;7.33%;99.59%;688B / 0B
3.5;90bde1c959c4;quicker;154.3MiB / 1.953GiB;7.71%;97.71%;688B / 0B
4.0;90bde1c959c4;quicker;154.3MiB / 1.953GiB;7.71%;97.71%;688B / 0B
4.5;90bde1c959c4;quicker;163.7MiB / 1.953GiB;8.18%;100.57%;758B / 0B
5.0;90bde1c959c4;quicker;163.7MiB / 1.953GiB;8.18%;100.57%;758B / 0B
5.5;90bde1c959c4;quicker;17.89MiB / 1.953GiB;0.89%;81.43%;758B / 0B
6.0;90bde1c959c4;quicker;17.89MiB / 1.953GiB;0.89%;81.43%;758B / 0B
6.5;90bde1c959c4;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.0;90bde1c959c4;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.5;90bde1c959c4;quicker;18.92MiB / 1.953GiB;0.95%;2.76%;4.64kB / 0B
8.0;90bde1c959c4;quicker;18.92MiB / 1.953GiB;0.95%;2.76%;4.64kB / 0B
8.5;90bde1c959c4;quicker;29.71MiB / 1.953GiB;1.49%;98.35%;77.6kB / 92.1kB
9.0;90bde1c959c4;quicker;29.71MiB / 1.953GiB;1.49%;98.35%;77.6kB / 92.1kB
9.5;90bde1c959c4;quicker;47.93MiB / 1.953GiB;2.40%;99.00%;89.8kB / 685kB
10.0;90bde1c959c4;quicker;47.93MiB / 1.953GiB;2.40%;99.00%;89.8kB / 685kB
10.5;90bde1c959c4;quicker;50.22MiB / 1.953GiB;2.51%;91.34%;96.2kB / 1.82MB
11.0;90bde1c959c4;quicker;50.22MiB / 1.953GiB;2.51%;91.34%;96.2kB / 1.82MB
11.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;65.70%;99.7kB / 2.89MB
12.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;65.70%;99.7kB / 2.89MB
12.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;1.35%;100kB / 2.89MB
13.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;1.35%;100kB / 2.89MB
13.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.64%;101kB / 2.89MB
14.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.64%;101kB / 2.89MB
14.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.53%;101kB / 2.89MB
15.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.53%;101kB / 2.89MB
15.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.85%;102kB / 2.89MB
16.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.85%;102kB / 2.89MB
16.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.20%;102kB / 2.89MB
17.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.20%;102kB / 2.89MB
17.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.37%;102kB / 2.89MB
18.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.37%;102kB / 2.89MB
18.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.17%;102kB / 2.89MB
19.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.17%;102kB / 2.89MB
19.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.13%;102kB / 2.89MB
20.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.13%;102kB / 2.89MB
20.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.17%;102kB / 2.89MB
21.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.17%;102kB / 2.89MB
21.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.25%;102kB / 2.89MB
22.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.25%;102kB / 2.89MB
22.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.73%;103kB / 2.89MB
23.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.73%;103kB / 2.89MB
23.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.09%;103kB / 2.89MB
24.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.09%;103kB / 2.89MB
24.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.42%;103kB / 2.89MB
25.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.42%;103kB / 2.89MB
25.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.01%;103kB / 2.89MB
26.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.01%;103kB / 2.89MB
26.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.06%;103kB / 2.89MB
27.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.06%;103kB / 2.89MB
27.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.08%;103kB / 2.89MB
28.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.08%;103kB / 2.89MB
28.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.06%;103kB / 2.89MB
29.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.06%;103kB / 2.89MB
29.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;103kB / 2.89MB
30.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;103kB / 2.89MB
30.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.08%;103kB / 2.89MB
31.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.08%;103kB / 2.89MB
31.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;103kB / 2.89MB
32.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;103kB / 2.89MB
32.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.02%;103kB / 2.89MB
33.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.02%;103kB / 2.89MB
33.5;90bde1c959c4;quicker;38.21MiB / 1.953GiB;1.91%;0.89%;103kB / 2.89MB
34.0;90bde1c959c4;quicker;38.21MiB / 1.953GiB;1.91%;0.89%;103kB / 2.89MB
34.5;90bde1c959c4;quicker;38.21MiB / 1.953GiB;1.91%;0.24%;103kB / 2.89MB
35.0;90bde1c959c4;quicker;38.21MiB / 1.953GiB;1.91%;0.24%;103kB / 2.89MB
35.5;90bde1c959c4;quicker;38.21MiB / 1.953GiB;1.91%;0.28%;103kB / 2.89MB
36.0;90bde1c959c4;quicker;38.21MiB / 1.953GiB;1.91%;0.28%;103kB / 2.89MB
36.5;90bde1c959c4;quicker;37.5MiB / 1.953GiB;1.88%;0.57%;104kB / 2.89MB
37.0;90bde1c959c4;quicker;37.5MiB / 1.953GiB;1.88%;0.57%;104kB / 2.89MB
37.5;90bde1c959c4;quicker;37.63MiB / 1.953GiB;1.88%;0.19%;104kB / 2.89MB
38.0;90bde1c959c4;quicker;37.63MiB / 1.953GiB;1.88%;0.19%;104kB / 2.89MB
38.5;90bde1c959c4;quicker;37.63MiB / 1.953GiB;1.88%;0.04%;104kB / 2.89MB
39.0;90bde1c959c4;quicker;37.63MiB / 1.953GiB;1.88%;0.04%;104kB / 2.89MB
39.5;90bde1c959c4;quicker;38.03MiB / 1.953GiB;1.90%;0.58%;104kB / 2.89MB
40.0;90bde1c959c4;quicker;38.03MiB / 1.953GiB;1.90%;0.58%;104kB / 2.89MB
40.5;90bde1c959c4;quicker;37.41MiB / 1.953GiB;1.87%;0.49%;104kB / 2.89MB
41.0;90bde1c959c4;quicker;37.41MiB / 1.953GiB;1.87%;0.49%;104kB / 2.89MB
41.5;90bde1c959c4;quicker;38.2MiB / 1.953GiB;1.91%;1.25%;105kB / 2.89MB
42.0;90bde1c959c4;quicker;38.2MiB / 1.953GiB;1.91%;1.25%;105kB / 2.89MB
42.5;90bde1c959c4;quicker;38.2MiB / 1.953GiB;1.91%;0.02%;105kB / 2.89MB
43.0;90bde1c959c4;quicker;38.2MiB / 1.953GiB;1.91%;0.02%;105kB / 2.89MB
43.5;90bde1c959c4;quicker;38.2MiB / 1.953GiB;1.91%;0.03%;105kB / 2.89MB
44.0;90bde1c959c4;quicker;38.2MiB / 1.953GiB;1.91%;0.03%;105kB / 2.89MB
