0.0;1c5e3691a30b;quicker;17.82MiB / 1.953GiB;0.89%;0.00%;598B / 0B
0.5;1c5e3691a30b;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;1c5e3691a30b;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;1c5e3691a30b;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;1c5e3691a30b;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;1c5e3691a30b;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
3.0;1c5e3691a30b;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
3.5;1c5e3691a30b;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;758B / 0B
4.0;1c5e3691a30b;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;758B / 0B
4.5;1c5e3691a30b;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;758B / 0B
5.0;1c5e3691a30b;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;758B / 0B
5.5;1c5e3691a30b;quicker;16.34MiB / 1.953GiB;0.82%;7.13%;3.39kB / 2.52kB
6.0;1c5e3691a30b;quicker;16.34MiB / 1.953GiB;0.82%;7.13%;3.39kB / 2.52kB
6.5;1c5e3691a30b;quicker;23.61MiB / 1.953GiB;1.18%;96.56%;775kB / 3.82kB
7.0;1c5e3691a30b;quicker;23.61MiB / 1.953GiB;1.18%;96.56%;775kB / 3.82kB
7.5;1c5e3691a30b;quicker;28.05MiB / 1.953GiB;1.40%;99.24%;995kB / 155kB
8.0;1c5e3691a30b;quicker;28.05MiB / 1.953GiB;1.40%;99.24%;995kB / 155kB
8.5;1c5e3691a30b;quicker;37.52MiB / 1.953GiB;1.88%;98.15%;1.11MB / 356kB
9.0;1c5e3691a30b;quicker;37.52MiB / 1.953GiB;1.88%;98.15%;1.11MB / 356kB
9.5;1c5e3691a30b;quicker;55.39MiB / 1.953GiB;2.77%;98.94%;1.22MB / 952kB
10.0;1c5e3691a30b;quicker;55.39MiB / 1.953GiB;2.77%;98.94%;1.22MB / 952kB
