0.0;5ff1e1f692ea;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;438B / 0B
0.5;5ff1e1f692ea;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;5ff1e1f692ea;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;5ff1e1f692ea;quicker;20.84MiB / 1.953GiB;1.04%;18.15%;13.8kB / 1.34kB
2.0;5ff1e1f692ea;quicker;20.84MiB / 1.953GiB;1.04%;18.15%;13.8kB / 1.34kB
2.5;5ff1e1f692ea;quicker;30.09MiB / 1.953GiB;1.50%;98.39%;122kB / 91kB
3.0;5ff1e1f692ea;quicker;30.09MiB / 1.953GiB;1.50%;98.39%;122kB / 91kB
3.5;5ff1e1f692ea;quicker;45.93MiB / 1.953GiB;2.30%;100.16%;180kB / 434kB
4.0;5ff1e1f692ea;quicker;45.93MiB / 1.953GiB;2.30%;100.16%;180kB / 434kB
4.5;5ff1e1f692ea;quicker;72.98MiB / 1.953GiB;3.65%;96.15%;215kB / 867kB
5.0;5ff1e1f692ea;quicker;72.98MiB / 1.953GiB;3.65%;96.15%;215kB / 867kB
5.5;5ff1e1f692ea;quicker;78.47MiB / 1.953GiB;3.92%;66.59%;255kB / 1.11MB
6.0;5ff1e1f692ea;quicker;78.47MiB / 1.953GiB;3.92%;66.59%;255kB / 1.11MB
6.5;5ff1e1f692ea;quicker;82.01MiB / 1.953GiB;4.10%;46.06%;267kB / 1.29MB
7.0;5ff1e1f692ea;quicker;82.01MiB / 1.953GiB;4.10%;46.06%;267kB / 1.29MB
7.5;5ff1e1f692ea;quicker;84.58MiB / 1.953GiB;4.23%;39.35%;285kB / 1.45MB
8.0;5ff1e1f692ea;quicker;84.58MiB / 1.953GiB;4.23%;39.35%;285kB / 1.45MB
8.5;5ff1e1f692ea;quicker;86.64MiB / 1.953GiB;4.33%;31.54%;296kB / 1.54MB
9.0;5ff1e1f692ea;quicker;86.64MiB / 1.953GiB;4.33%;31.54%;296kB / 1.54MB
9.5;5ff1e1f692ea;quicker;90.21MiB / 1.953GiB;4.51%;25.32%;303kB / 1.65MB
10.0;5ff1e1f692ea;quicker;90.21MiB / 1.953GiB;4.51%;25.32%;303kB / 1.65MB
10.5;5ff1e1f692ea;quicker;92.41MiB / 1.953GiB;4.62%;33.25%;316kB / 1.74MB
11.0;5ff1e1f692ea;quicker;92.41MiB / 1.953GiB;4.62%;33.25%;316kB / 1.74MB
11.5;5ff1e1f692ea;quicker;94.07MiB / 1.953GiB;4.70%;36.57%;336kB / 1.84MB
12.0;5ff1e1f692ea;quicker;94.07MiB / 1.953GiB;4.70%;36.57%;336kB / 1.84MB
12.5;5ff1e1f692ea;quicker;94.92MiB / 1.953GiB;4.75%;27.49%;345kB / 1.9MB
13.0;5ff1e1f692ea;quicker;94.92MiB / 1.953GiB;4.75%;27.49%;345kB / 1.9MB
13.5;5ff1e1f692ea;quicker;96.26MiB / 1.953GiB;4.81%;14.56%;354kB / 1.98MB
14.0;5ff1e1f692ea;quicker;96.26MiB / 1.953GiB;4.81%;14.56%;354kB / 1.98MB
14.5;5ff1e1f692ea;quicker;98MiB / 1.953GiB;4.90%;18.95%;362kB / 2.05MB
15.0;5ff1e1f692ea;quicker;98MiB / 1.953GiB;4.90%;18.95%;362kB / 2.05MB
15.5;5ff1e1f692ea;quicker;100.2MiB / 1.953GiB;5.01%;18.72%;369kB / 2.13MB
16.0;5ff1e1f692ea;quicker;100.2MiB / 1.953GiB;5.01%;18.72%;369kB / 2.13MB
16.5;5ff1e1f692ea;quicker;102.5MiB / 1.953GiB;5.12%;17.84%;372kB / 2.19MB
17.0;5ff1e1f692ea;quicker;102.5MiB / 1.953GiB;5.12%;17.84%;372kB / 2.19MB
17.5;5ff1e1f692ea;quicker;103.4MiB / 1.953GiB;5.17%;24.12%;382kB / 2.31MB
18.0;5ff1e1f692ea;quicker;103.4MiB / 1.953GiB;5.17%;24.12%;382kB / 2.31MB
18.5;5ff1e1f692ea;quicker;103.4MiB / 1.953GiB;5.17%;13.79%;388kB / 2.37MB
19.0;5ff1e1f692ea;quicker;103.4MiB / 1.953GiB;5.17%;13.79%;388kB / 2.37MB
19.5;5ff1e1f692ea;quicker;103.4MiB / 1.953GiB;5.17%;25.30%;401kB / 2.44MB
20.0;5ff1e1f692ea;quicker;103.4MiB / 1.953GiB;5.17%;25.30%;401kB / 2.44MB
20.5;5ff1e1f692ea;quicker;104.3MiB / 1.953GiB;5.21%;19.55%;408kB / 2.52MB
21.0;5ff1e1f692ea;quicker;104.3MiB / 1.953GiB;5.21%;19.55%;408kB / 2.52MB
21.5;5ff1e1f692ea;quicker;105.4MiB / 1.953GiB;5.27%;28.63%;424kB / 2.65MB
22.0;5ff1e1f692ea;quicker;105.4MiB / 1.953GiB;5.27%;28.63%;424kB / 2.65MB
22.5;5ff1e1f692ea;quicker;105.9MiB / 1.953GiB;5.30%;17.27%;430kB / 2.75MB
23.0;5ff1e1f692ea;quicker;105.9MiB / 1.953GiB;5.30%;17.27%;430kB / 2.75MB
23.5;5ff1e1f692ea;quicker;110.4MiB / 1.953GiB;5.52%;56.39%;462kB / 2.93MB
24.0;5ff1e1f692ea;quicker;110.4MiB / 1.953GiB;5.52%;56.39%;462kB / 2.93MB
24.5;5ff1e1f692ea;quicker;111.4MiB / 1.953GiB;5.57%;27.87%;470kB / 3.02MB
25.0;5ff1e1f692ea;quicker;111.4MiB / 1.953GiB;5.57%;27.87%;470kB / 3.02MB
25.5;5ff1e1f692ea;quicker;111.9MiB / 1.953GiB;5.59%;22.47%;483kB / 3.1MB
26.0;5ff1e1f692ea;quicker;111.9MiB / 1.953GiB;5.59%;22.47%;483kB / 3.1MB
26.5;5ff1e1f692ea;quicker;113.4MiB / 1.953GiB;5.67%;20.95%;495kB / 3.2MB
27.0;5ff1e1f692ea;quicker;113.4MiB / 1.953GiB;5.67%;20.95%;495kB / 3.2MB
27.5;5ff1e1f692ea;quicker;115.4MiB / 1.953GiB;5.77%;57.56%;524kB / 3.31MB
28.0;5ff1e1f692ea;quicker;115.4MiB / 1.953GiB;5.77%;57.56%;524kB / 3.31MB
28.5;5ff1e1f692ea;quicker;117.8MiB / 1.953GiB;5.89%;26.10%;537kB / 3.44MB
29.0;5ff1e1f692ea;quicker;117.8MiB / 1.953GiB;5.89%;26.10%;537kB / 3.44MB
29.5;5ff1e1f692ea;quicker;118.3MiB / 1.953GiB;5.91%;17.47%;546kB / 3.52MB
30.0;5ff1e1f692ea;quicker;118.3MiB / 1.953GiB;5.91%;17.47%;546kB / 3.52MB
30.5;5ff1e1f692ea;quicker;121.2MiB / 1.953GiB;6.06%;33.58%;561kB / 3.62MB
31.0;5ff1e1f692ea;quicker;121.2MiB / 1.953GiB;6.06%;33.58%;561kB / 3.62MB
31.5;5ff1e1f692ea;quicker;123.3MiB / 1.953GiB;6.17%;34.21%;578kB / 3.77MB
32.0;5ff1e1f692ea;quicker;123.3MiB / 1.953GiB;6.17%;34.21%;578kB / 3.77MB
32.5;5ff1e1f692ea;quicker;124.7MiB / 1.953GiB;6.23%;15.99%;585kB / 3.82MB
33.0;5ff1e1f692ea;quicker;124.7MiB / 1.953GiB;6.23%;15.99%;585kB / 3.82MB
33.5;5ff1e1f692ea;quicker;125.4MiB / 1.953GiB;6.27%;28.37%;606kB / 3.9MB
34.0;5ff1e1f692ea;quicker;125.4MiB / 1.953GiB;6.27%;28.37%;606kB / 3.9MB
34.5;5ff1e1f692ea;quicker;129.6MiB / 1.953GiB;6.48%;79.33%;653kB / 4.12MB
35.0;5ff1e1f692ea;quicker;129.6MiB / 1.953GiB;6.48%;79.33%;653kB / 4.12MB
35.5;5ff1e1f692ea;quicker;130.5MiB / 1.953GiB;6.53%;12.58%;659kB / 4.22MB
36.0;5ff1e1f692ea;quicker;130.5MiB / 1.953GiB;6.53%;12.58%;659kB / 4.22MB
36.5;5ff1e1f692ea;quicker;131.6MiB / 1.953GiB;6.58%;11.65%;667kB / 4.26MB
37.0;5ff1e1f692ea;quicker;131.6MiB / 1.953GiB;6.58%;11.65%;667kB / 4.26MB
37.5;5ff1e1f692ea;quicker;133.9MiB / 1.953GiB;6.70%;20.33%;675kB / 4.38MB
38.0;5ff1e1f692ea;quicker;133.9MiB / 1.953GiB;6.70%;20.33%;675kB / 4.38MB
38.5;5ff1e1f692ea;quicker;136.9MiB / 1.953GiB;6.85%;21.09%;687kB / 4.47MB
39.0;5ff1e1f692ea;quicker;136.9MiB / 1.953GiB;6.85%;21.09%;687kB / 4.47MB
39.5;5ff1e1f692ea;quicker;138.1MiB / 1.953GiB;6.91%;15.55%;693kB / 4.49MB
40.0;5ff1e1f692ea;quicker;138.1MiB / 1.953GiB;6.91%;15.55%;693kB / 4.49MB
40.5;5ff1e1f692ea;quicker;138.2MiB / 1.953GiB;6.91%;8.50%;700kB / 4.51MB
41.0;5ff1e1f692ea;quicker;138.2MiB / 1.953GiB;6.91%;8.50%;700kB / 4.51MB
41.5;5ff1e1f692ea;quicker;138.8MiB / 1.953GiB;6.94%;8.64%;706kB / 4.53MB
42.0;5ff1e1f692ea;quicker;138.8MiB / 1.953GiB;6.94%;8.64%;706kB / 4.53MB
42.5;5ff1e1f692ea;quicker;138.9MiB / 1.953GiB;6.95%;9.81%;714kB / 4.57MB
43.0;5ff1e1f692ea;quicker;138.9MiB / 1.953GiB;6.95%;9.81%;714kB / 4.57MB
43.5;5ff1e1f692ea;quicker;139.3MiB / 1.953GiB;6.96%;13.93%;723kB / 4.63MB
44.0;5ff1e1f692ea;quicker;139.3MiB / 1.953GiB;6.96%;13.93%;723kB / 4.63MB
44.5;5ff1e1f692ea;quicker;139.4MiB / 1.953GiB;6.97%;12.42%;730kB / 4.68MB
45.0;5ff1e1f692ea;quicker;139.4MiB / 1.953GiB;6.97%;12.42%;730kB / 4.68MB
45.5;5ff1e1f692ea;quicker;139.7MiB / 1.953GiB;6.98%;12.26%;739kB / 4.76MB
46.0;5ff1e1f692ea;quicker;139.7MiB / 1.953GiB;6.98%;12.26%;739kB / 4.76MB
46.5;5ff1e1f692ea;quicker;139.7MiB / 1.953GiB;6.98%;13.17%;747kB / 4.83MB
47.0;5ff1e1f692ea;quicker;139.7MiB / 1.953GiB;6.98%;13.17%;747kB / 4.83MB
47.5;5ff1e1f692ea;quicker;139.7MiB / 1.953GiB;6.99%;7.50%;752kB / 4.87MB
48.0;5ff1e1f692ea;quicker;139.7MiB / 1.953GiB;6.99%;7.50%;752kB / 4.87MB
48.5;5ff1e1f692ea;quicker;139.9MiB / 1.953GiB;6.99%;14.11%;759kB / 5MB
49.0;5ff1e1f692ea;quicker;139.9MiB / 1.953GiB;6.99%;14.11%;759kB / 5MB
49.5;5ff1e1f692ea;quicker;140.1MiB / 1.953GiB;7.00%;9.29%;763kB / 5.07MB
50.0;5ff1e1f692ea;quicker;140.1MiB / 1.953GiB;7.00%;9.29%;763kB / 5.07MB
50.5;5ff1e1f692ea;quicker;140.2MiB / 1.953GiB;7.01%;10.87%;768kB / 5.14MB
51.0;5ff1e1f692ea;quicker;140.2MiB / 1.953GiB;7.01%;10.87%;768kB / 5.14MB
51.5;5ff1e1f692ea;quicker;140.3MiB / 1.953GiB;7.01%;7.25%;772kB / 5.19MB
52.0;5ff1e1f692ea;quicker;140.3MiB / 1.953GiB;7.01%;7.25%;772kB / 5.19MB
52.5;5ff1e1f692ea;quicker;140.4MiB / 1.953GiB;7.02%;5.39%;775kB / 5.22MB
53.0;5ff1e1f692ea;quicker;140.4MiB / 1.953GiB;7.02%;5.39%;775kB / 5.22MB
53.5;5ff1e1f692ea;quicker;140.6MiB / 1.953GiB;7.03%;10.92%;779kB / 5.35MB
54.0;5ff1e1f692ea;quicker;140.6MiB / 1.953GiB;7.03%;10.92%;779kB / 5.35MB
54.5;5ff1e1f692ea;quicker;140.7MiB / 1.953GiB;7.03%;6.91%;782kB / 5.4MB
55.0;5ff1e1f692ea;quicker;140.7MiB / 1.953GiB;7.03%;6.91%;782kB / 5.4MB
55.5;5ff1e1f692ea;quicker;140.8MiB / 1.953GiB;7.04%;9.84%;784kB / 5.54MB
56.0;5ff1e1f692ea;quicker;140.8MiB / 1.953GiB;7.04%;9.84%;784kB / 5.54MB
56.5;5ff1e1f692ea;quicker;140.9MiB / 1.953GiB;7.04%;9.21%;786kB / 5.61MB
57.0;5ff1e1f692ea;quicker;140.9MiB / 1.953GiB;7.04%;9.21%;786kB / 5.61MB
57.5;5ff1e1f692ea;quicker;140.9MiB / 1.953GiB;7.05%;6.60%;788kB / 5.7MB
58.0;5ff1e1f692ea;quicker;140.9MiB / 1.953GiB;7.05%;6.60%;788kB / 5.7MB
58.5;5ff1e1f692ea;quicker;141MiB / 1.953GiB;7.05%;6.89%;791kB / 5.76MB
59.0;5ff1e1f692ea;quicker;141MiB / 1.953GiB;7.05%;6.89%;791kB / 5.76MB
59.5;5ff1e1f692ea;quicker;141MiB / 1.953GiB;7.05%;5.95%;793kB / 5.84MB
60.0;5ff1e1f692ea;quicker;141MiB / 1.953GiB;7.05%;5.95%;793kB / 5.84MB
60.5;5ff1e1f692ea;quicker;141.2MiB / 1.953GiB;7.06%;11.22%;796kB / 6.03MB
61.0;5ff1e1f692ea;quicker;141.2MiB / 1.953GiB;7.06%;11.22%;796kB / 6.03MB
61.5;5ff1e1f692ea;quicker;141.4MiB / 1.953GiB;7.07%;7.27%;797kB / 6.1MB
62.0;5ff1e1f692ea;quicker;141.4MiB / 1.953GiB;7.07%;7.27%;797kB / 6.1MB
62.5;5ff1e1f692ea;quicker;141.4MiB / 1.953GiB;7.07%;3.17%;798kB / 6.12MB
63.0;5ff1e1f692ea;quicker;141.4MiB / 1.953GiB;7.07%;3.17%;798kB / 6.12MB
63.5;5ff1e1f692ea;quicker;141.5MiB / 1.953GiB;7.07%;4.91%;799kB / 6.18MB
64.0;5ff1e1f692ea;quicker;141.5MiB / 1.953GiB;7.07%;4.91%;799kB / 6.18MB
64.5;5ff1e1f692ea;quicker;141.5MiB / 1.953GiB;7.08%;7.55%;800kB / 6.31MB
65.0;5ff1e1f692ea;quicker;141.5MiB / 1.953GiB;7.08%;7.55%;800kB / 6.31MB
65.5;5ff1e1f692ea;quicker;141.5MiB / 1.953GiB;7.08%;4.85%;801kB / 6.38MB
66.0;5ff1e1f692ea;quicker;141.5MiB / 1.953GiB;7.08%;4.85%;801kB / 6.38MB
66.5;5ff1e1f692ea;quicker;141.6MiB / 1.953GiB;7.08%;9.76%;802kB / 6.54MB
67.0;5ff1e1f692ea;quicker;141.6MiB / 1.953GiB;7.08%;9.76%;802kB / 6.54MB
67.5;5ff1e1f692ea;quicker;141.7MiB / 1.953GiB;7.08%;5.35%;803kB / 6.6MB
68.0;5ff1e1f692ea;quicker;141.7MiB / 1.953GiB;7.08%;5.35%;803kB / 6.6MB
68.5;5ff1e1f692ea;quicker;141.7MiB / 1.953GiB;7.08%;5.35%;803kB / 6.66MB
69.0;5ff1e1f692ea;quicker;141.7MiB / 1.953GiB;7.08%;5.35%;803kB / 6.66MB
69.5;5ff1e1f692ea;quicker;141.7MiB / 1.953GiB;7.08%;2.26%;804kB / 6.69MB
70.0;5ff1e1f692ea;quicker;141.7MiB / 1.953GiB;7.08%;2.26%;804kB / 6.69MB
70.5;5ff1e1f692ea;quicker;141.7MiB / 1.953GiB;7.08%;0.89%;804kB / 6.69MB
71.0;5ff1e1f692ea;quicker;141.7MiB / 1.953GiB;7.08%;0.89%;804kB / 6.69MB
71.5;5ff1e1f692ea;quicker;141.7MiB / 1.953GiB;7.09%;4.05%;805kB / 6.74MB
72.0;5ff1e1f692ea;quicker;141.7MiB / 1.953GiB;7.09%;4.05%;805kB / 6.74MB
72.5;5ff1e1f692ea;quicker;141.9MiB / 1.953GiB;7.09%;4.16%;806kB / 6.77MB
73.0;5ff1e1f692ea;quicker;141.9MiB / 1.953GiB;7.09%;4.16%;806kB / 6.77MB
73.5;5ff1e1f692ea;quicker;142.1MiB / 1.953GiB;7.10%;15.42%;807kB / 7MB
74.0;5ff1e1f692ea;quicker;142.1MiB / 1.953GiB;7.10%;15.42%;807kB / 7MB
74.5;5ff1e1f692ea;quicker;142.1MiB / 1.953GiB;7.10%;4.60%;808kB / 7.03MB
75.0;5ff1e1f692ea;quicker;142.1MiB / 1.953GiB;7.10%;4.60%;808kB / 7.03MB
75.5;5ff1e1f692ea;quicker;142.2MiB / 1.953GiB;7.11%;10.98%;809kB / 7.2MB
76.0;5ff1e1f692ea;quicker;142.2MiB / 1.953GiB;7.11%;10.98%;809kB / 7.2MB
76.5;5ff1e1f692ea;quicker;142.2MiB / 1.953GiB;7.11%;6.84%;809kB / 7.31MB
77.0;5ff1e1f692ea;quicker;142.2MiB / 1.953GiB;7.11%;6.84%;809kB / 7.31MB
77.5;5ff1e1f692ea;quicker;142.3MiB / 1.953GiB;7.12%;4.83%;810kB / 7.36MB
78.0;5ff1e1f692ea;quicker;142.3MiB / 1.953GiB;7.12%;4.83%;810kB / 7.36MB
78.5;5ff1e1f692ea;quicker;142.4MiB / 1.953GiB;7.12%;8.88%;810kB / 7.47MB
79.0;5ff1e1f692ea;quicker;142.4MiB / 1.953GiB;7.12%;8.88%;810kB / 7.47MB
79.5;5ff1e1f692ea;quicker;142.4MiB / 1.953GiB;7.12%;0.26%;810kB / 7.47MB
80.0;5ff1e1f692ea;quicker;142.4MiB / 1.953GiB;7.12%;0.26%;810kB / 7.47MB
80.5;5ff1e1f692ea;quicker;142.5MiB / 1.953GiB;7.12%;3.32%;810kB / 7.5MB
81.0;5ff1e1f692ea;quicker;142.5MiB / 1.953GiB;7.12%;3.32%;810kB / 7.5MB
81.5;5ff1e1f692ea;quicker;142.5MiB / 1.953GiB;7.13%;5.24%;811kB / 7.56MB
82.0;5ff1e1f692ea;quicker;142.5MiB / 1.953GiB;7.13%;5.24%;811kB / 7.56MB
82.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.13%;6.88%;811kB / 7.66MB
83.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.13%;6.88%;811kB / 7.66MB
83.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.52%;811kB / 7.66MB
84.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.52%;811kB / 7.66MB
84.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.35%;811kB / 7.66MB
85.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.35%;811kB / 7.66MB
85.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.34%;811kB / 7.66MB
86.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.34%;811kB / 7.66MB
86.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.91%;811kB / 7.66MB
87.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.91%;811kB / 7.66MB
87.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;1.89%;811kB / 7.68MB
