0.0;a98684bbe911;quicker;17.76MiB / 1.953GiB;0.89%;3.41%;438B / 0B
0.5;a98684bbe911;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;a98684bbe911;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;a98684bbe911;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;a98684bbe911;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;a98684bbe911;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
3.0;a98684bbe911;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
3.5;a98684bbe911;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
4.0;a98684bbe911;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
4.5;a98684bbe911;quicker;17MiB / 1.953GiB;0.85%;20.88%;88.8kB / 1.35kB
5.0;a98684bbe911;quicker;17MiB / 1.953GiB;0.85%;20.88%;88.8kB / 1.35kB
5.5;a98684bbe911;quicker;25.12MiB / 1.953GiB;1.26%;99.33%;300kB / 1.35kB
6.0;a98684bbe911;quicker;25.12MiB / 1.953GiB;1.26%;99.33%;300kB / 1.35kB
6.5;a98684bbe911;quicker;30.19MiB / 1.953GiB;1.51%;100.11%;486kB / 252kB
7.0;a98684bbe911;quicker;30.19MiB / 1.953GiB;1.51%;100.11%;486kB / 252kB
7.5;a98684bbe911;quicker;38.24MiB / 1.953GiB;1.91%;98.21%;579kB / 555kB
8.0;a98684bbe911;quicker;38.24MiB / 1.953GiB;1.91%;98.21%;579kB / 555kB
8.5;a98684bbe911;quicker;51.73MiB / 1.953GiB;2.59%;99.12%;688kB / 937kB
9.0;a98684bbe911;quicker;51.73MiB / 1.953GiB;2.59%;99.12%;688kB / 937kB
9.5;a98684bbe911;quicker;69.6MiB / 1.953GiB;3.48%;98.13%;759kB / 1.35MB
10.0;a98684bbe911;quicker;69.6MiB / 1.953GiB;3.48%;98.13%;759kB / 1.35MB
10.5;a98684bbe911;quicker;87.64MiB / 1.953GiB;4.38%;100.03%;845kB / 1.77MB
11.0;a98684bbe911;quicker;87.64MiB / 1.953GiB;4.38%;100.03%;845kB / 1.77MB
11.5;a98684bbe911;quicker;96.46MiB / 1.953GiB;4.82%;99.19%;881kB / 2.17MB
12.0;a98684bbe911;quicker;96.46MiB / 1.953GiB;4.82%;99.19%;881kB / 2.17MB
12.5;a98684bbe911;quicker;103.5MiB / 1.953GiB;5.17%;72.81%;910kB / 2.53MB
13.0;a98684bbe911;quicker;103.5MiB / 1.953GiB;5.17%;72.81%;910kB / 2.53MB
13.5;a98684bbe911;quicker;106.5MiB / 1.953GiB;5.33%;40.92%;934kB / 2.68MB
14.0;a98684bbe911;quicker;106.5MiB / 1.953GiB;5.33%;40.92%;934kB / 2.68MB
14.5;a98684bbe911;quicker;112.3MiB / 1.953GiB;5.62%;57.40%;963kB / 2.9MB
15.0;a98684bbe911;quicker;112.3MiB / 1.953GiB;5.62%;57.40%;963kB / 2.9MB
15.5;a98684bbe911;quicker;117.5MiB / 1.953GiB;5.87%;40.71%;976kB / 3.09MB
16.0;a98684bbe911;quicker;117.5MiB / 1.953GiB;5.87%;40.71%;976kB / 3.09MB
16.5;a98684bbe911;quicker;118.9MiB / 1.953GiB;5.94%;86.29%;1.03MB / 3.17MB
17.0;a98684bbe911;quicker;118.9MiB / 1.953GiB;5.94%;86.29%;1.03MB / 3.17MB
17.5;a98684bbe911;quicker;121.8MiB / 1.953GiB;6.09%;59.08%;1.05MB / 3.33MB
18.0;a98684bbe911;quicker;121.8MiB / 1.953GiB;6.09%;59.08%;1.05MB / 3.33MB
18.5;a98684bbe911;quicker;124.6MiB / 1.953GiB;6.23%;29.36%;1.06MB / 3.5MB
19.0;a98684bbe911;quicker;124.6MiB / 1.953GiB;6.23%;29.36%;1.06MB / 3.5MB
19.5;a98684bbe911;quicker;125.4MiB / 1.953GiB;6.27%;9.74%;1.06MB / 3.57MB
20.0;a98684bbe911;quicker;125.4MiB / 1.953GiB;6.27%;9.74%;1.06MB / 3.57MB
20.5;a98684bbe911;quicker;127.4MiB / 1.953GiB;6.37%;17.11%;1.07MB / 3.61MB
21.0;a98684bbe911;quicker;127.4MiB / 1.953GiB;6.37%;17.11%;1.07MB / 3.61MB
21.5;a98684bbe911;quicker;130.5MiB / 1.953GiB;6.53%;15.95%;1.07MB / 3.71MB
22.0;a98684bbe911;quicker;130.5MiB / 1.953GiB;6.53%;15.95%;1.07MB / 3.71MB
22.5;a98684bbe911;quicker;132.3MiB / 1.953GiB;6.61%;15.69%;1.08MB / 3.78MB
23.0;a98684bbe911;quicker;132.3MiB / 1.953GiB;6.61%;15.69%;1.08MB / 3.78MB
23.5;a98684bbe911;quicker;133.9MiB / 1.953GiB;6.70%;13.04%;1.08MB / 3.83MB
24.0;a98684bbe911;quicker;133.9MiB / 1.953GiB;6.70%;13.04%;1.08MB / 3.83MB
24.5;a98684bbe911;quicker;134MiB / 1.953GiB;6.70%;7.56%;1.09MB / 3.88MB
25.0;a98684bbe911;quicker;134MiB / 1.953GiB;6.70%;7.56%;1.09MB / 3.88MB
