0.0;b1821c4c1024;quicker;17.75MiB / 1.953GiB;0.89%;16.99%;438B / 0B
0.5;b1821c4c1024;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;b1821c4c1024;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;b1821c4c1024;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;b1821c4c1024;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;b1821c4c1024;quicker;28.15MiB / 1.953GiB;1.41%;81.51%;94kB / 75.9kB
3.0;b1821c4c1024;quicker;28.15MiB / 1.953GiB;1.41%;81.51%;94kB / 75.9kB
3.5;b1821c4c1024;quicker;47.14MiB / 1.953GiB;2.36%;98.41%;120kB / 336kB
4.0;b1821c4c1024;quicker;47.14MiB / 1.953GiB;2.36%;98.41%;120kB / 336kB
4.5;b1821c4c1024;quicker;51.68MiB / 1.953GiB;2.58%;32.38%;125kB / 575kB
5.0;b1821c4c1024;quicker;51.68MiB / 1.953GiB;2.58%;32.38%;125kB / 575kB
5.5;b1821c4c1024;quicker;51.68MiB / 1.953GiB;2.58%;1.89%;125kB / 575kB
6.0;b1821c4c1024;quicker;51.68MiB / 1.953GiB;2.58%;1.89%;125kB / 575kB
6.5;b1821c4c1024;quicker;51.68MiB / 1.953GiB;2.58%;0.65%;125kB / 575kB
7.0;b1821c4c1024;quicker;51.68MiB / 1.953GiB;2.58%;0.65%;125kB / 575kB
7.5;b1821c4c1024;quicker;56.57MiB / 1.953GiB;2.83%;6.11%;126kB / 615kB
8.0;b1821c4c1024;quicker;56.57MiB / 1.953GiB;2.83%;6.11%;126kB / 615kB
8.5;b1821c4c1024;quicker;59.59MiB / 1.953GiB;2.98%;5.61%;127kB / 654kB
9.0;b1821c4c1024;quicker;59.59MiB / 1.953GiB;2.98%;5.61%;127kB / 654kB
9.5;b1821c4c1024;quicker;68.2MiB / 1.953GiB;3.41%;17.84%;130kB / 799kB
10.0;b1821c4c1024;quicker;68.2MiB / 1.953GiB;3.41%;17.84%;130kB / 799kB
10.5;b1821c4c1024;quicker;68.14MiB / 1.953GiB;3.41%;3.22%;132kB / 812kB
11.0;b1821c4c1024;quicker;68.14MiB / 1.953GiB;3.41%;3.22%;132kB / 812kB
11.5;b1821c4c1024;quicker;69.06MiB / 1.953GiB;3.45%;9.18%;134kB / 875kB
12.0;b1821c4c1024;quicker;69.06MiB / 1.953GiB;3.45%;9.18%;134kB / 875kB
12.5;b1821c4c1024;quicker;69.04MiB / 1.953GiB;3.45%;8.46%;136kB / 969kB
13.0;b1821c4c1024;quicker;69.04MiB / 1.953GiB;3.45%;8.46%;136kB / 969kB
13.5;b1821c4c1024;quicker;69.23MiB / 1.953GiB;3.46%;11.07%;138kB / 1.11MB
14.0;b1821c4c1024;quicker;69.23MiB / 1.953GiB;3.46%;11.07%;138kB / 1.11MB
14.5;b1821c4c1024;quicker;69.14MiB / 1.953GiB;3.46%;0.93%;138kB / 1.12MB
