0.0;dd82990b3f0a;quicker;72.48MiB / 1.953GiB;3.62%;98.92%;598B / 0B
0.5;dd82990b3f0a;quicker;118.3MiB / 1.953GiB;5.91%;99.61%;688B / 0B
1.0;dd82990b3f0a;quicker;118.3MiB / 1.953GiB;5.91%;99.61%;688B / 0B
1.5;dd82990b3f0a;quicker;135.6MiB / 1.953GiB;6.78%;99.57%;688B / 0B
2.0;dd82990b3f0a;quicker;135.6MiB / 1.953GiB;6.78%;99.57%;688B / 0B
2.5;dd82990b3f0a;quicker;145.7MiB / 1.953GiB;7.28%;98.58%;688B / 0B
3.0;dd82990b3f0a;quicker;145.7MiB / 1.953GiB;7.28%;98.58%;688B / 0B
3.5;dd82990b3f0a;quicker;153.9MiB / 1.953GiB;7.69%;100.39%;758B / 0B
4.0;dd82990b3f0a;quicker;153.9MiB / 1.953GiB;7.69%;100.39%;758B / 0B
4.5;dd82990b3f0a;quicker;161.8MiB / 1.953GiB;8.09%;98.58%;758B / 0B
5.0;dd82990b3f0a;quicker;161.8MiB / 1.953GiB;8.09%;98.58%;758B / 0B
5.5;dd82990b3f0a;quicker;17.8MiB / 1.953GiB;0.89%;66.77%;758B / 0B
6.0;dd82990b3f0a;quicker;17.8MiB / 1.953GiB;0.89%;66.77%;758B / 0B
6.5;dd82990b3f0a;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.0;dd82990b3f0a;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;758B / 0B
7.5;dd82990b3f0a;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
8.0;dd82990b3f0a;quicker;17.8MiB / 1.953GiB;0.89%;0.00%;828B / 0B
8.5;dd82990b3f0a;quicker;21.67MiB / 1.953GiB;1.08%;34.71%;64.4kB / 1.35kB
9.0;dd82990b3f0a;quicker;21.67MiB / 1.953GiB;1.08%;34.71%;64.4kB / 1.35kB
9.5;dd82990b3f0a;quicker;30.56MiB / 1.953GiB;1.53%;99.28%;121kB / 187kB
10.0;dd82990b3f0a;quicker;30.56MiB / 1.953GiB;1.53%;99.28%;121kB / 187kB
10.5;dd82990b3f0a;quicker;67.98MiB / 1.953GiB;3.40%;99.92%;136kB / 812kB
