0.0;4e73d68cb253;quicker;17.79MiB / 1.953GiB;0.89%;0.00%;598B / 0B
0.5;4e73d68cb253;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;4e73d68cb253;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;4e73d68cb253;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;4e73d68cb253;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;4e73d68cb253;quicker;19.08MiB / 1.953GiB;0.95%;7.28%;2.02kB / 2.51kB
3.0;4e73d68cb253;quicker;19.08MiB / 1.953GiB;0.95%;7.28%;2.02kB / 2.51kB
3.5;4e73d68cb253;quicker;27.64MiB / 1.953GiB;1.38%;67.95%;136kB / 6.37kB
4.0;4e73d68cb253;quicker;27.64MiB / 1.953GiB;1.38%;67.95%;136kB / 6.37kB
4.5;4e73d68cb253;quicker;34.06MiB / 1.953GiB;1.70%;100.32%;172kB / 271kB
5.0;4e73d68cb253;quicker;34.06MiB / 1.953GiB;1.70%;100.32%;172kB / 271kB
5.5;4e73d68cb253;quicker;60.7MiB / 1.953GiB;3.03%;62.04%;184kB / 697kB
6.0;4e73d68cb253;quicker;60.7MiB / 1.953GiB;3.03%;62.04%;184kB / 697kB
6.5;4e73d68cb253;quicker;72.13MiB / 1.953GiB;3.61%;24.60%;190kB / 820kB
7.0;4e73d68cb253;quicker;72.13MiB / 1.953GiB;3.61%;24.60%;190kB / 820kB
7.5;4e73d68cb253;quicker;72.84MiB / 1.953GiB;3.64%;2.97%;190kB / 822kB
8.0;4e73d68cb253;quicker;72.84MiB / 1.953GiB;3.64%;2.97%;190kB / 822kB
8.5;4e73d68cb253;quicker;72.84MiB / 1.953GiB;3.64%;0.70%;190kB / 823kB
9.0;4e73d68cb253;quicker;72.84MiB / 1.953GiB;3.64%;0.70%;190kB / 823kB
9.5;4e73d68cb253;quicker;72.96MiB / 1.953GiB;3.65%;1.44%;191kB / 823kB
10.0;4e73d68cb253;quicker;72.96MiB / 1.953GiB;3.65%;1.44%;191kB / 823kB
10.5;4e73d68cb253;quicker;73MiB / 1.953GiB;3.65%;1.71%;192kB / 827kB
11.0;4e73d68cb253;quicker;73MiB / 1.953GiB;3.65%;1.71%;192kB / 827kB
11.5;4e73d68cb253;quicker;73.57MiB / 1.953GiB;3.68%;8.94%;194kB / 884kB
12.0;4e73d68cb253;quicker;73.57MiB / 1.953GiB;3.68%;8.94%;194kB / 884kB
12.5;4e73d68cb253;quicker;73.97MiB / 1.953GiB;3.70%;16.38%;199kB / 1.04MB
13.0;4e73d68cb253;quicker;73.97MiB / 1.953GiB;3.70%;16.38%;199kB / 1.04MB
13.5;4e73d68cb253;quicker;73.91MiB / 1.953GiB;3.69%;3.74%;201kB / 1.07MB
14.0;4e73d68cb253;quicker;73.91MiB / 1.953GiB;3.69%;3.74%;201kB / 1.07MB
