0.0;2ca5bdff72e7;quicker;17.82MiB / 1.953GiB;0.89%;0.00%;438B / 0B
0.5;2ca5bdff72e7;quicker;27.52MiB / 1.953GiB;1.38%;47.30%;37.5kB / 3.9kB
1.0;2ca5bdff72e7;quicker;27.52MiB / 1.953GiB;1.38%;47.30%;37.5kB / 3.9kB
1.5;2ca5bdff72e7;quicker;32.46MiB / 1.953GiB;1.62%;98.31%;143kB / 205kB
2.0;2ca5bdff72e7;quicker;32.46MiB / 1.953GiB;1.62%;98.31%;143kB / 205kB
2.5;2ca5bdff72e7;quicker;49.3MiB / 1.953GiB;2.46%;82.26%;160kB / 591kB
3.0;2ca5bdff72e7;quicker;49.3MiB / 1.953GiB;2.46%;82.26%;160kB / 591kB
3.5;2ca5bdff72e7;quicker;72.79MiB / 1.953GiB;3.64%;37.09%;167kB / 816kB
4.0;2ca5bdff72e7;quicker;72.79MiB / 1.953GiB;3.64%;37.09%;167kB / 816kB
4.5;2ca5bdff72e7;quicker;73.64MiB / 1.953GiB;3.68%;3.24%;167kB / 816kB
5.0;2ca5bdff72e7;quicker;73.64MiB / 1.953GiB;3.68%;3.24%;167kB / 816kB
5.5;2ca5bdff72e7;quicker;73.59MiB / 1.953GiB;3.68%;0.57%;167kB / 816kB
6.0;2ca5bdff72e7;quicker;73.59MiB / 1.953GiB;3.68%;0.57%;167kB / 816kB
6.5;2ca5bdff72e7;quicker;73.59MiB / 1.953GiB;3.68%;1.16%;167kB / 816kB
7.0;2ca5bdff72e7;quicker;73.59MiB / 1.953GiB;3.68%;1.16%;167kB / 816kB
7.5;2ca5bdff72e7;quicker;73.71MiB / 1.953GiB;3.69%;1.44%;168kB / 824kB
8.0;2ca5bdff72e7;quicker;73.71MiB / 1.953GiB;3.69%;1.44%;168kB / 824kB
8.5;2ca5bdff72e7;quicker;74.07MiB / 1.953GiB;3.70%;12.30%;170kB / 890kB
9.0;2ca5bdff72e7;quicker;74.07MiB / 1.953GiB;3.70%;12.30%;170kB / 890kB
9.5;2ca5bdff72e7;quicker;74.71MiB / 1.953GiB;3.74%;11.45%;172kB / 997kB
10.0;2ca5bdff72e7;quicker;74.71MiB / 1.953GiB;3.74%;11.45%;172kB / 997kB
10.5;2ca5bdff72e7;quicker;74.72MiB / 1.953GiB;3.74%;6.17%;173kB / 1.03MB
11.0;2ca5bdff72e7;quicker;74.72MiB / 1.953GiB;3.74%;6.17%;173kB / 1.03MB
11.5;2ca5bdff72e7;quicker;74.72MiB / 1.953GiB;3.74%;1.97%;174kB / 1.03MB
12.0;2ca5bdff72e7;quicker;74.72MiB / 1.953GiB;3.74%;1.97%;174kB / 1.03MB
12.5;2ca5bdff72e7;quicker;74.62MiB / 1.953GiB;3.73%;4.52%;175kB / 1.07MB
13.0;2ca5bdff72e7;quicker;74.62MiB / 1.953GiB;3.73%;4.52%;175kB / 1.07MB
13.5;2ca5bdff72e7;quicker;74.75MiB / 1.953GiB;3.74%;3.24%;176kB / 1.09MB
14.0;2ca5bdff72e7;quicker;74.75MiB / 1.953GiB;3.74%;3.24%;176kB / 1.09MB
14.5;2ca5bdff72e7;quicker;74.7MiB / 1.953GiB;3.73%;7.67%;179kB / 1.1MB
15.0;2ca5bdff72e7;quicker;74.7MiB / 1.953GiB;3.73%;7.67%;179kB / 1.1MB
15.5;2ca5bdff72e7;quicker;74.7MiB / 1.953GiB;3.73%;5.94%;183kB / 1.14MB
16.0;2ca5bdff72e7;quicker;74.7MiB / 1.953GiB;3.73%;5.94%;183kB / 1.14MB
16.5;2ca5bdff72e7;quicker;74.98MiB / 1.953GiB;3.75%;10.76%;186kB / 1.21MB
17.0;2ca5bdff72e7;quicker;74.98MiB / 1.953GiB;3.75%;10.76%;186kB / 1.21MB
17.5;2ca5bdff72e7;quicker;75.12MiB / 1.953GiB;3.76%;6.12%;188kB / 1.25MB
18.0;2ca5bdff72e7;quicker;75.12MiB / 1.953GiB;3.76%;6.12%;188kB / 1.25MB
18.5;2ca5bdff72e7;quicker;75.16MiB / 1.953GiB;3.76%;8.95%;189kB / 1.39MB
19.0;2ca5bdff72e7;quicker;75.16MiB / 1.953GiB;3.76%;8.95%;189kB / 1.39MB
19.5;2ca5bdff72e7;quicker;75.27MiB / 1.953GiB;3.76%;6.60%;191kB / 1.45MB
20.0;2ca5bdff72e7;quicker;75.27MiB / 1.953GiB;3.76%;6.60%;191kB / 1.45MB
20.5;2ca5bdff72e7;quicker;75.15MiB / 1.953GiB;3.76%;0.94%;192kB / 1.45MB
21.0;2ca5bdff72e7;quicker;75.15MiB / 1.953GiB;3.76%;0.94%;192kB / 1.45MB
21.5;2ca5bdff72e7;quicker;75.19MiB / 1.953GiB;3.76%;6.78%;193kB / 1.56MB
22.0;2ca5bdff72e7;quicker;75.19MiB / 1.953GiB;3.76%;6.78%;193kB / 1.56MB
22.5;2ca5bdff72e7;quicker;75.29MiB / 1.953GiB;3.76%;9.21%;194kB / 1.71MB
23.0;2ca5bdff72e7;quicker;75.29MiB / 1.953GiB;3.76%;9.21%;194kB / 1.71MB
