0.0;eccf578bd4e1;quicker;17.76MiB / 1.953GiB;0.89%;0.00%;438B / 0B
0.5;eccf578bd4e1;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;eccf578bd4e1;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;eccf578bd4e1;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;eccf578bd4e1;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;eccf578bd4e1;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
3.0;eccf578bd4e1;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
3.5;eccf578bd4e1;quicker;28.78MiB / 1.953GiB;1.44%;89.01%;111kB / 1.34kB
4.0;eccf578bd4e1;quicker;28.78MiB / 1.953GiB;1.44%;89.01%;111kB / 1.34kB
4.5;eccf578bd4e1;quicker;33.55MiB / 1.953GiB;1.68%;98.19%;154kB / 273kB
5.0;eccf578bd4e1;quicker;33.55MiB / 1.953GiB;1.68%;98.19%;154kB / 273kB
5.5;eccf578bd4e1;quicker;71.74MiB / 1.953GiB;3.59%;87.23%;168kB / 744kB
6.0;eccf578bd4e1;quicker;71.74MiB / 1.953GiB;3.59%;87.23%;168kB / 744kB
6.5;eccf578bd4e1;quicker;72.68MiB / 1.953GiB;3.63%;11.62%;168kB / 820kB
7.0;eccf578bd4e1;quicker;72.68MiB / 1.953GiB;3.63%;11.62%;168kB / 820kB
7.5;eccf578bd4e1;quicker;72.57MiB / 1.953GiB;3.63%;1.21%;168kB / 820kB
8.0;eccf578bd4e1;quicker;72.57MiB / 1.953GiB;3.63%;1.21%;168kB / 820kB
8.5;eccf578bd4e1;quicker;72.57MiB / 1.953GiB;3.63%;0.47%;168kB / 820kB
9.0;eccf578bd4e1;quicker;72.57MiB / 1.953GiB;3.63%;0.47%;168kB / 820kB
9.5;eccf578bd4e1;quicker;72.69MiB / 1.953GiB;3.63%;1.75%;169kB / 823kB
10.0;eccf578bd4e1;quicker;72.69MiB / 1.953GiB;3.63%;1.75%;169kB / 823kB
10.5;eccf578bd4e1;quicker;72.62MiB / 1.953GiB;3.63%;0.94%;169kB / 823kB
11.0;eccf578bd4e1;quicker;72.62MiB / 1.953GiB;3.63%;0.94%;169kB / 823kB
11.5;eccf578bd4e1;quicker;73.24MiB / 1.953GiB;3.66%;10.16%;172kB / 886kB
12.0;eccf578bd4e1;quicker;73.24MiB / 1.953GiB;3.66%;10.16%;172kB / 886kB
12.5;eccf578bd4e1;quicker;73.72MiB / 1.953GiB;3.69%;15.18%;175kB / 1MB
13.0;eccf578bd4e1;quicker;73.72MiB / 1.953GiB;3.69%;15.18%;175kB / 1MB
13.5;eccf578bd4e1;quicker;74.3MiB / 1.953GiB;3.71%;12.61%;178kB / 1.08MB
14.0;eccf578bd4e1;quicker;74.3MiB / 1.953GiB;3.71%;12.61%;178kB / 1.08MB
14.5;eccf578bd4e1;quicker;74.41MiB / 1.953GiB;3.72%;4.09%;179kB / 1.1MB
15.0;eccf578bd4e1;quicker;74.41MiB / 1.953GiB;3.72%;4.09%;179kB / 1.1MB
15.5;eccf578bd4e1;quicker;74.43MiB / 1.953GiB;3.72%;11.14%;182kB / 1.19MB
