0.0;3d98b4d87808;quicker;17.81MiB / 1.953GiB;0.89%;0.00%;598B / 0B
0.5;3d98b4d87808;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;3d98b4d87808;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;3d98b4d87808;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;3d98b4d87808;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;3d98b4d87808;quicker;22.08MiB / 1.953GiB;1.10%;42.64%;48.7kB / 1.34kB
3.0;3d98b4d87808;quicker;22.08MiB / 1.953GiB;1.10%;42.64%;48.7kB / 1.34kB
3.5;3d98b4d87808;quicker;30.47MiB / 1.953GiB;1.52%;98.34%;148kB / 85.8kB
4.0;3d98b4d87808;quicker;30.47MiB / 1.953GiB;1.52%;98.34%;148kB / 85.8kB
4.5;3d98b4d87808;quicker;50.07MiB / 1.953GiB;2.50%;86.16%;161kB / 591kB
5.0;3d98b4d87808;quicker;50.07MiB / 1.953GiB;2.50%;86.16%;161kB / 591kB
5.5;3d98b4d87808;quicker;72.14MiB / 1.953GiB;3.61%;35.37%;169kB / 819kB
6.0;3d98b4d87808;quicker;72.14MiB / 1.953GiB;3.61%;35.37%;169kB / 819kB
6.5;3d98b4d87808;quicker;72.18MiB / 1.953GiB;3.61%;2.09%;169kB / 819kB
7.0;3d98b4d87808;quicker;72.18MiB / 1.953GiB;3.61%;2.09%;169kB / 819kB
7.5;3d98b4d87808;quicker;72.18MiB / 1.953GiB;3.61%;0.97%;169kB / 819kB
8.0;3d98b4d87808;quicker;72.18MiB / 1.953GiB;3.61%;0.97%;169kB / 819kB
8.5;3d98b4d87808;quicker;72.68MiB / 1.953GiB;3.63%;1.41%;169kB / 827kB
9.0;3d98b4d87808;quicker;72.68MiB / 1.953GiB;3.63%;1.41%;169kB / 827kB
9.5;3d98b4d87808;quicker;72.75MiB / 1.953GiB;3.64%;5.71%;170kB / 856kB
10.0;3d98b4d87808;quicker;72.75MiB / 1.953GiB;3.64%;5.71%;170kB / 856kB
10.5;3d98b4d87808;quicker;72.75MiB / 1.953GiB;3.64%;1.45%;170kB / 856kB
11.0;3d98b4d87808;quicker;72.75MiB / 1.953GiB;3.64%;1.45%;170kB / 856kB
11.5;3d98b4d87808;quicker;73.47MiB / 1.953GiB;3.67%;17.76%;174kB / 995kB
12.0;3d98b4d87808;quicker;73.47MiB / 1.953GiB;3.67%;17.76%;174kB / 995kB
